montant_eur,frequence_mensuelle,anciennete_mois,nb_pays,ratio_nuit
78.98,12.3,3.1,1,0.583
112.65,10.2,48.2,1,0.372
70.55,8.8,63.7,2,0.054
54.61,12.4,28.5,1,0.418
36.39,11.4,38.2,1,0.33
81.33,20.1,84.7,2,0.183
80.55,15.3,78.0,1,0.233
103.29,13.4,63.6,1,0.212
77.64,17.8,36.4,1,0.06
87.84,8.7,29.8,1,0.16
90.77,15.3,12.5,1,0.281
72.27,11.5,40.2,1,0.369
90.36,10.6,47.7,1,0.138
104.57,13.4,63.3,2,0.189
45.58,16.4,43.1,4,0.047
96.26,19.3,58.8,1,0.044
26.32,8.4,45.4,2,0.085
78.78,16.3,52.1,1,0.167
772.82,79.5,0.5,8,0.784
68.24,14.4,57.4,2,0.361
88.44,11.3,82.6,3,0.192
85.8,7.3,56.9,1,0.129
52.24,12.8,53.6,3,0.096
96.97,7.9,35.7,1,0.259
108.22,15.1,58.8,1,0.452
104.21,18.5,1.0,1,0.121
86.69,6.5,47.8,1,0.28
72.01,16.6,35.6,3,0.208
75.38,7.8,23.6,1,0.289
100.88,6.8,31.5,1,0.121
26.7,18.9,27.3,3,0.109
90.86,12.6,64.3,1,0.322
87.89,9.2,54.9,1,0.12
69.32,13.5,60.3,1,0.081
87.91,9.0,48.7,1,0.024
71.52,10.1,56.4,1,0.302
78.01,18.4,41.2,1,0.222
81.65,10.5,42.1,1,0.189
89.22,5.9,24.5,1,0.115
85.59,9.2,52.8,1,0.186
84.58,10.4,29.6,1,0.418
96.1,8.6,75.0,2,0.282
90.87,8.7,48.6,1,0.324
74.02,14.1,39.5,1,0.368
62.98,10.7,53.0,1,0.196
64.7,13.9,16.7,1,0.112
77.03,3.7,40.6,3,0.633
70.46,12.8,25.9,2,0.305
70.25,12.8,70.3,1,0.187
50.38,10.6,25.6,1,0.116
50.28,9.3,28.7,1,0.331
71.65,10.8,21.9,1,0.279
86.06,21.7,23.0,1,0.139
92.43,8.5,51.4,1,0.137
72.82,15.2,48.8,1,0.511
636.07,55.3,2.7,9,0.95
133.54,10.8,58.3,1,0.201
99.43,5.3,48.6,1,0.228
59.66,16.0,35.4,1,0.09
105.32,13.5,30.1,4,0.303
31.22,11.6,51.8,1,0.548
124.2,11.2,77.2,1,0.312
78.75,11.8,80.2,2,0.053
85.71,5.8,45.5,1,0.185
62.6,1.0,45.0,1,0.317
113.98,4.0,3.0,1,0.082
570.69,75.0,1.9,6,0.855
83.93,15.7,27.6,2,0.046
82.26,13.9,12.3,1,0.133
125.92,10.2,52.9,2,0.066
83.89,14.2,41.5,1,0.209
54.11,9.9,70.6,1,0.266
110.15,15.6,55.6,3,0.084
101.98,12.7,1.0,1,0.111
51.67,12.9,62.0,1,0.078
123.22,16.6,24.8,1,0.389
69.42,4.0,30.0,1,0.151
70.42,7.4,62.8,2,0.229
70.6,13.0,45.6,1,0.102
691.0,60.4,2.1,7,0.738
57.63,12.9,12.3,1,0.237
100.95,9.6,59.2,1,0.169
74.05,11.4,55.9,1,0.108
59.39,15.0,14.3,1,0.161
115.19,8.9,75.2,1,0.283
121.27,14.5,56.9,3,0.07
88.54,9.8,76.8,1,0.018
65.15,12.9,73.0,1,0.2
107.66,16.4,89.0,2,0.118
38.13,7.7,2.4,1,0.024
75.51,16.3,60.7,1,0.084
82.92,9.9,31.9,1,0.315
89.65,11.7,55.3,1,0.197
83.2,12.6,74.7,1,0.348
70.79,14.5,38.4,1,0.282
97.26,11.4,45.2,2,0.236
87.62,10.1,19.0,1,0.161
101.45,15.3,59.6,2,0.273
89.62,19.8,64.1,1,0.09
76.14,6.0,26.4,2,0.291
63.36,11.7,19.5,1,0.384
57.01,13.1,89.1,1,0.168
76.14,14.3,15.0,3,0.17
118.39,13.4,70.7,1,0.204
98.44,13.1,21.7,1,0.132
46.84,4.7,46.4,3,0.078
68.44,9.7,25.7,3,0.121
71.2,16.7,39.5,2,0.274
96.08,17.7,49.7,1,0.198
84.31,13.3,66.6,1,0.137
