url_length,num_dots,num_hyphens,num_digits,num_subdomains,num_params,domain_age_days,has_ip,has_at_symbol,https,shortened,brand_in_subdomain,host_entropy,tld,is_phishing
64,2,1,4,2,0,1434,0,0,1,0,0,3.187,net,0
13,6,0,1,1,2,1443,0,0,1,0,0,2.792,net,0
56,4,1,3,2,3,272,0,0,1,0,0,4.266,xyz,1
90,3,2,4,4,0,171,0,0,0,0,1,2.96,info,1
89,2,2,7,2,1,134,0,0,1,0,1,3.522,com,1
95,1,1,2,2,2,50,0,1,1,1,0,3.185,tk,1
72,3,0,3,2,1,1764,0,0,1,0,0,2.432,com,0
34,3,0,0,0,1,1675,0,0,1,0,0,2.894,com,0
55,2,0,0,0,1,637,0,0,1,1,0,3.264,com,0
32,2,1,1,1,2,675,0,0,1,0,0,2.222,com,0
48,1,0,2,2,1,2425,0,0,1,0,0,2.45,org,0
58,2,0,2,1,1,829,0,0,1,0,0,2.215,net,0
65,1,0,2,3,2,534,0,0,1,0,0,2.902,com,0
44,1,0,0,0,1,1121,0,0,1,0,0,2.931,net,0
43,4,0,4,0,1,903,0,0,1,0,0,3.348,com,0
135,4,2,7,3,1,222,0,0,0,0,0,3.599,xyz,1
60,3,0,2,2,0,856,0,0,1,0,0,2.824,com,0
49,1,0,1,2,2,1243,0,0,1,0,0,3.017,com,0
56,2,1,1,2,1,961,0,0,1,0,0,3.536,org,0
100,4,1,4,1,1,131,0,0,1,0,0,2.684,top,1
65,1,0,1,0,1,333,0,0,1,0,0,3.531,com,0
68,1,0,3,1,1,1772,0,0,1,0,0,3.296,com,0
74,2,3,7,1,0,359,0,0,1,1,0,4.6,top,1
52,3,0,2,0,0,1588,0,0,1,1,0,3.281,com,0
50,1,0,4,1,1,1435,0,0,0,0,0,3.011,org,0
15,2,1,2,1,2,1628,0,0,0,0,0,2.987,com,0
47,1,0,0,0,1,494,0,0,1,0,0,2.692,com,0
52,1,1,2,2,0,2293,0,0,1,0,0,2.921,com,0
48,3,1,0,1,0,1205,0,0,1,0,0,3.564,org,0
87,1,2,1,2,0,1926,0,0,0,0,0,3.108,com,0
58,1,0,0,1,0,895,0,0,1,0,0,2.913,com,0
45,2,0,1,1,1,1195,0,0,1,0,0,3.363,net,0
52,1,2,4,1,1,1795,0,0,1,0,0,2.72,com,0
59,2,1,4,0,1,183,0,1,1,1,0,3.731,tk,1
71,3,0,7,3,0,219,0,0,0,0,1,3.836,top,1
67,3,0,1,1,1,1108,0,0,1,0,0,2.909,com,0
59,3,0,0,0,2,1623,0,0,1,0,0,2.344,edu,0
39,1,1,2,0,3,1193,0,0,0,0,1,2.928,fr,0
26,4,0,1,0,2,1357,0,0,1,0,0,2.86,com,0
41,4,0,4,3,1,55,0,0,0,1,0,3.676,click,1
40,2,0,3,2,1,466,0,0,0,0,0,2.868,fr,0
66,4,1,4,5,0,152,0,0,0,0,0,4.369,click,1
50,1,0,1,0,3,955,0,0,1,0,0,3.256,com,0
14,4,1,0,1,2,756,0,0,1,0,0,2.896,net,0
51,1,0,3,2,1,341,0,0,1,0,0,2.837,gov,0
19,3,0,5,1,0,2181,0,0,0,0,0,3.109,com,0
57,2,0,2,1,0,377,0,0,1,0,0,3.234,com,0
34,4,0,3,1,1,1680,0,0,1,0,0,2.245,org,0
61,2,1,2,3,0,742,0,0,1,0,0,3.733,org,0
54,2,0,1,1,0,783,0,0,1,0,1,2.73,gov,0
16,1,2,0,1,1,1408,0,0,1,0,0,2.349,com,0
70,1,0,1,2,1,318,0,0,1,0,0,3.538,net,0
28,1,0,3,1,0,2414,0,0,1,0,0,2.97,fr,0
60,1,0,2,0,2,1463,0,0,1,0,0,2.791,com,0
58,2,1,6,4,0,535,0,0,0,0,0,2.739,net,0
69,1,0,2,1,0,2605,0,0,1,0,0,3.009,com,0
63,2,2,8,4,0,66,0,0,0,0,0,3.466,info,1
51,2,0,4,2,2,856,0,0,1,1,0,3.302,org,0
50,3,1,1,3,3,980,0,1,1,0,0,1.975,edu,0
41,1,0,2,0,0,791,0,0,1,0,0,3.044,com,0
102,1,2,5,3,2,129,0,0,1,0,0,2.575,tk,1
36,2,0,3,1,1,1175,0,0,1,0,0,2.406,com,0
25,1,0,1,0,4,849,0,0,1,0,0,3.546,com,0
67,4,1,6,1,2,1456,0,0,1,0,0,3.444,com,0
18,2,0,2,0,0,1839,0,0,1,0,0,2.212,com,0
72,3,2,7,0,0,257,0,0,1,0,1,3.791,tk,1
66,1,0,1,1,3,1016,0,0,1,0,1,2.786,net,0
66,1,1,1,1,3,283,0,0,1,0,1,4.086,xyz,1
80,2,1,1,0,0,1037,0,0,1,0,0,2.912,com,0
44,2,1,1,3,3,561,0,0,1,1,0,3.303,com,0
44,1,1,2,1,3,1044,0,0,0,0,0,3.563,com,0
65,1,1,0,2,0,851,0,0,1,0,0,2.638,fr,0
82,1,0,5,3,1,231,0,0,0,0,0,4.094,top,1
26,3,1,0,0,1,1142,0,0,1,0,0,2.437,com,0
66,1,0,1,0,2,687,0,0,1,0,0,2.608,com,0
43,2,0,3,1,2,1346,0,0,1,0,0,3.492,com,0
25,4,0,3,0,0,1224,0,0,1,0,0,3.358,fr,0
40,2,0,1,1,0,1438,0,0,1,0,0,3.26,net,0
78,4,1,2,0,1,338,0,0,0,0,0,3.305,com,0
61,1,1,3,1,1,535,0,0,1,1,0,3.029,com,0
82,2,1,2,3,1,1164,0,0,1,0,0,3.356,fr,0
89,2,0,5,1,1,383,0,0,1,0,1,2.977,com,1
59,1,0,0,2,2,1251,0,0,1,0,0,2.642,org,0
82,1,0,2,1,1,752,0,0,1,0,0,3.602,com,0
75,4,1,1,1,2,938,0,0,1,0,0,2.773,com,0
84,1,0,1,3,2,348,0,0,1,0,0,2.336,com,0
50,4,2,2,1,0,1796,0,0,1,0,0,3.627,com,0
18,2,0,2,0,0,837,0,0,1,0,0,3.137,com,0
79,2,1,0,2,1,654,0,0,1,0,0,3.305,com,0
81,1,5,8,1,0,119,0,0,1,0,0,3.287,click,1
41,3,0,2,0,0,2778,0,0,0,0,0,3.05,com,0
55,2,0,2,0,0,1556,0,0,1,1,1,3.036,com,0
41,4,2,7,4,2,303,1,0,1,0,0,3.952,click,1
32,1,1,2,1,1,452,0,0,1,0,0,2.562,com,0
48,2,1,0,1,1,1072,0,0,1,0,0,2.972,com,0
42,1,0,1,0,1,350,0,0,1,0,0,3.605,edu,0
82,2,1,5,2,2,57,0,0,1,0,0,3.731,net,1
33,2,0,2,1,2,457,0,0,1,0,0,2.924,fr,0
47,3,2,5,4,2,328,0,0,1,1,0,3.646,net,1
79,3,0,8,1,1,822,0,0,0,0,0,4.147,click,1
54,4,0,1,0,2,2524,0,0,1,0,0,2.98,fr,0
108,1,3,9,3,2,386,0,1,1,1,0,4.044,com,1
92,2,3,3,3,2,434,0,1,1,1,1,3.63,net,1
89,5,1,3,1,0,930,0,0,1,1,0,2.654,com,0
51,2,1,1,3,0,1383,0,0,1,0,0,3.148,com,0
75,6,0,2,1,2,401,0,0,1,1,0,2.823,click,1
69,1,2,1,1,1,1842,0,0,1,0,0,3.186,org,0
36,2,2,2,1,0,1061,0,0,1,0,0,3.419,org,0
48,4,2,2,5,3,110,0,0,1,0,0,4.067,zip,1
44,1,1,1,1,1,518,0,0,1,1,0,3.233,org,0
90,3,3,6,3,4,148,1,0,1,0,0,2.965,top,1
43,2,2,3,0,0,526,0,0,1,0,0,2.922,com,0
38,1,1,3,2,0,1576,0,0,1,0,0,3.843,com,0
73,2,4,1,1,1,645,0,0,1,0,0,2.774,fr,0
89,2,4,5,2,3,133,0,1,1,1,0,3.455,top,1
65,1,0,4,0,1,787,0,0,1,0,0,3.156,net,0
35,3,0,2,1,2,2263,0,0,1,0,0,3.069,com,0
57,2,0,2,1,0,1184,0,0,1,0,0,2.848,net,0
76,2,2,0,1,2,928,0,0,0,0,0,2.985,com,0
14,2,0,0,1,2,393,0,0,1,0,0,3.283,fr,0
86,5,2,1,0,1,606,0,0,1,1,0,2.848,fr,0
62,3,1,5,2,0,236,0,0,1,0,0,2.972,tk,1
68,3,1,5,2,0,470,0,0,0,1,0,3.268,click,1
78,2,0,2,1,3,2133,0,0,1,0,0,3.039,net,0
64,2,2,5,1,1,419,0,0,0,0,0,2.851,com,0
53,1,1,0,1,0,344,0,0,1,0,1,3.582,com,0
107,3,0,2,1,2,139,0,0,1,0,1,2.304,zip,1
51,6,1,4,4,2,141,1,0,1,0,0,3.085,com,1
80,2,2,5,1,1,107,0,1,0,0,1,3.814,zip,1
51,1,0,2,2,0,1080,0,0,0,0,0,2.471,net,0
68,5,0,8,1,3,249,0,0,0,0,0,3.305,xyz,1
22,3,1,3,2,0,1363,0,0,1,0,0,3.558,net,0
68,4,0,1,0,1,593,0,0,1,0,0,2.028,fr,0
28,1,1,0,6,0,1492,0,0,0,0,0,3.429,edu,0
39,5,0,1,0,1,1118,0,1,1,0,0,2.546,com,0
108,3,4,4,2,2,274,0,0,0,0,0,3.507,xyz,1
64,1,0,3,1,1,947,0,0,1,0,1,2.966,com,0
43,2,0,2,0,3,638,0,0,1,0,0,3.094,edu,0
32,1,1,0,0,1,1790,0,0,1,0,1,2.676,com,0
34,2,0,1,0,0,1546,0,0,1,0,0,2.312,com,0
73,3,2,3,2,2,126,0,0,1,0,0,2.413,top,1
98,3,1,8,3,3,169,1,1,0,0,0,4.197,info,1
49,5,0,2,1,0,1059,0,0,1,0,0,3.268,fr,0
59,1,0,2,3,1,539,0,0,0,0,0,2.921,com,0
15,2,4,4,3,2,1032,0,0,1,0,0,2.594,info,1
74,3,2,1,0,0,793,0,0,1,0,0,3.289,edu,0
64,2,0,3,1,1,759,0,0,1,0,0,2.929,org,0
52,1,1,0,2,1,1060,0,0,1,0,0,3.221,fr,0
94,1,0,4,0,3,964,0,0,1,0,0,2.931,com,0
66,1,1,2,3,2,1066,0,0,1,0,0,3.258,com,0
40,1,0,3,0,2,854,0,0,1,0,0,2.713,fr,0
45,4,0,3,2,0,1526,0,0,1,0,0,3.463,com,0
75,3,1,1,1,1,1383,0,0,1,0,0,2.638,com,0
88,2,1,5,2,3,187,0,0,1,0,0,3.754,top,1
90,3,0,0,0,0,410,0,0,1,1,0,2.675,fr,0
25,1,0,1,1,0,1425,0,0,1,0,0,2.476,org,0
90,5,3,4,1,1,218,0,0,1,0,0,3.153,tk,1
50,1,2,0,1,1,712,1,0,1,0,0,3.794,com,0
27,1,0,3,4,0,1327,0,0,0,0,0,3.703,net,0
78,4,1,3,0,2,103,0,1,0,0,1,4.411,xyz,1
53,4,3,3,4,3,429,0,0,0,0,0,3.833,net,1
62,1,0,3,2,0,800,0,0,1,0,0,3.218,com,0
36,3,2,2,1,0,1017,0,0,1,1,0,3.399,fr,0
64,3,1,1,2,3,570,0,0,1,0,0,2.883,com,0
32,2,2,3,2,1,794,0,0,1,0,0,3.074,fr,0
73,1,0,1,1,1,882,0,0,1,0,0,2.923,org,0
42,3,0,1,3,0,1747,0,0,1,0,0,2.58,fr,0
15,4,1,1,3,0,2372,0,0,1,0,0,2.905,org,0
98,1,3,2,1,0,1473,0,0,1,0,1,2.89,com,0
50,1,0,3,1,0,1078,0,0,1,0,0,3.243,com,0
58,1,0,1,0,1,1090,1,0,1,0,0,2.632,net,0
57,1,0,0,1,1,1202,0,0,1,0,0,3.28,org,0
29,1,0,1,0,1,1183,0,0,1,0,0,3.611,org,0
66,1,0,5,3,2,58,0,0,0,0,0,3.827,xyz,1
80,2,1,1,0,0,1328,0,1,1,0,0,2.865,fr,0
72,2,0,2,2,0,682,0,0,1,0,1,2.175,com,0
28,2,2,2,0,2,1400,0,0,1,0,0,3.304,org,0
80,1,0,2,2,0,2118,0,0,0,0,0,2.727,fr,0
50,4,1,7,2,3,172,0,0,1,1,0,3.458,net,1
52,3,2,3,1,4,533,1,0,0,0,0,3.839,zip,1
46,2,2,4,4,1,54,0,1,1,0,0,4.378,tk,1
66,2,4,4,2,2,527,0,1,0,0,1,2.947,xyz,1
25,2,2,8,2,2,185,0,0,1,0,0,3.395,xyz,1
45,2,1,2,0,2,1070,0,0,1,0,0,3.662,fr,0
21,1,1,2,1,2,1011,0,0,1,0,0,2.713,net,0
97,1,0,5,1,3,723,0,0,1,0,0,3.866,net,0
77,2,0,1,1,1,2117,0,1,1,0,0,3.185,com,0
61,1,1,2,1,1,162,0,0,1,0,0,3.375,top,1
60,1,1,0,1,1,902,0,0,1,0,0,2.447,com,0
28,6,0,1,2,1,1940,0,0,1,0,0,3.217,com,0
47,4,0,3,0,0,1472,0,0,1,0,0,3.063,org,0
63,4,1,1,0,0,1181,0,0,1,0,1,3.278,com,0
52,4,0,2,0,1,639,0,0,1,0,0,2.789,net,0
33,2,1,3,1,1,1185,0,0,1,0,0,3.262,net,0
76,1,1,3,0,1,661,0,0,1,0,0,3.175,com,0
18,5,1,3,3,0,1046,0,0,0,0,1,3.098,org,0
80,3,1,4,1,1,461,0,0,0,0,0,3.282,com,1
63,3,2,1,1,2,827,0,0,1,0,0,3.091,gov,0
61,1,0,2,2,1,745,0,0,1,0,0,2.94,fr,0
70,2,0,1,3,1,1539,0,0,1,1,0,2.987,net,0
55,2,0,0,1,0,523,0,0,1,0,0,3.74,edu,0
68,2,0,0,1,0,1806,0,0,1,0,0,2.985,org,0
23,3,0,2,0,0,1463,0,0,1,0,0,3.213,com,0
95,1,1,2,1,0,757,0,0,1,0,0,3.5,com,0
41,1,1,5,2,1,512,0,0,1,0,0,2.684,com,0
116,1,1,3,1,0,666,0,0,0,0,0,3.893,net,1
86,4,1,2,0,2,93,1,0,1,0,0,3.891,info,1
78,2,0,2,2,1,1957,0,0,1,0,0,3.234,com,0
70,1,0,3,1,2,2112,0,0,1,0,0,3.837,net,0
62,2,0,1,1,1,826,0,0,1,0,0,2.858,net,0
52,1,0,0,1,2,743,0,0,1,0,0,2.808,net,0
76,1,0,3,1,2,3323,0,0,1,1,0,3.299,com,0
57,3,1,1,1,0,373,0,0,1,0,0,3.348,com,0
37,1,0,2,1,1,1593,0,0,1,0,0,2.192,com,0
73,4,0,0,0,1,1072,0,0,1,0,0,3.167,com,0
66,1,1,3,1,0,1839,1,0,1,0,0,2.862,org,0
45,1,1,3,0,0,670,0,0,1,0,0,3.85,com,0
64,2,0,1,1,2,1703,0,0,1,0,0,3.445,com,0
99,1,1,2,1,1,835,0,0,1,0,0,3.326,com,0
45,3,0,1,1,1,728,0,0,1,0,0,3.083,fr,0
59,3,0,3,0,1,1418,0,0,1,0,0,2.529,com,0
34,1,0,0,1,2,936,0,0,1,0,0,2.224,com,0
69,3,1,0,2,1,1575,0,0,1,0,0,2.386,com,0
70,5,0,1,1,1,869,0,0,1,0,0,3.28,com,0
45,1,0,5,1,2,559,0,0,1,0,0,3.819,info,1
53,1,0,4,2,0,635,0,0,1,0,0,3.044,gov,0
39,3,1,2,1,0,980,0,0,1,0,0,2.898,com,0
78,1,0,5,4,0,120,0,0,1,1,1,3.754,com,1
27,3,1,0,3,1,1016,0,0,1,0,0,2.896,net,0
55,2,0,1,0,1,860,0,0,1,0,0,2.744,com,0
51,3,2,7,2,0,38,1,0,0,0,1,3.426,click,1
35,4,2,5,0,3,107,0,0,0,0,0,4.01,top,1
53,1,1,2,3,2,1721,0,0,1,0,0,2.367,org,0
94,3,1,4,1,1,1141,0,0,1,0,0,3.241,fr,0
45,1,2,3,2,1,964,0,0,1,0,0,3.394,com,0
39,2,0,1,0,4,1480,0,0,1,0,0,3.048,fr,0
91,2,1,2,0,4,122,0,0,1,0,0,3.604,top,1
57,2,1,1,0,0,1037,0,0,1,0,0,3.541,net,0
51,1,0,5,1,0,694,0,0,1,0,1,2.854,com,0
69,2,0,1,2,0,785,0,1,1,0,0,3.421,com,0
47,1,0,3,1,2,1353,0,0,1,0,0,3.05,com,0
42,2,1,0,2,1,1541,0,0,1,0,0,2.53,com,0
50,5,1,1,2,0,911,0,0,1,0,0,2.224,fr,0
49,1,0,1,2,2,761,0,0,1,1,0,4.199,com,0
42,1,0,1,0,0,2234,0,0,1,1,0,2.739,com,0
58,1,2,5,6,4,289,0,0,1,0,1,3.923,click,1
48,4,1,1,0,0,252,0,0,1,1,0,2.381,com,0
40,5,1,4,1,2,665,0,0,1,0,0,3.488,net,0
36,2,0,2,2,0,736,0,0,1,0,0,2.769,org,0
67,1,1,2,1,0,859,0,0,1,0,0,2.315,com,0
23,2,1,1,0,0,3979,0,0,1,0,0,3.14,net,0
50,2,1,4,3,3,483,0,0,1,0,1,3.87,tk,1
25,3,1,0,0,0,1128,0,0,1,0,0,3.301,com,0
44,3,1,3,2,1,1216,0,0,1,0,0,3.149,net,0
50,1,1,2,1,0,780,0,0,1,0,0,3.028,org,0
50,4,0,2,0,1,2470,0,0,1,0,0,2.478,com,0
74,3,3,0,6,5,532,0,0,1,0,0,2.817,xyz,1
58,3,0,1,1,0,718,0,0,1,0,0,2.895,gov,0
25,1,0,1,1,0,397,0,0,1,0,0,2.827,fr,0
12,1,0,0,1,3,1042,0,1,1,0,0,3.333,com,0
22,1,0,4,2,0,990,1,0,1,0,0,2.969,net,0
12,3,1,2,3,0,947,0,0,1,0,0,2.738,fr,0
64,4,0,4,0,1,182,0,0,1,1,0,2.785,top,1
68,4,0,3,3,1,1378,0,0,1,0,0,3.428,com,0
63,1,3,7,1,0,270,0,0,0,0,0,4.605,zip,1
40,2,0,1,0,0,974,0,0,1,0,0,3.341,com,0
33,2,0,2,0,0,1455,0,0,1,0,0,3.551,com,0
68,1,0,4,3,1,1093,0,0,1,0,0,3.195,com,0
71,1,0,1,2,0,1054,0,0,1,0,0,3.275,com,0
43,1,1,1,1,1,704,0,0,1,0,0,3.2,net,0
39,2,2,1,1,0,1298,0,0,0,0,0,3.031,fr,0
65,5,0,4,1,2,283,1,0,1,0,0,3.092,top,1
78,2,1,2,2,0,605,0,0,1,0,0,2.633,com,0
37,3,0,3,2,0,689,0,0,1,0,0,2.633,com,0
106,5,2,4,1,1,170,0,0,0,1,1,3.93,tk,1
92,4,4,4,3,4,141,0,0,1,0,0,4.67,click,1
106,3,1,4,4,2,545,0,0,0,0,0,3.397,click,1
61,1,2,5,7,3,454,0,0,0,1,0,4.402,top,1
18,2,0,1,0,1,722,0,0,1,0,0,3.435,gov,0
57,1,0,3,2,0,1269,0,0,1,0,0,3.334,com,0
57,2,0,2,0,1,844,0,0,1,0,0,2.96,com,0
27,2,3,3,0,0,1576,0,0,1,0,0,3.323,fr,0
64,2,2,2,4,0,329,0,1,1,1,0,4.192,click,1
70,1,0,2,1,0,1254,0,0,1,0,0,2.358,org,0
48,5,2,2,0,1,207,0,0,1,0,1,3.405,top,1
48,2,0,2,0,0,1851,0,0,1,0,0,2.499,com,0
56,1,1,4,2,1,780,0,0,1,0,0,2.865,org,0
81,1,2,0,1,2,374,1,1,1,0,0,3.126,com,0
40,1,1,1,0,1,454,0,0,1,0,0,2.812,org,0
120,1,0,6,4,0,55,0,0,1,1,1,2.915,top,1
45,1,0,0,1,0,382,0,0,1,0,0,2.438,fr,0
