client_id,age,revenu_annuel_k,frequence_achat_mois,panier_moyen,score_engagement,sensibilite_promo,canal_prefere,region
C0253,36,43.6,3.37,26.09,67.0,84.6,mobile,urbain
C0254,31,31.6,3.84,32.9,69.2,72.8,web,periurbain
C0255,29,38.7,1.25,62.3,56.8,42.6,web,urbain
C0256,41,83.2,3.88,144.19,79.6,24.7,magasin,periurbain
C0257,33,56.3,3.33,53.33,69.5,78.5,web,urbain
C0258,49,50.7,3.1,80.13,63.5,44.1,magasin,periurbain
C0259,28,31.7,1.96,48.17,78.9,81.4,mobile,periurbain
C0260,46,37.8,2.58,70.86,61.2,55.6,magasin,periurbain
C0261,36,53.1,6.35,186.35,73.7,36.3,magasin,urbain
C0262,31,30.1,2.86,33.71,61.0,73.7,mobile,urbain
C0263,47,62.9,2.08,78.31,65.0,65.7,magasin,periurbain
C0264,43,59.7,5.47,169.06,77.9,28.5,web,rural
C0265,50,71.6,1.89,49.14,62.3,68.7,magasin,periurbain
C0266,33,54.9,2.05,104.95,85.9,50.8,magasin,urbain
C0267,38,56.6,2.25,73.18,58.4,37.0,mobile,periurbain
C0268,26,43.5,2.29,51.76,68.7,79.2,mobile,urbain
C0269,34,34.7,4.48,53.62,68.0,75.9,mobile,urbain
C0270,63,104.4,3.25,91.71,87.9,34.6,web,rural
C0271,38,87.9,4.69,60.32,82.2,17.8,magasin,periurbain
C0272,42,76.4,5.52,154.89,87.4,35.3,web,periurbain
C0273,43,65.3,5.16,105.85,80.7,24.5,web,urbain
C0274,49,57.2,1.48,74.99,48.1,44.9,mobile,urbain
C0275,59,52.3,1.36,63.83,72.3,85.1,web,periurbain
C0276,54,89.0,3.73,156.71,62.9,28.0,magasin,periurbain
C0277,35,48.9,1.77,78.6,45.5,55.1,magasin,urbain
C0278,48,45.7,2.63,47.93,53.8,59.4,magasin,urbain
C0279,60,62.0,6.06,172.89,86.2,49.1,magasin,rural
C0280,39,104.0,5.7,116.1,73.4,25.6,magasin,rural
C0281,24,31.5,5.28,36.51,71.5,82.6,mobile,periurbain
C0282,34,18.0,3.07,44.54,86.4,77.1,mobile,rural
C0283,18,37.0,3.04,27.72,64.5,80.2,mobile,urbain
C0284,48,60.7,3.19,53.52,55.2,59.9,magasin,rural
C0285,25,32.7,4.35,59.47,80.5,89.9,web,urbain
C0286,45,39.4,3.86,86.56,51.8,54.2,magasin,periurbain
C0287,43,51.1,4.13,93.29,60.7,71.3,magasin,urbain
C0288,40,30.3,2.78,34.17,58.9,74.2,mobile,urbain
C0289,42,57.0,1.78,101.35,65.2,72.4,magasin,urbain
C0290,22,39.1,4.01,48.64,57.9,73.0,mobile,urbain
C0291,32,21.1,4.82,27.21,78.6,88.3,web,urbain
C0292,41,72.3,3.59,69.31,86.8,9.2,mobile,periurbain
C0293,33,29.6,3.4,50.78,76.0,85.2,mobile,urbain
C0294,34,36.9,2.58,39.07,71.5,80.7,web,urbain
C0295,50,34.9,3.16,97.92,63.4,73.1,magasin,periurbain
C0296,41,100.8,4.74,138.84,81.2,46.8,magasin,urbain
C0297,32,20.8,4.24,16.8,79.5,90.9,mobile,urbain
C0298,56,42.9,1.65,100.67,85.5,60.0,magasin,periurbain
C0299,25,28.1,5.28,62.22,78.8,73.2,mobile,urbain
C0300,27,34.7,5.66,52.25,77.0,86.6,magasin,urbain
C0301,28,45.0,2.82,53.28,63.4,57.5,magasin,periurbain
C0302,39,46.5,2.53,65.87,60.7,50.9,magasin,rural
C0303,34,54.2,3.17,59.52,70.5,52.4,magasin,urbain
C0304,44,56.2,2.57,82.19,50.8,57.6,magasin,rural
C0305,37,68.6,4.42,83.8,80.1,24.6,web,urbain
C0306,42,52.8,3.39,62.3,41.2,47.5,web,urbain
C0307,24,21.6,3.25,44.18,79.1,76.4,mobile,urbain
C0308,39,66.7,5.17,75.49,81.1,31.6,magasin,periurbain
C0309,31,24.0,3.69,20.69,71.0,73.7,mobile,periurbain
C0310,41,41.6,4.16,68.22,83.7,69.8,magasin,rural
C0311,31,18.0,3.47,52.14,71.4,67.9,web,urbain
C0312,36,31.5,4.94,37.6,51.6,72.8,mobile,periurbain
C0313,37,76.6,6.5,194.91,100.0,26.1,web,periurbain
C0314,51,61.0,4.82,99.59,79.3,18.0,web,urbain
C0315,38,56.3,1.61,77.97,75.1,53.8,web,urbain
C0316,50,49.9,2.12,82.71,42.6,68.2,web,rural
C0317,24,24.9,4.44,56.75,64.4,86.6,mobile,urbain
C0318,29,24.7,2.68,33.99,75.5,80.1,mobile,urbain
C0319,25,35.7,0.5,36.0,65.7,95.9,web,urbain
C0320,43,26.7,3.29,77.88,65.1,100.0,mobile,urbain
C0321,28,65.2,2.34,79.17,57.4,54.9,web,urbain
C0322,38,51.3,1.23,87.51,52.2,46.4,magasin,periurbain
C0323,26,34.9,2.92,51.1,80.2,100.0,magasin,urbain
C0324,40,105.3,3.88,164.08,82.4,27.2,magasin,periurbain
C0325,41,50.1,4.02,91.74,70.2,54.5,magasin,rural
C0326,36,57.6,3.39,100.51,49.5,57.2,web,urbain
C0327,49,43.3,3.18,70.57,62.5,46.2,mobile,rural
C0328,43,25.0,2.43,44.65,74.9,69.3,magasin,periurbain
C0329,23,46.0,4.92,39.16,85.6,70.9,mobile,urbain
C0330,26,23.5,5.27,38.89,76.2,76.3,mobile,urbain
C0331,25,80.8,3.23,207.55,91.3,29.3,web,periurbain
C0332,32,33.6,4.12,57.27,80.8,84.9,mobile,urbain
C0333,28,32.7,2.44,70.94,90.2,88.0,mobile,urbain
C0334,23,32.6,4.11,27.1,76.0,80.4,web,rural
C0335,18,25.1,3.3,64.65,78.7,68.6,mobile,urbain
C0336,48,73.5,4.51,184.4,73.7,11.2,magasin,urbain
C0337,31,25.0,2.19,83.93,74.8,54.4,magasin,periurbain
C0338,29,44.1,2.77,82.09,50.9,60.4,web,periurbain
C0339,32,24.1,3.87,47.36,67.9,83.7,mobile,urbain
C0340,46,49.6,2.07,78.04,68.0,35.4,web,rural
C0341,45,60.0,1.37,61.23,54.0,50.6,web,periurbain
C0342,26,33.6,2.36,37.25,75.8,78.7,mobile,urbain
C0343,31,51.2,4.18,74.33,61.2,68.3,magasin,periurbain
C0344,43,64.3,1.94,106.73,68.9,66.6,mobile,rural
C0345,50,49.4,0.83,53.89,55.4,63.7,magasin,periurbain
C0346,28,49.4,0.96,87.67,56.7,65.0,magasin,periurbain
C0347,35,36.7,3.64,48.96,63.5,90.6,magasin,urbain
C0348,39,40.6,2.92,46.34,56.5,87.7,mobile,urbain
C0349,34,45.2,2.33,52.23,63.4,63.0,mobile,periurbain
C0350,49,64.6,2.16,62.98,64.9,55.7,magasin,periurbain
C0351,25,105.7,4.67,123.6,83.3,27.5,magasin,urbain
C0352,42,52.4,3.46,55.62,64.6,56.8,web,periurbain
C0353,28,27.2,4.32,47.64,63.5,74.9,web,rural
C0354,28,24.8,4.81,37.57,37.1,78.3,mobile,urbain
C0355,33,49.1,3.8,79.64,49.5,65.5,mobile,urbain
C0356,22,18.0,3.33,43.9,70.8,77.8,web,urbain
C0357,33,55.8,1.7,60.46,37.5,54.0,magasin,rural
C0358,47,91.4,3.5,126.42,77.8,44.0,magasin,urbain
C0359,48,66.3,2.23,86.82,89.9,52.6,web,periurbain
C0360,47,29.2,2.26,81.87,60.6,65.1,magasin,periurbain
C0361,35,41.2,1.9,88.94,70.6,65.4,web,periurbain
C0362,54,63.2,3.26,106.07,34.8,53.7,magasin,urbain
C0363,35,55.6,3.83,86.51,62.0,48.1,magasin,urbain
C0364,32,104.5,5.38,136.63,80.7,3.7,mobile,urbain
C0365,35,67.1,1.45,77.41,72.1,44.9,magasin,urbain
C0366,40,98.9,4.61,238.39,70.7,40.7,magasin,urbain
C0367,43,68.8,4.83,72.97,88.8,31.6,magasin,periurbain
C0368,31,33.2,2.74,33.45,86.2,96.4,mobile,urbain
C0369,24,41.4,4.6,65.29,61.5,78.2,mobile,periurbain
C0370,30,37.2,3.54,31.52,82.6,89.2,mobile,urbain
C0371,24,42.8,5.2,43.61,73.0,87.5,mobile,urbain
C0372,18,39.0,1.93,60.04,68.0,79.9,mobile,urbain
C0373,52,25.0,3.75,80.08,41.1,47.1,web,periurbain
C0374,22,41.1,4.21,30.74,74.6,71.7,web,periurbain
C0375,32,34.9,5.91,42.0,57.8,86.5,mobile,urbain
C0376,56,63.7,4.24,152.58,83.6,16.2,magasin,periurbain
C0377,30,24.8,1.94,45.1,85.2,86.8,mobile,urbain
C0378,30,97.0,5.51,83.9,96.7,34.9,web,periurbain
C0379,21,30.8,4.4,63.56,80.5,79.6,mobile,urbain
C0380,23,41.8,2.64,61.54,68.6,97.9,mobile,rural
C0381,38,44.6,2.99,75.39,49.7,58.0,web,periurbain
C0382,45,38.2,1.56,43.63,32.9,43.7,magasin,periurbain
C0383,35,85.2,5.0,142.59,83.4,13.7,magasin,periurbain
C0384,30,37.8,2.35,56.64,65.1,51.3,web,urbain
C0385,56,103.4,4.81,173.94,92.8,21.2,magasin,urbain
C0386,34,33.1,1.91,32.37,71.1,81.2,mobile,urbain
C0387,32,43.9,6.53,37.15,77.9,87.7,mobile,rural
C0388,42,40.0,5.28,142.42,82.2,52.6,magasin,rural
C0389,34,74.7,6.59,108.88,79.6,26.2,magasin,rural
C0390,29,72.4,3.99,135.3,87.4,33.0,magasin,urbain
C0391,44,61.8,3.0,93.82,64.5,76.2,web,rural
C0392,43,39.1,4.49,26.68,56.5,84.9,mobile,urbain
C0393,40,110.6,5.3,98.06,83.1,18.3,web,urbain
C0394,26,22.0,3.65,35.27,36.8,100.0,mobile,periurbain
C0395,39,60.9,6.3,204.41,85.3,40.3,magasin,urbain
C0396,40,57.9,4.19,142.62,80.4,25.4,web,urbain
C0397,42,37.4,1.95,50.88,71.7,34.7,mobile,urbain
C0398,48,107.0,4.3,46.89,81.1,27.2,web,urbain
C0399,51,94.0,3.68,82.08,81.4,25.4,web,periurbain
C0400,32,47.5,4.78,41.42,69.8,78.4,mobile,periurbain
C0401,39,82.9,4.1,89.96,86.6,27.3,web,periurbain
C0402,51,39.2,4.14,42.54,64.1,65.7,magasin,urbain
C0403,33,89.6,5.88,60.41,88.0,0.0,magasin,urbain
C0404,23,45.0,3.1,27.91,69.6,100.0,mobile,urbain
C0405,51,115.4,4.5,94.63,100.0,47.1,web,periurbain
C0406,42,46.4,2.9,100.12,70.3,47.1,magasin,rural
C0407,33,43.7,2.47,41.57,65.6,66.3,mobile,urbain
C0408,25,81.4,5.24,142.31,83.1,12.4,mobile,periurbain
C0409,18,41.6,4.95,42.62,74.7,92.7,web,urbain
C0410,27,42.5,4.18,44.33,56.8,84.9,mobile,urbain
C0411,32,62.8,6.72,184.6,99.4,13.3,mobile,urbain
