attack_vector,attack_complexity,privileges_required,user_interaction,scope,confidentiality_impact,integrity_impact,availability_impact,epss_score,exploit_maturity,days_since_published,severity
network,low,none,required,unchanged,low,high,high,0.0594,unproven,125,high
adjacent,low,none,none,changed,high,high,none,0.0063,high,217,high
network,low,none,none,unchanged,high,high,high,0.071,unproven,319,critical
network,low,none,required,unchanged,none,none,high,0.3405,poc,559,medium
network,low,none,none,unchanged,high,high,low,0.2868,poc,282,critical
local,low,low,required,unchanged,low,high,high,0.0132,poc,228,medium
network,high,low,required,unchanged,high,none,high,0.144,functional,182,medium
network,low,none,none,unchanged,low,low,high,0.0721,poc,808,critical
network,low,none,none,unchanged,high,high,none,0.0075,unproven,35,critical
network,low,none,required,unchanged,low,high,low,0.0258,unproven,244,high
adjacent,high,high,none,unchanged,low,none,high,0.1238,functional,63,medium
network,low,low,none,unchanged,none,high,none,0.0043,poc,305,medium
network,low,low,none,unchanged,none,low,none,0.0416,unproven,744,medium
local,high,low,required,unchanged,high,none,high,0.1231,unproven,323,medium
network,low,low,none,unchanged,none,high,low,0.1633,poc,84,medium
network,low,low,required,unchanged,high,high,none,0.0286,poc,233,medium
local,low,none,none,changed,low,none,none,0.1911,unproven,279,medium
adjacent,low,none,required,unchanged,high,none,none,0.064,functional,59,medium
physical,high,none,required,unchanged,high,low,high,0.1814,poc,57,medium
network,high,low,none,unchanged,high,none,low,0.0106,unproven,130,medium
network,low,high,required,changed,low,low,none,0.1539,functional,241,low
network,high,low,required,changed,high,high,high,0.0247,poc,285,high
network,low,none,none,unchanged,high,high,none,0.0071,unproven,435,critical
network,high,none,none,unchanged,low,low,low,0.0707,unproven,82,medium
network,high,low,none,unchanged,none,low,high,0.0278,poc,590,medium
local,low,low,none,unchanged,none,high,high,0.1149,unproven,132,high
local,high,high,required,unchanged,high,high,none,0.1263,unproven,92,medium
network,low,high,required,unchanged,high,none,high,0.1388,poc,190,medium
network,low,high,none,changed,high,high,low,0.0883,poc,86,high
network,high,low,required,unchanged,low,high,low,0.0165,unproven,188,medium
network,low,low,required,unchanged,high,none,high,0.0756,poc,215,medium
local,low,none,none,changed,none,none,low,0.1062,poc,24,medium
network,low,none,required,unchanged,none,low,low,0.0543,unproven,168,medium
network,high,none,required,unchanged,low,low,high,0.2313,poc,96,medium
local,low,high,none,unchanged,low,low,high,0.292,functional,140,medium
network,high,none,none,unchanged,high,none,low,0.0525,poc,102,medium
local,high,none,none,unchanged,none,none,high,0.0375,functional,87,medium
local,low,high,none,unchanged,low,low,low,0.0752,unproven,120,low
network,high,low,none,changed,none,high,low,0.1088,unproven,225,medium
network,low,low,none,unchanged,none,none,none,0.3191,unproven,67,low
local,high,high,required,unchanged,high,low,none,0.0252,functional,151,medium
network,high,low,none,unchanged,high,high,high,0.031,unproven,84,high
network,low,none,none,unchanged,low,none,none,0.0537,unproven,69,medium
network,high,none,required,changed,low,high,low,0.1505,unproven,20,high
network,high,high,required,unchanged,high,none,high,0.154,poc,348,medium
adjacent,low,low,required,changed,none,high,none,0.0333,poc,100,medium
network,high,low,required,changed,high,high,high,0.2844,unproven,222,high
adjacent,low,none,none,unchanged,high,low,high,0.0104,functional,254,high
network,high,none,none,unchanged,high,high,high,0.0334,unproven,359,high
network,low,low,none,unchanged,none,low,low,0.2048,unproven,327,medium
network,high,none,none,unchanged,high,low,high,0.0062,functional,667,high
network,low,none,required,unchanged,high,none,high,0.0651,high,315,high
network,low,none,required,changed,low,none,high,0.1959,poc,224,high
network,high,none,required,changed,low,high,high,0.1712,unproven,69,high
local,low,high,required,changed,low,none,high,0.0215,unproven,88,medium
network,low,none,required,unchanged,high,none,high,0.0804,unproven,48,high
adjacent,low,none,none,changed,low,high,high,0.0693,functional,301,critical
physical,high,low,none,changed,low,low,high,0.1335,poc,358,medium
adjacent,low,low,none,changed,none,high,none,0.0259,unproven,352,medium
adjacent,low,none,required,changed,low,low,low,0.0055,poc,298,high
network,low,none,none,unchanged,high,high,none,0.012,unproven,199,critical
adjacent,low,none,none,unchanged,none,high,high,0.0456,unproven,408,high
network,high,none,none,unchanged,low,low,low,0.2086,unproven,334,medium
local,low,none,none,changed,high,low,high,0.1263,high,190,critical
adjacent,high,none,none,unchanged,low,none,high,0.2655,unproven,676,medium
network,high,none,none,changed,low,low,low,0.0706,unproven,98,medium
network,high,low,required,unchanged,high,high,low,0.1586,poc,315,medium
network,low,high,none,unchanged,low,none,low,0.0707,poc,381,low
local,high,none,none,changed,none,low,high,0.2474,poc,355,medium
network,low,low,required,unchanged,high,high,high,0.0484,poc,381,high
physical,low,high,none,unchanged,low,high,low,0.0191,unproven,99,medium
network,low,none,none,unchanged,low,none,high,0.166,functional,51,high
network,low,low,required,unchanged,high,none,none,0.035,poc,103,medium
adjacent,high,low,none,unchanged,high,none,low,0.0585,unproven,98,medium
network,high,high,none,unchanged,low,high,low,0.2639,unproven,237,medium
network,low,none,none,unchanged,high,none,high,0.0587,unproven,22,critical
adjacent,low,none,none,unchanged,none,none,high,0.1578,unproven,199,medium
network,low,low,none,unchanged,low,low,high,0.0361,functional,311,high
adjacent,low,none,required,unchanged,low,low,low,0.0367,functional,426,medium
network,low,none,required,unchanged,high,high,none,0.0757,unproven,403,high
local,low,low,required,unchanged,low,high,low,0.0743,functional,119,medium
network,low,high,none,unchanged,high,high,none,0.1076,unproven,250,medium
adjacent,low,none,none,unchanged,low,high,none,0.0357,functional,391,high
network,low,low,required,changed,high,none,high,0.0329,poc,29,high
local,low,low,none,unchanged,high,none,none,0.0402,unproven,246,medium
network,high,high,none,unchanged,low,none,none,0.0222,poc,382,low
local,low,high,required,unchanged,high,high,high,0.0958,unproven,81,high
adjacent,low,none,none,unchanged,high,low,high,0.0322,functional,304,high
network,low,low,none,unchanged,none,low,high,0.0774,unproven,129,medium
network,low,low,required,unchanged,high,none,low,0.0211,unproven,150,medium
physical,low,none,none,unchanged,low,none,high,0.2126,functional,96,medium
network,low,none,none,unchanged,high,none,none,0.0644,high,227,high
network,high,none,none,unchanged,high,low,high,0.0028,functional,258,high
local,low,low,required,unchanged,high,none,high,0.0223,unproven,545,medium
adjacent,low,none,none,changed,low,high,low,0.0748,unproven,250,critical
network,low,low,none,changed,low,none,high,0.0369,functional,897,high
physical,low,low,none,unchanged,none,high,low,0.091,unproven,128,medium
network,low,none,required,unchanged,low,low,none,0.0189,unproven,132,medium
network,low,low,none,unchanged,high,high,none,0.029,functional,403,high
network,low,low,required,unchanged,high,low,none,0.1547,poc,284,medium
physical,high,none,required,changed,none,high,low,0.1202,unproven,608,medium
adjacent,low,none,none,changed,high,none,none,0.0863,functional,155,high
adjacent,low,low,none,unchanged,low,none,none,0.2084,poc,109,low
local,high,none,none,unchanged,low,none,low,0.0637,poc,133,low
local,low,low,required,unchanged,low,high,high,0.0088,unproven,589,high
network,low,none,required,unchanged,low,high,high,0.0628,poc,283,high
local,low,low,none,unchanged,high,none,high,0.1892,functional,189,high
network,high,none,required,unchanged,high,low,high,0.0956,poc,195,high
network,high,low,none,unchanged,none,high,none,0.048,functional,91,medium
network,low,low,none,unchanged,none,low,none,0.2665,unproven,134,medium
network,high,none,required,changed,high,none,high,0.1918,unproven,214,high
network,high,high,none,unchanged,low,low,high,0.251,unproven,218,medium
local,low,low,none,unchanged,high,low,none,0.032,unproven,301,medium
network,low,low,required,changed,low,high,none,0.1151,unproven,426,high
network,low,high,required,unchanged,low,high,high,0.0021,poc,110,medium
local,low,none,required,unchanged,low,high,none,0.0801,unproven,454,medium
local,high,low,required,unchanged,high,low,high,0.0092,unproven,323,medium
network,low,low,none,unchanged,none,high,low,0.0537,functional,65,high
network,low,low,none,unchanged,low,low,low,0.0639,unproven,432,medium
network,high,high,none,changed,low,low,low,0.0596,unproven,171,medium
local,high,none,none,unchanged,low,none,low,0.1314,functional,335,low
network,low,low,required,unchanged,low,high,high,0.023,high,221,high
network,low,low,required,changed,high,none,none,0.1274,poc,461,medium
network,low,low,none,unchanged,none,none,high,0.1825,unproven,490,medium
network,low,low,none,unchanged,high,high,none,0.0363,poc,173,high
network,low,low,none,unchanged,low,high,high,0.0231,unproven,126,high
local,low,low,none,unchanged,low,low,none,0.0907,functional,343,medium
network,high,low,required,unchanged,none,none,high,0.2637,functional,255,medium
adjacent,low,low,none,unchanged,high,low,none,0.1141,poc,180,medium
local,low,none,required,changed,low,none,low,0.2855,unproven,122,medium
network,low,none,none,unchanged,none,low,none,0.1286,unproven,842,medium
network,low,high,none,changed,high,high,high,0.1105,functional,11,high
network,low,high,none,unchanged,high,none,low,0.0494,unproven,379,medium
network,high,low,required,changed,high,low,none,0.0812,poc,369,medium
network,low,low,none,unchanged,high,low,none,0.1619,high,224,high
network,low,none,required,unchanged,high,low,low,0.1655,functional,199,high
network,high,high,none,changed,high,none,high,0.0836,functional,119,high
local,high,low,none,changed,high,none,high,0.0546,functional,74,high
adjacent,low,low,none,changed,high,low,high,0.048,high,125,high
adjacent,low,high,none,unchanged,low,high,high,0.157,poc,241,medium
network,high,none,none,unchanged,low,high,none,0.0162,unproven,44,high
network,high,none,none,changed,high,none,high,0.0392,poc,62,high
network,low,low,none,changed,high,low,none,0.0695,unproven,215,high
network,low,none,required,unchanged,none,none,low,0.1047,poc,181,medium
network,low,low,none,changed,high,high,high,0.059,unproven,67,critical
network,high,none,none,unchanged,none,low,high,0.162,poc,283,medium
network,high,none,required,changed,high,low,low,0.2388,functional,159,high
network,low,none,none,changed,high,low,low,0.1956,unproven,416,critical
local,high,none,none,unchanged,high,none,low,0.0321,poc,280,medium
local,low,none,none,changed,high,high,high,0.1287,unproven,71,critical
network,low,low,none,unchanged,high,none,none,0.0699,unproven,246,medium
local,high,none,none,changed,none,high,none,0.0757,poc,380,medium
network,low,low,required,unchanged,high,none,high,0.0563,poc,103,high
network,high,low,none,changed,low,high,none,0.0446,functional,81,medium
network,high,none,required,changed,high,none,none,0.2111,unproven,179,medium
network,low,high,none,changed,high,none,none,0.0317,unproven,199,medium
network,high,low,required,changed,high,low,low,0.1863,functional,897,medium
network,high,none,none,unchanged,low,low,none,0.0057,unproven,231,medium
network,high,none,required,unchanged,high,high,none,0.0769,functional,408,medium
local,low,high,none,changed,high,none,none,0.0759,unproven,280,medium
network,high,low,none,unchanged,high,none,low,0.1037,poc,19,medium
local,low,low,none,unchanged,high,low,high,0.1535,functional,434,high
adjacent,high,none,none,changed,low,high,low,0.0953,functional,118,medium
local,low,low,none,unchanged,low,none,none,0.1268,functional,152,low
network,high,none,required,unchanged,low,high,none,0.0206,functional,502,medium
network,high,none,required,changed,low,none,none,0.1311,unproven,516,low
network,low,none,none,unchanged,high,high,high,0.0825,unproven,226,critical
local,low,none,required,unchanged,high,none,high,0.2652,high,165,high
network,low,none,required,unchanged,none,high,none,0.0268,unproven,127,medium
local,low,none,required,unchanged,high,none,high,0.0848,poc,400,medium
network,high,low,none,unchanged,low,high,low,0.1536,functional,244,medium
local,low,none,none,unchanged,low,low,high,0.0748,unproven,428,medium
adjacent,low,low,required,unchanged,low,high,none,0.1649,unproven,176,medium
local,low,high,none,unchanged,none,none,high,0.0509,poc,170,medium
network,low,high,none,unchanged,low,none,high,0.1918,poc,457,medium
network,high,none,required,unchanged,high,low,low,0.0987,functional,14,medium
network,high,none,none,unchanged,none,none,high,0.0378,poc,52,medium
local,low,low,none,unchanged,low,low,high,0.0247,functional,215,high
network,low,none,none,unchanged,low,none,high,0.071,poc,382,high
network,low,none,none,unchanged,high,high,low,0.1802,unproven,313,critical
adjacent,high,low,required,unchanged,low,low,high,0.1501,unproven,741,medium
local,high,low,none,changed,high,low,high,0.1994,unproven,121,high
adjacent,high,none,required,unchanged,low,low,low,0.1126,functional,28,medium
adjacent,low,none,none,unchanged,high,low,low,0.1148,poc,233,high
adjacent,high,none,required,unchanged,low,high,none,0.022,poc,147,medium
network,high,low,required,unchanged,high,high,high,0.1515,poc,160,high
adjacent,low,low,none,unchanged,high,high,high,0.0501,unproven,153,high
local,low,low,none,unchanged,none,none,none,0.0211,poc,595,low
network,low,none,required,unchanged,high,high,none,0.0318,functional,437,high
local,low,none,none,unchanged,none,none,none,0.0143,unproven,437,low
local,high,low,none,unchanged,high,high,none,0.1889,poc,276,medium
network,low,none,none,unchanged,low,none,high,0.1583,unproven,193,high
local,high,low,none,unchanged,high,high,low,0.046,unproven,151,medium
local,low,high,none,unchanged,none,none,none,0.1741,poc,54,low
network,low,none,required,unchanged,none,low,low,0.0374,poc,288,medium
local,low,low,none,unchanged,high,low,low,0.0522,poc,315,medium
local,high,low,required,unchanged,high,low,low,0.0662,high,326,medium
adjacent,low,high,none,unchanged,low,none,high,0.1358,unproven,656,medium
network,high,low,required,unchanged,high,high,high,0.1487,functional,243,medium
network,low,none,required,unchanged,high,none,none,0.212,poc,244,medium
network,low,none,none,changed,low,none,high,0.013,unproven,623,critical
local,low,low,none,unchanged,low,high,high,0.0356,functional,268,high
network,low,none,none,changed,low,high,high,0.0728,poc,390,critical
local,high,low,none,unchanged,low,high,none,0.1661,unproven,203,medium
local,low,none,none,changed,low,low,high,0.0243,poc,394,high
network,low,none,none,unchanged,low,low,low,0.0264,high,403,medium
network,low,low,none,unchanged,low,low,low,0.0708,poc,59,high
physical,low,low,required,unchanged,high,high,high,0.0177,functional,656,medium
local,low,low,required,unchanged,none,high,high,0.1731,high,182,medium
network,low,none,none,changed,high,none,high,0.057,unproven,214,critical
local,low,none,none,unchanged,none,none,low,0.0611,high,101,low
adjacent,low,none,required,unchanged,high,low,none,0.3007,poc,107,medium
local,low,low,none,unchanged,none,high,high,0.2487,unproven,110,high
network,low,low,none,unchanged,none,low,none,0.0902,poc,314,low
network,low,low,required,unchanged,high,low,none,0.0174,unproven,47,medium
network,low,high,required,unchanged,low,low,high,0.178,functional,482,medium
local,low,none,none,unchanged,high,high,none,0.0656,unproven,495,high
network,low,none,none,unchanged,high,low,high,0.0055,poc,114,critical
network,low,low,required,unchanged,low,none,low,0.0425,poc,222,medium
network,low,high,none,unchanged,low,high,none,0.025,poc,112,medium
local,low,low,none,unchanged,low,none,high,0.3045,poc,117,medium
adjacent,low,low,none,unchanged,low,high,low,0.0806,unproven,30,medium
local,high,low,none,unchanged,high,low,none,0.0417,high,218,medium
network,high,none,none,changed,none,low,high,0.0304,poc,31,high
local,low,none,required,changed,high,low,low,0.1421,poc,433,high
local,low,none,none,changed,low,high,low,0.0508,poc,109,critical
physical,high,none,required,changed,high,low,high,0.047,poc,533,medium
local,high,low,none,changed,low,high,low,0.0695,functional,184,high
adjacent,low,high,required,unchanged,high,low,low,0.0486,unproven,327,medium
network,low,none,none,unchanged,low,low,high,0.0072,unproven,69,high
network,low,high,none,unchanged,none,low,high,0.0041,functional,523,medium
local,low,none,required,unchanged,low,high,high,0.16,high,268,medium
local,high,low,none,unchanged,low,none,high,0.3115,unproven,116,medium
network,low,low,required,unchanged,low,high,high,0.0526,unproven,91,high
network,high,none,none,unchanged,low,high,low,0.0801,functional,120,high
network,low,none,required,unchanged,low,low,none,0.0471,poc,163,medium
network,low,high,none,unchanged,none,high,high,0.0969,unproven,743,medium
local,high,none,none,changed,high,high,high,0.0123,functional,460,high
adjacent,low,low,required,changed,low,low,low,0.0419,high,180,medium
network,high,low,required,unchanged,high,none,high,0.1164,functional,131,medium
network,low,none,none,unchanged,high,low,high,0.0504,poc,211,critical
network,low,none,none,unchanged,high,none,high,0.0208,high,278,critical
local,low,high,none,unchanged,high,none,none,0.1368,unproven,491,low
network,low,none,required,unchanged,none,none,high,0.0208,poc,445,medium
network,low,none,none,unchanged,none,none,high,0.0707,unproven,113,high
network,high,none,none,changed,none,none,low,0.0927,unproven,696,low
local,high,none,none,changed,none,high,low,0.1353,unproven,208,high
network,low,none,none,unchanged,high,high,none,0.091,unproven,35,high
local,low,none,required,changed,low,high,high,0.3029,unproven,271,high
adjacent,low,high,none,unchanged,high,low,none,0.1239,unproven,420,medium
network,low,low,required,unchanged,high,high,high,0.0475,unproven,307,high
adjacent,low,low,none,unchanged,low,high,high,0.1216,poc,587,high
physical,high,high,none,unchanged,low,low,high,0.0528,poc,215,medium
local,low,low,required,changed,high,none,high,0.0432,poc,627,high
adjacent,low,low,required,unchanged,low,low,high,0.128,unproven,197,medium
network,high,none,none,changed,high,high,none,0.1865,poc,33,high
adjacent,low,none,required,unchanged,low,none,none,0.3052,poc,99,low
network,high,none,none,unchanged,none,low,high,0.0929,poc,349,medium
network,low,none,required,changed,none,low,high,0.1842,high,176,high
network,low,none,required,changed,low,none,none,0.0003,unproven,250,medium
network,low,low,none,unchanged,high,high,high,0.0847,poc,213,high
network,low,low,none,unchanged,high,none,none,0.0203,unproven,58,medium
local,low,none,required,unchanged,low,high,none,0.0511,high,107,medium
network,high,low,none,changed,high,none,low,0.0352,functional,237,medium
adjacent,low,high,none,unchanged,low,high,high,0.2285,unproven,297,medium
network,low,none,none,unchanged,none,high,none,0.0979,poc,375,high
local,low,high,required,changed,low,low,none,0.1002,unproven,132,low
local,low,none,required,unchanged,high,low,high,0.0268,unproven,403,medium
network,high,low,none,unchanged,high,low,high,0.068,functional,225,high
local,low,none,none,unchanged,none,low,high,0.1947,functional,251,medium
local,low,high,none,unchanged,none,high,high,0.1858,functional,240,medium
network,high,none,none,changed,high,high,low,0.1243,poc,223,high
local,high,none,required,unchanged,high,low,high,0.2683,unproven,773,medium
network,low,low,none,changed,none,high,none,0.0394,unproven,110,high
network,low,low,none,changed,high,low,none,0.2257,unproven,198,high
network,high,none,required,changed,high,none,none,0.1613,high,275,medium
network,low,high,none,unchanged,low,low,low,0.0703,unproven,201,medium
network,low,high,none,unchanged,low,high,none,0.0112,high,404,medium
local,low,none,none,changed,high,high,none,0.0133,functional,265,high
local,low,high,required,changed,high,low,low,0.0853,unproven,197,medium
local,low,none,none,unchanged,none,high,none,0.0103,unproven,138,medium
local,high,low,none,unchanged,low,low,low,0.1574,unproven,133,medium
network,low,none,none,unchanged,high,low,low,0.2008,unproven,168,critical
network,low,none,none,unchanged,none,low,high,0.0065,unproven,230,high
network,low,none,none,unchanged,none,low,high,0.2168,unproven,92,high
network,low,low,none,unchanged,low,none,none,0.0401,high,189,medium
network,high,none,none,unchanged,none,low,none,0.0909,poc,388,low
physical,low,high,required,changed,high,low,high,0.2613,high,183,medium
local,low,none,none,unchanged,low,low,high,0.3248,unproven,194,high
network,low,none,required,unchanged,low,high,none,0.2695,unproven,346,medium
local,low,low,required,unchanged,high,low,low,0.0352,unproven,96,medium
local,high,none,none,unchanged,low,low,high,0.0778,poc,307,medium
adjacent,high,none,none,unchanged,low,low,high,0.2236,poc,570,medium
network,low,none,none,unchanged,high,high,high,0.0335,unproven,367,critical
network,high,none,none,changed,high,high,none,0.1207,unproven,335,high
local,low,low,none,changed,none,high,low,0.0632,functional,16,high
local,low,none,none,unchanged,high,low,low,0.1042,functional,62,high
network,high,none,required,unchanged,none,low,none,0.0876,poc,48,low
network,high,low,required,unchanged,low,low,high,0.1062,functional,91,medium
network,high,none,none,unchanged,high,none,high,0.1702,functional,105,high
network,low,none,none,unchanged,none,low,none,0.2995,unproven,116,medium
network,high,none,none,unchanged,low,high,high,0.0539,functional,479,high
network,high,high,none,changed,high,high,none,0.013,unproven,265,high
network,low,none,none,unchanged,high,high,high,0.0367,unproven,87,high
network,low,none,required,changed,low,none,high,0.0309,unproven,181,high
local,low,low,none,unchanged,low,high,none,0.2381,unproven,9,medium
network,low,none,none,unchanged,low,low,low,0.1721,poc,391,high
network,low,none,none,unchanged,low,none,low,0.0243,unproven,167,medium
network,low,high,none,unchanged,low,high,none,0.0363,poc,75,medium
adjacent,high,low,required,unchanged,none,high,high,0.3266,poc,102,medium
network,high,high,none,unchanged,none,low,high,0.1219,poc,315,low
physical,low,none,none,unchanged,high,low,high,0.0618,functional,307,medium
adjacent,low,low,required,unchanged,low,high,high,0.0852,poc,541,medium
network,low,high,none,changed,high,low,none,0.2681,poc,192,high
adjacent,low,none,none,unchanged,low,low,high,0.0227,unproven,107,high
network,low,low,none,unchanged,high,none,high,0.2433,unproven,183,high
local,high,none,required,unchanged,high,high,high,0.0099,poc,193,medium
local,low,high,none,unchanged,none,low,high,0.1898,unproven,413,medium
adjacent,low,none,none,unchanged,high,none,high,0.1767,poc,249,high
network,high,high,none,unchanged,none,high,high,0.0233,unproven,77,medium
network,low,none,none,unchanged,low,low,high,0.0823,functional,43,critical
network,low,none,none,unchanged,high,none,high,0.0932,poc,263,critical
network,low,low,none,changed,low,none,high,0.0157,unproven,341,high
network,low,low,required,changed,low,low,none,0.1439,unproven,183,medium
network,low,low,none,unchanged,high,none,low,0.0538,functional,284,medium
network,low,low,none,changed,low,low,high,0.0091,poc,459,high
physical,low,high,required,changed,high,none,high,0.2369,unproven,196,medium
network,low,none,required,unchanged,high,low,high,0.0562,unproven,417,high
network,low,high,none,unchanged,none,none,low,0.0304,unproven,584,low
network,low,high,required,unchanged,high,low,none,0.3032,poc,380,medium
network,high,low,none,unchanged,low,low,none,0.2008,poc,311,medium
adjacent,low,none,required,unchanged,low,low,none,0.008,unproven,315,medium
local,low,low,none,unchanged,low,none,high,0.0211,poc,481,medium
network,high,none,none,unchanged,high,low,none,0.0863,unproven,178,medium
network,low,low,required,unchanged,high,high,low,0.0978,unproven,68,medium
network,high,high,none,unchanged,high,low,high,0.3278,functional,194,medium
local,high,none,none,unchanged,high,none,low,0.0313,unproven,122,medium
local,low,none,none,unchanged,high,high,low,0.0563,unproven,167,high
local,high,low,none,changed,none,none,high,0.0543,poc,260,medium
network,low,none,required,unchanged,low,high,high,0.1755,unproven,239,critical
physical,high,none,none,changed,low,none,none,0.0628,functional,56,low
network,low,low,none,unchanged,low,high,high,0.1301,unproven,463,high
local,low,low,none,changed,low,high,none,0.1229,unproven,146,medium
network,high,none,none,unchanged,none,low,low,0.033,poc,246,medium
adjacent,low,low,required,unchanged,none,low,low,0.0434,unproven,106,medium
network,low,none,none,unchanged,low,high,low,0.0947,unproven,822,high
physical,low,high,none,unchanged,high,low,low,0.0373,functional,324,medium
network,low,low,required,changed,high,none,low,0.3648,poc,106,high
network,low,high,required,unchanged,high,high,none,0.1444,unproven,202,medium
adjacent,low,high,none,unchanged,high,high,none,0.129,high,233,medium
local,high,high,none,changed,none,low,high,0.0795,functional,332,medium
local,low,none,none,unchanged,low,high,low,0.0476,high,114,high
network,low,none,required,unchanged,high,low,low,0.0275,unproven,375,high
adjacent,high,high,none,unchanged,high,high,high,0.1182,unproven,317,medium
network,low,high,none,unchanged,low,none,high,0.0233,unproven,422,medium
network,low,none,none,changed,none,high,none,0.1665,functional,289,high
network,low,low,required,unchanged,high,high,none,0.0512,poc,155,high
network,high,none,none,unchanged,high,low,high,0.1316,functional,43,high
local,low,none,none,unchanged,high,none,low,0.3002,functional,869,medium
local,high,none,required,unchanged,low,low,high,0.0795,functional,85,medium
local,low,low,none,unchanged,high,high,low,0.0894,poc,176,high
network,low,none,none,changed,high,low,none,0.361,unproven,239,critical
physical,low,none,required,unchanged,high,none,high,0.1063,functional,121,medium
physical,low,high,required,unchanged,none,high,high,0.0964,poc,132,medium
network,high,none,required,unchanged,low,high,none,0.06,unproven,422,medium
network,low,none,none,unchanged,none,none,high,0.0764,poc,412,high
network,high,high,required,unchanged,none,high,low,0.261,poc,291,medium
physical,high,low,required,unchanged,high,none,low,0.039,poc,140,medium
local,high,low,required,unchanged,low,high,none,0.1731,poc,127,medium
adjacent,low,none,none,unchanged,low,none,low,0.1344,poc,450,medium
network,high,none,none,unchanged,none,high,low,0.0851,unproven,429,medium
physical,low,low,none,unchanged,none,high,none,0.1294,unproven,161,medium
physical,high,low,none,changed,none,low,none,0.0874,unproven,313,low
network,high,low,required,unchanged,high,low,high,0.1104,functional,153,medium
network,low,none,none,unchanged,none,low,high,0.1921,poc,56,high
adjacent,low,low,required,unchanged,low,none,high,0.0376,unproven,360,medium
local,high,low,required,unchanged,none,low,low,0.1442,unproven,378,medium
network,low,low,required,unchanged,low,high,none,0.0449,functional,48,medium
network,low,low,none,changed,none,low,none,0.0016,unproven,21,medium
physical,low,low,none,unchanged,low,low,high,0.0915,unproven,207,medium
network,low,none,none,unchanged,low,high,high,0.0283,poc,119,high
local,low,low,required,unchanged,none,none,low,0.1352,poc,729,low
network,high,high,required,unchanged,low,high,low,0.0433,unproven,215,medium
network,low,low,none,unchanged,none,high,high,0.0621,functional,408,high
network,high,low,none,unchanged,none,none,high,0.0791,high,40,medium
network,low,none,none,unchanged,high,high,low,0.0567,functional,335,critical
physical,low,none,none,unchanged,low,low,high,0.1987,poc,526,medium
adjacent,low,none,none,changed,high,none,none,0.0289,unproven,754,high
network,low,none,none,unchanged,high,high,high,0.1494,high,334,critical
local,low,low,required,unchanged,high,none,high,0.1122,high,535,medium
network,high,none,none,unchanged,low,low,none,0.0541,poc,32,medium
network,low,low,none,changed,high,low,high,0.1452,high,285,critical
local,low,none,required,unchanged,none,high,low,0.1069,unproven,140,medium
network,high,none,required,unchanged,none,none,low,0.059,unproven,321,low
local,high,none,required,unchanged,none,low,high,0.1801,high,236,medium
local,low,low,required,unchanged,low,high,high,0.1163,high,326,medium
local,high,high,required,unchanged,low,low,none,0.0987,poc,87,low
network,low,low,none,unchanged,none,none,none,0.1506,functional,86,low
