text_length,word_count,avg_word_length,max_token_length,uppercase_ratio,digit_ratio,punct_ratio,line_count,non_ascii_ratio,zero_width_count,url_count,trigger_keyword_count,role_keyword_count,delimiter_marker_count,has_base64_blob,label,category,target_delta,cs_class,family_l2,technique_l3,conjecture,multi_turn,domain,template_group,obfuscation,language,carrier
133,19,6.053,15,0.0769,0.0827,0.0977,1,0.0526,0,0,1,0,0,0,injection,rule_bypass,delta1,social_cognitive,cognitive_control_bypass,pragmatic_manipulation,C1,0,medical,03-fda-social-engineering,homoglyph,en,clinical_prompt
139,20,6.0,16,0.0645,0.0647,0.1295,1,0.0432,6,0,2,0,0,0,injection,rule_bypass,delta1,social_cognitive,cognitive_control_bypass,pragmatic_manipulation,C1,0,medical,03-fda-social-engineering,zero_width,en,clinical_prompt
133,19,6.053,15,0.0811,0.2105,0.0977,1,0.0,0,0,2,0,0,0,injection,rule_bypass,delta1,social_cognitive,cognitive_control_bypass,pragmatic_manipulation,C1,0,medical,03-fda-social-engineering,leetspeak,en,clinical_prompt
130,19,5.895,15,0.0769,0.0692,0.0923,1,0.0,0,0,2,0,0,0,injection,rule_bypass,delta1,social_cognitive,cognitive_control_bypass,pragmatic_manipulation,C1,0,medical,03-fda-social-engineering,none,en,clinical_prompt
134,20,5.75,15,0.0645,0.0746,0.0896,1,0.0821,0,0,2,0,0,0,injection,rule_bypass,delta1,social_cognitive,cognitive_control_bypass,pragmatic_manipulation,C1,0,medical,03-fda-social-engineering,homoglyph,en,clinical_prompt
130,19,5.895,15,0.0769,0.0692,0.0923,1,0.0,0,0,2,0,0,0,injection,rule_bypass,delta1,social_cognitive,cognitive_control_bypass,pragmatic_manipulation,C1,0,medical,03-fda-social-engineering,none,en,clinical_prompt
129,19,5.842,15,0.0667,0.0698,0.093,1,0.0,0,0,2,0,0,0,injection,rule_bypass,delta1,social_cognitive,cognitive_control_bypass,pragmatic_manipulation,C1,0,medical,03-fda-social-engineering,none,en,clinical_prompt
134,19,6.105,16,0.0769,0.0672,0.1194,1,0.0299,4,0,2,0,0,0,injection,rule_bypass,delta1,social_cognitive,cognitive_control_bypass,pragmatic_manipulation,C1,0,medical,03-fda-social-engineering,zero_width,en,clinical_prompt
133,20,5.7,15,0.0649,0.188,0.0902,1,0.0,0,0,2,0,0,0,injection,rule_bypass,delta1,social_cognitive,cognitive_control_bypass,pragmatic_manipulation,C1,0,medical,03-fda-social-engineering,leetspeak,en,clinical_prompt
133,19,6.053,15,0.0769,0.0827,0.0977,1,0.0,0,0,2,0,0,0,injection,rule_bypass,delta1,social_cognitive,cognitive_control_bypass,pragmatic_manipulation,C1,0,medical,03-fda-social-engineering,none,en,clinical_prompt
131,19,5.947,15,0.075,0.1603,0.0916,1,0.0,0,0,1,0,0,0,injection,rule_bypass,delta1,social_cognitive,cognitive_control_bypass,pragmatic_manipulation,C1,0,medical,03-fda-social-engineering,leetspeak,en,clinical_prompt
137,19,6.263,16,0.0769,0.0803,0.1241,1,0.0292,4,0,2,0,0,0,injection,rule_bypass,delta1,social_cognitive,cognitive_control_bypass,pragmatic_manipulation,C1,0,medical,03-fda-social-engineering,zero_width,en,clinical_prompt
129,19,5.842,15,0.0667,0.0698,0.093,1,0.0698,0,0,2,0,0,0,injection,rule_bypass,delta1,social_cognitive,cognitive_control_bypass,pragmatic_manipulation,C1,0,medical,03-fda-social-engineering,homoglyph,en,clinical_prompt
131,19,5.947,15,0.0769,0.0763,0.0916,1,0.0,0,0,2,0,0,0,injection,rule_bypass,delta1,social_cognitive,cognitive_control_bypass,pragmatic_manipulation,C1,0,medical,03-fda-social-engineering,none,en,clinical_prompt
130,19,5.895,15,0.0843,0.1308,0.0923,1,0.0,0,0,1,0,0,0,injection,rule_bypass,delta1,social_cognitive,cognitive_control_bypass,pragmatic_manipulation,C1,0,medical,03-fda-social-engineering,leetspeak,en,clinical_prompt
131,19,5.947,15,0.0769,0.0763,0.0916,1,0.084,0,0,2,0,0,0,injection,rule_bypass,delta1,social_cognitive,cognitive_control_bypass,pragmatic_manipulation,C1,0,medical,03-fda-social-engineering,homoglyph,en,clinical_prompt
133,20,5.7,15,0.0645,0.0677,0.0902,1,0.0,0,0,2,0,0,0,injection,rule_bypass,delta1,social_cognitive,cognitive_control_bypass,pragmatic_manipulation,C1,0,medical,03-fda-social-engineering,none,en,clinical_prompt
132,19,6.0,15,0.0769,0.0682,0.1061,1,0.0152,2,0,2,0,0,0,injection,rule_bypass,delta1,social_cognitive,cognitive_control_bypass,pragmatic_manipulation,C1,0,medical,03-fda-social-engineering,zero_width,en,clinical_prompt
130,19,5.895,15,0.0769,0.0692,0.0923,1,0.0,0,0,2,0,0,0,injection,rule_bypass,delta1,social_cognitive,cognitive_control_bypass,pragmatic_manipulation,C1,0,medical,03-fda-social-engineering,none,en,clinical_prompt
130,19,5.895,15,0.0769,0.0692,0.0923,1,0.0462,0,0,2,0,0,0,injection,rule_bypass,delta1,social_cognitive,cognitive_control_bypass,pragmatic_manipulation,C1,0,medical,03-fda-social-engineering,homoglyph,en,clinical_prompt
167,18,8.333,56,0.189,0.0778,0.0599,1,0.0,0,0,1,0,0,1,injection,rule_bypass,delta1,social_cognitive,cognitive_control_bypass,pragmatic_manipulation,C1,0,medical,03-fda-social-engineering,base64,en,clinical_prompt
133,20,5.7,15,0.0822,0.218,0.0902,1,0.0,0,0,0,0,0,0,injection,rule_bypass,delta1,social_cognitive,cognitive_control_bypass,pragmatic_manipulation,C1,0,medical,03-fda-social-engineering,leetspeak,en,clinical_prompt
136,19,6.211,16,0.0769,0.0809,0.1176,1,0.0221,3,0,2,0,0,0,injection,rule_bypass,delta1,social_cognitive,cognitive_control_bypass,pragmatic_manipulation,C1,0,medical,03-fda-social-engineering,zero_width,en,clinical_prompt
134,20,5.75,15,0.0645,0.0746,0.0896,1,0.0,0,0,2,0,0,0,injection,rule_bypass,delta1,social_cognitive,cognitive_control_bypass,pragmatic_manipulation,C1,0,medical,03-fda-social-engineering,none,en,clinical_prompt
166,18,8.278,56,0.2266,0.0723,0.0542,1,0.0,0,0,1,0,0,1,injection,rule_bypass,delta1,social_cognitive,cognitive_control_bypass,pragmatic_manipulation,C1,0,medical,03-fda-social-engineering,base64,en,clinical_prompt
137,19,6.263,16,0.0769,0.0876,0.1168,1,0.0219,3,0,2,0,0,0,injection,rule_bypass,delta1,social_cognitive,cognitive_control_bypass,pragmatic_manipulation,C1,0,medical,03-fda-social-engineering,zero_width,en,clinical_prompt
130,19,5.895,15,0.0864,0.1462,0.0923,1,0.0,0,0,2,0,0,0,injection,rule_bypass,delta1,social_cognitive,cognitive_control_bypass,pragmatic_manipulation,C1,0,medical,03-fda-social-engineering,leetspeak,en,clinical_prompt
139,19,6.368,16,0.0769,0.0791,0.1367,1,0.0432,6,0,2,0,0,0,injection,rule_bypass,delta1,social_cognitive,cognitive_control_bypass,pragmatic_manipulation,C1,0,medical,03-fda-social-engineering,zero_width,en,clinical_prompt
130,19,5.895,15,0.0769,0.0692,0.0923,1,0.0,0,0,2,0,0,0,injection,rule_bypass,delta1,social_cognitive,cognitive_control_bypass,pragmatic_manipulation,C1,0,medical,03-fda-social-engineering,none,en,clinical_prompt
168,18,8.389,56,0.1969,0.0833,0.0595,1,0.0,0,0,1,0,0,1,injection,rule_bypass,delta1,social_cognitive,cognitive_control_bypass,pragmatic_manipulation,C1,0,medical,03-fda-social-engineering,base64,en,clinical_prompt
130,19,5.895,15,0.0769,0.0692,0.0923,1,0.0385,0,0,2,0,0,0,injection,rule_bypass,delta1,social_cognitive,cognitive_control_bypass,pragmatic_manipulation,C1,0,medical,03-fda-social-engineering,homoglyph,en,clinical_prompt
129,19,5.842,15,0.0667,0.0698,0.093,1,0.0,0,0,2,0,0,0,injection,rule_bypass,delta1,social_cognitive,cognitive_control_bypass,pragmatic_manipulation,C1,0,medical,03-fda-social-engineering,none,en,clinical_prompt
136,19,6.211,15,0.0769,0.0809,0.1176,1,0.0221,3,0,2,0,0,0,injection,rule_bypass,delta1,social_cognitive,cognitive_control_bypass,pragmatic_manipulation,C1,0,medical,03-fda-social-engineering,zero_width,en,clinical_prompt
130,19,5.895,15,0.0769,0.0692,0.0923,1,0.0,0,0,2,0,0,0,injection,rule_bypass,delta1,social_cognitive,cognitive_control_bypass,pragmatic_manipulation,C1,0,medical,03-fda-social-engineering,none,en,clinical_prompt
129,19,5.842,15,0.0667,0.0698,0.093,1,0.0,0,0,2,0,0,0,injection,rule_bypass,delta1,social_cognitive,cognitive_control_bypass,pragmatic_manipulation,C1,0,medical,03-fda-social-engineering,none,en,clinical_prompt
130,19,5.895,15,0.0769,0.0692,0.0923,1,0.0,0,0,2,0,0,0,injection,rule_bypass,delta1,social_cognitive,cognitive_control_bypass,pragmatic_manipulation,C1,0,medical,03-fda-social-engineering,none,en,clinical_prompt
130,19,5.895,15,0.0667,0.0769,0.0923,1,0.0,0,0,2,0,0,0,injection,rule_bypass,delta1,social_cognitive,cognitive_control_bypass,pragmatic_manipulation,C1,0,medical,03-fda-social-engineering,none,en,clinical_prompt
130,19,5.895,15,0.0769,0.0692,0.0923,1,0.0769,0,0,2,0,0,0,injection,rule_bypass,delta1,social_cognitive,cognitive_control_bypass,pragmatic_manipulation,C1,0,medical,03-fda-social-engineering,homoglyph,en,clinical_prompt
133,19,6.053,15,0.0769,0.0752,0.1053,1,0.015,2,0,2,0,0,0,injection,rule_bypass,delta1,social_cognitive,cognitive_control_bypass,pragmatic_manipulation,C1,0,medical,03-fda-social-engineering,zero_width,en,clinical_prompt
133,19,6.053,15,0.0779,0.188,0.0977,1,0.0,0,0,1,0,0,0,injection,rule_bypass,delta1,social_cognitive,cognitive_control_bypass,pragmatic_manipulation,C1,0,medical,03-fda-social-engineering,leetspeak,en,clinical_prompt
130,19,5.895,15,0.0769,0.0692,0.0923,1,0.0692,0,0,1,0,0,0,injection,rule_bypass,delta1,social_cognitive,cognitive_control_bypass,pragmatic_manipulation,C1,0,medical,03-fda-social-engineering,homoglyph,en,clinical_prompt
139,20,6.0,15,0.0645,0.0647,0.1295,1,0.0432,6,0,2,0,0,0,injection,rule_bypass,delta1,social_cognitive,cognitive_control_bypass,pragmatic_manipulation,C1,0,medical,03-fda-social-engineering,zero_width,en,clinical_prompt
133,20,5.7,15,0.0645,0.0677,0.0902,1,0.0,0,0,2,0,0,0,injection,rule_bypass,delta1,social_cognitive,cognitive_control_bypass,pragmatic_manipulation,C1,0,medical,03-fda-social-engineering,none,en,clinical_prompt
129,19,5.842,15,0.0667,0.0698,0.093,1,0.0698,0,0,2,0,0,0,injection,rule_bypass,delta1,social_cognitive,cognitive_control_bypass,pragmatic_manipulation,C1,0,medical,03-fda-social-engineering,homoglyph,en,clinical_prompt
131,19,5.947,15,0.0769,0.0763,0.0916,1,0.0534,0,0,1,0,0,0,injection,rule_bypass,delta1,social_cognitive,cognitive_control_bypass,pragmatic_manipulation,C1,0,medical,03-fda-social-engineering,homoglyph,en,clinical_prompt
136,20,5.85,15,0.0645,0.0662,0.1103,1,0.0221,3,0,2,0,0,0,injection,rule_bypass,delta1,social_cognitive,cognitive_control_bypass,pragmatic_manipulation,C1,0,medical,03-fda-social-engineering,zero_width,en,clinical_prompt
138,20,5.95,16,0.0645,0.0652,0.1232,1,0.0362,5,0,2,0,0,0,injection,rule_bypass,delta1,social_cognitive,cognitive_control_bypass,pragmatic_manipulation,C1,0,medical,03-fda-social-engineering,zero_width,en,clinical_prompt
133,19,6.053,15,0.0854,0.1504,0.0977,1,0.0,0,0,2,0,0,0,injection,rule_bypass,delta1,social_cognitive,cognitive_control_bypass,pragmatic_manipulation,C1,0,medical,03-fda-social-engineering,leetspeak,en,clinical_prompt
130,19,5.895,15,0.0769,0.0692,0.0923,1,0.0,0,0,2,0,0,0,injection,rule_bypass,delta1,social_cognitive,cognitive_control_bypass,pragmatic_manipulation,C1,0,medical,03-fda-social-engineering,none,en,clinical_prompt
129,19,5.842,15,0.0667,0.0698,0.093,1,0.0,0,0,2,0,0,0,injection,rule_bypass,delta1,social_cognitive,cognitive_control_bypass,pragmatic_manipulation,C1,0,medical,03-fda-social-engineering,none,en,clinical_prompt
58,9,5.556,9,0.0426,0.0,0.0517,1,0.0,0,0,0,1,0,0,injection,prompt_leak,delta1,social_cognitive,context_shift_prompting,secret_linguistic_property_probing,C1,0,medical,04-prompt-leak-translation,none,en,clinical_prompt
98,15,5.6,15,0.038,0.0,0.051,1,0.0,0,0,0,4,0,0,injection,prompt_leak,delta1,social_cognitive,context_shift_prompting,privilege_escalation_prompting,C1,0,medical,05-prompt-leak-admin,none,en,clinical_prompt
144,11,12.182,47,0.2778,0.0278,0.1389,2,0.0,0,0,1,0,0,0,injection,injection,delta1,overt,direct_prompt_injection,attacker_submitted_prompt_body_injection,,0,medical,06-firmware-override,none,en,clinical_prompt
442,67,5.567,11,0.0843,0.0158,0.0226,7,0.0,0,0,0,0,0,0,injection,injection,delta1,indirect,indirect_context_data,prior_llm_output_injection,C1,0,medical,07-conjecture-1-multi-turn-apt,none,en,clinical_prompt
133,11,11.182,45,0.31,0.015,0.1429,1,0.0,0,0,2,1,0,0,injection,rule_bypass,delta0,social_cognitive,context_shift_prompting,simulated_harm_prompting,,0,medical,08-ransomware-tool-hijack,none,en,clinical_prompt
207,30,5.933,14,0.0769,0.0145,0.0242,1,0.0,0,0,1,0,0,0,injection,injection,delta1,overt,direct_prompt_injection,attacker_submitted_prompt_body_injection,,0,medical,09-gap3-null-injection-control,none,en,clinical_prompt
307,15,19.4,156,0.5346,0.0489,0.0489,5,0.0,0,0,0,1,0,1,injection,injection,delta2,evasive,instruction_reformulation,base_n_encoding,C2,0,medical,10-gap4-base64-bypass,none,en,clinical_prompt
128,14,8.214,43,0.0286,0.0,0.0625,1,0.0,0,0,4,1,0,0,injection,injection,delta0,overt,direct_prompt_injection,attacker_submitted_prompt_body_injection,,0,medical,10-gap4-baseline-control,none,en,clinical_prompt
131,14,8.429,46,0.028,0.0,0.0611,1,0.3664,0,0,0,0,0,0,injection,injection,delta2,evasive,instruction_reformulation,homoglyph_visual_substitution,C2,0,medical,100-gap4-homoglyph-nfkc-defense,none,en,clinical_prompt
421,56,6.536,25,0.1061,0.0713,0.057,1,0.3634,0,0,0,0,0,0,injection,injection,delta2,evasive,instruction_reformulation,homoglyph_visual_substitution,C2,0,medical,100-gap4-v1-homoglyph-nfkc-defense,none,en,clinical_prompt
757,70,9.786,57,0.0651,0.0581,0.1413,9,0.0,0,0,2,0,0,0,injection,injection,delta1,indirect,indirect_context_data,agent_to_agent_injection,C1,1,medical,100-ghost-tool-invocation,none,en,clinical_prompt
753,70,9.729,57,0.0654,0.178,0.1421,9,0.0,0,0,0,0,0,0,injection,injection,delta1,indirect,indirect_context_data,agent_to_agent_injection,C1,1,medical,100-ghost-tool-invocation,leetspeak,en,clinical_prompt
761,68,10.162,57,0.0579,0.0578,0.1537,9,0.0158,12,0,2,0,0,0,injection,injection,delta1,indirect,indirect_context_data,agent_to_agent_injection,C1,1,medical,100-ghost-tool-invocation,zero_width,en,clinical_prompt
786,67,10.701,57,0.0909,0.0623,0.1349,9,0.0,0,0,1,0,0,1,injection,injection,delta1,indirect,indirect_context_data,agent_to_agent_injection,C1,1,medical,100-ghost-tool-invocation,base64,en,clinical_prompt
745,68,9.926,57,0.0664,0.0591,0.1436,9,0.0725,0,0,2,0,0,0,injection,injection,delta1,indirect,indirect_context_data,agent_to_agent_injection,C1,1,medical,100-ghost-tool-invocation,homoglyph,en,clinical_prompt
745,68,9.926,57,0.0656,0.1732,0.1436,9,0.0,0,0,0,0,0,0,injection,injection,delta1,indirect,indirect_context_data,agent_to_agent_injection,C1,1,medical,100-ghost-tool-invocation,leetspeak,en,clinical_prompt
774,65,10.877,57,0.0926,0.0633,0.137,9,0.0,0,0,1,0,0,1,injection,injection,delta1,indirect,indirect_context_data,agent_to_agent_injection,C1,1,medical,100-ghost-tool-invocation,base64,en,clinical_prompt
755,70,9.757,57,0.0654,0.0583,0.1417,9,0.0675,0,0,1,0,0,0,injection,injection,delta1,indirect,indirect_context_data,agent_to_agent_injection,C1,1,medical,100-ghost-tool-invocation,homoglyph,en,clinical_prompt
786,69,10.362,57,0.1099,0.0623,0.1374,9,0.0,0,0,1,0,0,1,injection,injection,delta1,indirect,indirect_context_data,agent_to_agent_injection,C1,1,medical,100-ghost-tool-invocation,base64,en,clinical_prompt
759,70,9.814,57,0.0649,0.058,0.141,9,0.0764,0,0,0,0,0,0,injection,injection,delta1,indirect,indirect_context_data,agent_to_agent_injection,C1,1,medical,100-ghost-tool-invocation,homoglyph,en,clinical_prompt
789,67,10.746,57,0.0985,0.0659,0.1369,9,0.0,0,0,1,0,0,1,injection,injection,delta1,indirect,indirect_context_data,agent_to_agent_injection,C1,1,medical,100-ghost-tool-invocation,base64,en,clinical_prompt
761,70,9.843,57,0.0646,0.0578,0.1406,9,0.0,0,0,2,0,0,0,injection,injection,delta1,indirect,indirect_context_data,agent_to_agent_injection,C1,1,medical,100-ghost-tool-invocation,none,en,clinical_prompt
745,68,9.926,57,0.0584,0.0591,0.1409,9,0.0617,0,0,1,0,0,0,injection,injection,delta1,indirect,indirect_context_data,agent_to_agent_injection,C1,1,medical,100-ghost-tool-invocation,homoglyph,en,clinical_prompt
761,70,9.843,57,0.0646,0.0578,0.1406,9,0.0,0,0,2,0,0,0,injection,injection,delta1,indirect,indirect_context_data,agent_to_agent_injection,C1,1,medical,100-ghost-tool-invocation,none,en,clinical_prompt
759,70,9.814,57,0.0649,0.058,0.141,9,0.0,0,0,2,0,0,0,injection,injection,delta1,indirect,indirect_context_data,agent_to_agent_injection,C1,1,medical,100-ghost-tool-invocation,none,en,clinical_prompt
759,70,9.814,57,0.0674,0.1818,0.141,9,0.0,0,0,1,0,0,0,injection,injection,delta1,indirect,indirect_context_data,agent_to_agent_injection,C1,1,medical,100-ghost-tool-invocation,leetspeak,en,clinical_prompt
751,70,9.7,57,0.0775,0.0586,0.1425,9,0.0,0,0,2,0,0,0,injection,injection,delta1,indirect,indirect_context_data,agent_to_agent_injection,C1,1,medical,100-ghost-tool-invocation,none,en,clinical_prompt
761,70,9.843,57,0.0646,0.0578,0.1406,9,0.0,0,0,2,0,0,0,injection,injection,delta1,indirect,indirect_context_data,agent_to_agent_injection,C1,1,medical,100-ghost-tool-invocation,none,en,clinical_prompt
768,70,9.943,57,0.0642,0.0612,0.1393,9,0.0495,0,0,2,0,0,0,injection,injection,delta1,indirect,indirect_context_data,agent_to_agent_injection,C1,1,medical,100-ghost-tool-invocation,homoglyph,en,clinical_prompt
773,70,10.014,57,0.0654,0.0569,0.1617,9,0.0233,18,0,2,0,0,0,injection,injection,delta1,indirect,indirect_context_data,agent_to_agent_injection,C1,1,medical,100-ghost-tool-invocation,zero_width,en,clinical_prompt
748,68,9.971,57,0.0664,0.0628,0.143,9,0.0,0,0,2,0,0,0,injection,injection,delta1,indirect,indirect_context_data,agent_to_agent_injection,C1,1,medical,100-ghost-tool-invocation,none,en,clinical_prompt
764,70,9.886,57,0.0646,0.0615,0.1401,9,0.0,0,0,2,0,0,0,injection,injection,delta1,indirect,indirect_context_data,agent_to_agent_injection,C1,1,medical,100-ghost-tool-invocation,none,en,clinical_prompt
751,70,9.7,57,0.0659,0.0586,0.1425,9,0.0599,0,0,1,0,0,0,injection,injection,delta1,indirect,indirect_context_data,agent_to_agent_injection,C1,1,medical,100-ghost-tool-invocation,homoglyph,en,clinical_prompt
749,68,9.985,57,0.0579,0.0587,0.1402,9,0.0721,0,0,1,0,0,0,injection,injection,delta1,indirect,indirect_context_data,agent_to_agent_injection,C1,1,medical,100-ghost-tool-invocation,homoglyph,en,clinical_prompt
801,69,10.58,57,0.0968,0.0649,0.1348,9,0.0,0,0,1,0,0,1,injection,injection,delta1,indirect,indirect_context_data,agent_to_agent_injection,C1,1,medical,100-ghost-tool-invocation,base64,en,clinical_prompt
753,70,9.729,57,0.0656,0.0584,0.1421,9,0.0,0,0,2,0,0,0,injection,injection,delta1,indirect,indirect_context_data,agent_to_agent_injection,C1,1,medical,100-ghost-tool-invocation,none,en,clinical_prompt
762,70,9.857,57,0.0775,0.0577,0.1549,9,0.0144,11,0,2,0,0,0,injection,injection,delta1,indirect,indirect_context_data,agent_to_agent_injection,C1,1,medical,100-ghost-tool-invocation,zero_width,en,clinical_prompt
759,70,9.814,57,0.0649,0.058,0.141,9,0.0514,0,0,2,0,0,0,injection,injection,delta1,indirect,indirect_context_data,agent_to_agent_injection,C1,1,medical,100-ghost-tool-invocation,homoglyph,en,clinical_prompt
765,70,9.9,57,0.0642,0.0575,0.1399,9,0.0,0,0,2,0,0,0,injection,injection,delta1,indirect,indirect_context_data,agent_to_agent_injection,C1,1,medical,100-ghost-tool-invocation,none,en,clinical_prompt
765,70,9.9,57,0.0642,0.0575,0.1399,9,0.0,0,0,2,0,0,0,injection,injection,delta1,indirect,indirect_context_data,agent_to_agent_injection,C1,1,medical,100-ghost-tool-invocation,none,en,clinical_prompt
755,70,9.757,57,0.0654,0.0583,0.1417,9,0.0,0,0,2,0,0,0,injection,injection,delta1,indirect,indirect_context_data,agent_to_agent_injection,C1,1,medical,100-ghost-tool-invocation,none,en,clinical_prompt
775,70,10.043,57,0.0651,0.0606,0.1574,9,0.0194,15,0,2,0,0,0,injection,injection,delta1,indirect,indirect_context_data,agent_to_agent_injection,C1,1,medical,100-ghost-tool-invocation,zero_width,en,clinical_prompt
747,68,9.956,57,0.0677,0.1539,0.1432,9,0.0,0,0,1,0,0,0,injection,injection,delta1,indirect,indirect_context_data,agent_to_agent_injection,C1,1,medical,100-ghost-tool-invocation,leetspeak,en,clinical_prompt
759,70,9.814,57,0.0644,0.1752,0.141,9,0.0,0,0,0,0,0,0,injection,injection,delta1,indirect,indirect_context_data,agent_to_agent_injection,C1,1,medical,100-ghost-tool-invocation,leetspeak,en,clinical_prompt
753,70,9.729,57,0.0656,0.0584,0.1421,9,0.0,0,0,2,0,0,0,injection,injection,delta1,indirect,indirect_context_data,agent_to_agent_injection,C1,1,medical,100-ghost-tool-invocation,none,en,clinical_prompt
745,68,9.926,57,0.0584,0.0591,0.1409,9,0.0,0,0,2,0,0,0,injection,injection,delta1,indirect,indirect_context_data,agent_to_agent_injection,C1,1,medical,100-ghost-tool-invocation,none,en,clinical_prompt
747,68,9.956,57,0.0661,0.0589,0.1432,9,0.0,0,0,2,0,0,0,injection,injection,delta1,indirect,indirect_context_data,agent_to_agent_injection,C1,1,medical,100-ghost-tool-invocation,none,en,clinical_prompt
752,70,9.714,57,0.0778,0.0625,0.1423,9,0.0,0,0,2,0,0,0,injection,injection,delta1,indirect,indirect_context_data,agent_to_agent_injection,C1,1,medical,100-ghost-tool-invocation,none,en,clinical_prompt
780,67,10.612,57,0.0919,0.0628,0.1359,9,0.0,0,0,1,0,0,1,injection,injection,delta1,indirect,indirect_context_data,agent_to_agent_injection,C1,1,medical,100-ghost-tool-invocation,base64,en,clinical_prompt
765,70,9.9,57,0.0642,0.0575,0.1399,9,0.0,0,0,2,0,0,0,injection,injection,delta1,indirect,indirect_context_data,agent_to_agent_injection,C1,1,medical,100-ghost-tool-invocation,none,en,clinical_prompt
760,70,9.829,57,0.0651,0.0618,0.1408,9,0.0,0,0,2,0,0,0,injection,injection,delta1,indirect,indirect_context_data,agent_to_agent_injection,C1,1,medical,100-ghost-tool-invocation,none,en,clinical_prompt
747,68,9.956,57,0.0661,0.0589,0.1432,9,0.0,0,0,2,0,0,0,injection,injection,delta1,indirect,indirect_context_data,agent_to_agent_injection,C1,1,medical,100-ghost-tool-invocation,none,en,clinical_prompt
