char_length,num_words,num_digits,uppercase_ratio,num_exclamation,num_currency,num_free_keywords,num_urgent_keywords,has_url,has_phone,avg_word_length,language,is_spam
59,12,0,0.115,0,0,0,0,1,0,4.53,en,0
74,23,6,0.37,1,4,2,1,1,0,6.31,fr,1
5,16,0,0.04,0,0,0,0,0,0,4.56,fr,0
114,8,0,0.045,0,0,0,0,0,0,5.43,fr,0
59,29,0,0.028,0,0,0,0,0,0,4.72,en,0
86,15,1,0.02,0,0,0,0,0,0,4.42,fr,0
206,6,0,0.071,0,0,1,0,0,0,5.16,en,0
120,19,2,0.078,0,0,0,0,0,0,5.97,en,0
149,12,12,0.446,3,6,5,3,1,1,4.36,fr,1
87,15,2,0.138,0,0,1,0,0,0,4.22,fr,0
122,20,3,0.066,0,0,0,0,0,0,3.82,fr,0
134,23,3,0.344,2,3,2,1,1,1,4.96,fr,1
62,27,1,0.141,0,0,0,1,0,0,4.29,en,0
90,31,0,0.122,0,0,0,0,0,0,4.53,fr,0
74,12,0,0.12,0,0,0,0,0,0,5.04,fr,0
52,18,0,0.503,1,0,0,0,0,0,4.31,fr,0
98,9,4,0.299,1,0,3,4,1,0,6.22,fr,1
133,12,2,0.567,3,3,0,0,1,0,4.87,en,1
61,17,0,0.15,1,0,0,0,0,0,5.56,fr,0
122,26,2,0.061,0,0,0,0,0,0,6.13,fr,0
113,20,0,0.044,0,0,1,0,0,0,5.05,en,0
53,27,2,0.161,1,0,0,0,0,0,3.58,fr,0
71,13,0,0.016,0,0,0,0,0,0,3.85,en,0
90,24,3,0.157,0,0,0,0,0,0,3.41,en,0
127,22,0,0.238,0,0,0,0,0,0,5.15,en,0
119,29,1,0.442,0,1,0,0,1,0,4.81,fr,0
66,22,1,0.042,0,0,0,0,0,0,5.13,fr,0
101,16,1,0.13,0,0,1,0,1,0,4.2,fr,0
131,25,7,0.452,1,3,2,2,1,0,5.12,en,1
108,21,3,0.488,1,4,0,3,1,0,6.47,en,1
117,19,7,0.378,3,1,1,3,1,0,7.45,fr,1
139,4,1,0.035,1,0,1,0,0,0,5.51,en,0
139,34,2,0.335,2,0,0,2,0,1,4.74,fr,1
96,30,11,0.562,3,3,4,4,1,1,5.18,en,1
99,29,11,0.587,4,2,0,1,0,0,4.29,fr,1
68,28,0,0.041,1,0,0,0,0,0,4.44,en,0
192,19,1,0.082,0,0,0,0,0,1,5.44,en,0
165,32,7,0.411,3,1,1,2,1,0,4.95,en,1
169,25,10,0.245,3,1,2,5,1,0,5.36,en,1
74,25,3,0.257,0,1,0,0,0,1,5.01,fr,0
189,23,7,0.519,2,2,7,2,0,0,4.96,fr,1
99,14,1,0.108,1,0,0,0,0,0,3.78,en,0
133,20,6,0.404,1,1,0,4,1,0,5.45,fr,1
207,26,8,0.294,1,1,0,2,1,0,4.3,en,1
65,24,1,0.122,0,0,0,1,0,0,5.17,en,0
5,13,2,0.084,1,0,0,1,0,0,5.0,en,0
130,20,3,0.046,1,0,0,0,0,0,4.18,fr,0
194,8,1,0.051,1,0,0,0,0,0,5.52,fr,0
42,14,0,0.361,0,0,0,0,0,1,5.84,fr,0
59,14,2,0.139,1,0,0,0,1,0,5.06,en,0
116,11,2,0.103,1,0,0,0,1,0,4.18,fr,0
63,15,1,0.206,1,0,0,0,0,0,4.13,en,0
102,25,1,0.23,0,0,0,0,0,0,6.88,en,0
156,30,4,0.487,3,2,3,4,1,0,5.95,en,1
126,18,4,0.689,0,0,2,5,1,0,4.91,en,1
112,16,1,0.104,0,0,0,0,1,0,5.97,en,0
139,14,0,0.161,0,0,0,0,0,0,5.09,en,0
130,16,0,0.049,0,0,0,0,0,0,3.16,fr,0
61,16,3,0.283,0,0,0,0,0,0,3.92,en,0
95,5,0,0.153,0,0,0,1,0,0,3.54,en,0
62,18,0,0.076,0,0,0,0,0,1,4.6,fr,0
138,20,8,0.069,3,1,1,1,1,1,4.09,fr,1
163,30,5,0.399,2,0,1,2,1,0,6.18,en,1
5,24,4,0.142,0,0,0,0,0,0,5.39,en,0
149,9,6,0.656,3,1,1,1,1,1,7.42,fr,1
94,12,1,0.005,1,0,0,0,0,0,4.19,fr,0
95,10,2,0.067,1,1,0,0,0,1,3.74,fr,0
98,1,3,0.155,0,0,0,0,0,0,4.04,fr,0
89,35,1,0.02,0,0,0,0,0,0,4.58,en,0
122,20,7,0.332,2,0,1,0,1,0,5.32,en,1
48,27,3,0.168,1,1,0,0,0,0,4.01,fr,0
103,21,3,0.459,2,3,1,2,1,0,5.64,en,1
122,17,4,0.343,1,1,2,1,0,0,4.99,en,1
159,15,1,0.098,2,0,0,0,0,0,5.16,fr,0
5,17,1,0.086,0,0,0,0,1,0,4.09,fr,0
43,12,1,0.063,0,0,0,0,0,1,5.4,fr,0
48,35,0,0.191,0,0,0,0,0,0,4.33,fr,0
43,13,1,0.027,0,0,0,0,0,0,5.2,fr,0
195,21,6,0.463,2,3,5,1,1,1,5.29,fr,1
13,21,1,0.027,1,0,0,0,0,0,3.63,en,0
110,20,2,0.07,1,0,0,0,0,0,4.36,en,0
136,21,9,0.456,0,1,6,1,1,1,4.94,en,1
49,16,3,0.057,0,0,0,0,0,0,4.03,fr,0
124,19,7,0.402,4,2,4,4,0,1,4.76,fr,1
140,32,6,0.413,1,2,2,5,0,1,4.85,fr,1
86,17,0,0.001,0,0,0,0,0,0,4.58,en,0
58,16,1,0.052,2,0,1,0,0,0,5.07,en,0
198,27,9,0.692,3,3,3,5,0,0,7.05,en,1
161,19,3,0.143,2,0,0,0,0,0,5.13,en,0
77,22,5,0.559,1,6,3,1,1,1,5.63,fr,1
136,1,1,0.092,1,0,0,0,0,0,4.73,fr,0
141,20,4,0.232,3,2,2,1,1,1,5.07,fr,1
82,18,1,0.078,0,0,0,0,0,0,4.88,fr,0
142,22,0,0.039,0,0,0,0,0,0,6.02,fr,0
168,38,4,0.291,3,1,1,1,1,1,4.86,en,1
102,10,1,0.088,0,0,0,0,0,0,6.03,en,0
58,33,2,0.549,2,2,3,4,1,1,4.49,fr,1
178,26,4,0.776,2,2,1,2,1,1,4.29,en,1
97,16,1,0.231,0,0,0,0,1,0,4.44,fr,0
69,19,1,0.07,0,0,0,0,0,0,5.34,fr,0
51,24,1,0.057,0,0,0,0,0,0,3.99,fr,0
146,29,6,0.29,3,1,3,2,1,0,5.84,fr,1
120,16,2,0.064,0,1,0,0,0,0,4.52,fr,0
14,20,0,0.239,1,0,0,0,0,0,4.86,fr,0
112,37,3,0.59,1,1,1,1,1,0,4.23,fr,1
153,17,0,0.311,0,0,0,0,0,0,5.25,fr,0
118,12,1,0.089,1,0,0,0,0,0,5.15,fr,0
134,29,1,0.108,0,0,0,0,0,1,5.72,fr,0
82,21,2,0.204,0,0,0,0,0,0,4.33,fr,0
18,22,0,0.07,0,0,0,0,0,0,3.97,fr,0
103,11,9,0.43,4,5,2,3,1,1,4.17,fr,1
40,14,0,0.305,0,0,0,0,0,0,3.42,fr,0
123,18,1,0.056,0,0,0,0,0,1,5.09,en,0
230,22,0,0.309,0,0,0,0,0,0,4.56,en,0
89,26,0,0.324,1,0,0,1,0,0,4.84,en,0
62,1,1,0.144,1,0,0,0,0,0,4.25,en,0
118,19,0,0.034,0,0,0,0,1,0,2.28,en,0
5,23,2,0.026,0,0,0,0,0,0,4.88,en,0
90,13,1,0.053,1,0,0,0,0,0,4.55,fr,0
74,24,0,0.058,2,0,0,0,0,0,3.22,fr,0
211,17,1,0.164,1,0,0,0,0,0,4.19,en,0
153,19,4,0.031,0,0,0,0,0,0,4.23,en,0
68,16,0,0.074,1,0,0,0,0,0,5.52,fr,0
126,27,1,0.134,1,0,0,0,0,0,3.29,fr,0
114,33,2,0.144,0,0,0,0,0,1,4.73,fr,0
59,33,3,0.05,0,0,0,0,0,0,4.31,en,0
99,24,1,0.099,1,0,0,1,1,0,4.86,fr,0
149,31,3,0.627,1,0,1,1,1,1,4.53,fr,1
113,32,1,0.022,0,0,0,1,0,0,4.33,fr,0
54,21,1,0.034,0,0,0,0,0,0,3.71,fr,0
35,11,0,0.062,0,0,0,0,0,0,5.46,en,0
108,33,8,0.301,1,1,2,2,1,0,4.61,fr,1
102,39,5,0.251,3,4,3,2,1,1,5.38,en,1
143,10,2,0.044,1,0,0,0,0,0,5.47,fr,0
187,25,5,0.205,4,3,2,3,0,1,4.52,fr,1
47,4,0,0.156,0,0,0,0,0,0,4.19,fr,0
5,19,2,0.223,0,0,0,0,0,0,5.8,fr,0
174,10,6,0.147,2,2,1,2,1,1,5.33,fr,1
40,15,0,0.052,0,0,0,0,0,0,3.12,fr,0
165,21,6,0.11,2,1,2,4,0,0,4.97,fr,1
174,32,6,0.546,4,1,1,0,1,1,4.92,fr,1
230,14,1,0.172,0,0,0,0,0,0,4.0,fr,0
113,21,0,0.098,1,0,0,0,0,0,4.29,fr,0
126,17,5,0.264,4,3,2,1,1,0,6.84,en,1
80,24,1,0.27,1,0,0,0,0,1,5.76,fr,0
106,24,2,0.066,0,0,1,0,1,1,5.21,fr,0
140,5,0,0.035,0,0,0,0,0,0,5.48,fr,0
115,17,6,0.304,0,5,3,4,1,0,5.88,en,1
140,11,8,0.345,3,1,3,1,1,1,6.71,fr,1
45,10,1,0.145,0,0,0,0,0,0,4.22,fr,0
111,14,3,0.201,1,0,0,0,0,0,5.72,fr,0
117,12,8,0.424,6,2,3,1,1,0,4.98,fr,1
46,14,3,0.607,1,1,0,1,0,0,7.61,en,1
95,19,2,0.075,0,0,0,0,1,0,3.08,en,0
116,17,10,0.264,1,4,1,2,0,1,5.11,fr,1
138,29,6,0.522,4,1,1,1,1,1,3.55,fr,1
162,22,2,0.632,3,1,0,1,1,0,4.92,en,1
160,30,2,0.317,6,3,1,4,0,0,6.86,en,1
81,29,3,0.642,2,3,2,1,1,0,5.45,en,1
70,23,1,0.128,0,0,0,0,0,0,4.4,en,0
105,14,1,0.02,1,0,0,0,0,0,4.57,en,0
84,23,0,0.124,0,0,0,0,0,0,5.15,fr,0
53,23,2,0.043,0,0,0,0,0,0,3.92,fr,0
121,9,1,0.12,0,0,0,0,0,0,5.4,en,0
192,25,6,0.412,2,0,1,1,1,0,5.03,fr,1
121,4,13,0.318,1,2,2,3,1,1,4.53,fr,1
103,32,0,0.243,0,0,0,0,0,0,5.05,fr,0
187,21,7,0.473,4,4,3,3,1,0,4.53,fr,1
60,20,2,0.305,0,0,0,0,0,0,3.91,fr,0
39,20,2,0.149,0,0,0,0,0,0,4.65,fr,0
17,27,2,0.121,0,0,1,0,0,0,3.98,en,0
105,15,2,0.145,0,0,0,0,0,0,4.53,fr,0
80,25,0,0.017,0,0,0,0,0,0,5.23,fr,0
61,30,0,0.116,0,0,0,0,0,0,2.04,en,0
86,9,0,0.294,0,0,0,0,0,0,5.48,fr,0
68,30,1,0.069,0,0,0,0,0,0,4.76,en,0
148,23,9,0.334,3,2,1,2,1,1,4.83,en,1
120,12,8,0.386,0,0,2,0,1,1,4.85,fr,1
102,13,3,0.138,1,0,0,0,0,0,4.37,fr,0
82,22,1,0.108,0,0,0,0,0,0,3.67,en,0
152,10,1,0.129,0,0,0,0,0,0,2.85,fr,0
49,15,3,0.064,0,0,1,0,0,0,4.73,fr,0
15,24,1,0.115,1,0,0,1,0,0,4.57,fr,0
130,15,4,0.147,0,0,3,0,1,1,3.64,fr,1
87,13,0,0.041,1,0,0,0,0,0,4.29,en,0
121,8,2,0.045,1,1,0,0,0,0,2.6,fr,0
5,17,0,0.108,1,0,0,0,0,0,4.26,fr,0
172,8,10,0.221,0,2,4,2,1,1,3.2,en,1
91,27,1,0.052,1,0,0,0,0,0,5.36,en,0
123,11,1,0.088,0,0,0,0,0,0,5.38,en,0
63,21,3,0.266,1,0,0,0,0,0,4.37,en,0
163,27,7,0.311,4,2,2,1,0,0,5.02,fr,1
139,12,3,0.137,0,0,0,0,0,0,4.99,fr,0
124,26,3,0.188,0,0,0,0,0,0,4.79,en,0
109,9,0,0.149,1,0,0,0,0,0,4.72,fr,0
146,19,3,0.344,1,1,5,5,0,0,5.59,fr,1
115,12,1,0.047,0,0,0,1,0,0,4.85,fr,0
86,21,1,0.066,0,0,0,0,0,0,5.25,en,0
88,13,0,0.225,0,0,0,0,0,1,4.54,en,0
111,19,2,0.142,0,0,1,0,0,0,4.5,fr,0
117,29,7,0.274,2,0,4,2,1,0,4.93,en,1
91,18,0,0.044,0,0,0,0,0,0,2.99,en,0
175,30,5,0.148,3,0,3,2,1,1,6.01,en,1
94,21,2,0.432,5,3,2,4,1,1,5.24,fr,1
142,36,4,0.401,2,4,4,2,0,1,4.93,fr,1
33,15,2,0.041,1,0,0,0,1,0,4.63,fr,0
23,16,1,0.391,0,0,2,0,0,0,5.05,fr,0
106,12,0,0.108,1,0,0,0,0,0,4.93,fr,0
52,19,2,0.16,0,0,0,0,0,0,5.2,fr,0
182,27,4,0.019,0,0,0,0,0,0,4.81,en,0
170,27,5,0.42,2,2,3,4,1,1,6.61,fr,1
165,30,1,0.17,0,0,0,0,0,0,3.61,fr,0
91,40,3,0.573,4,0,2,2,1,1,5.65,en,1
119,13,6,0.304,2,1,2,5,0,1,4.46,fr,1
185,5,3,0.449,3,0,3,1,1,1,3.14,fr,1
31,26,2,0.023,0,0,0,0,0,0,4.03,fr,0
114,21,1,0.101,0,0,0,0,1,0,5.48,fr,0
162,24,6,0.45,1,2,1,3,1,0,4.52,en,1
155,12,8,0.497,7,4,1,1,1,1,6.68,en,1
120,24,5,0.136,2,4,0,2,1,1,4.97,en,1
145,28,0,0.134,0,0,0,1,0,0,5.02,en,0
81,16,1,0.268,0,0,0,0,0,0,4.27,fr,0
139,18,10,0.398,1,2,3,0,1,0,5.03,fr,1
89,17,1,0.076,1,0,0,0,0,0,5.59,fr,0
5,34,0,0.045,0,0,0,0,0,1,4.59,fr,0
54,23,2,0.104,1,0,1,0,0,0,4.0,fr,0
59,24,0,0.06,0,0,0,0,0,0,6.21,fr,0
15,21,0,0.04,0,0,0,1,0,1,4.4,en,0
102,38,2,0.193,3,3,2,3,1,1,5.13,en,1
129,19,3,0.339,3,1,1,3,0,1,5.17,fr,1
120,37,7,0.355,2,2,2,5,1,1,4.72,fr,1
120,23,8,0.254,1,3,1,3,0,1,5.36,fr,1
116,16,3,0.167,0,0,0,0,0,0,4.68,fr,0
138,19,10,0.251,4,0,2,1,1,0,7.44,fr,1
137,14,1,0.193,0,0,0,0,1,0,6.11,fr,0
118,24,3,0.001,1,0,0,0,0,0,4.94,fr,0
87,15,1,0.057,0,0,0,0,0,1,4.19,en,0
79,17,0,0.046,1,0,0,0,0,0,3.77,fr,0
79,16,1,0.121,1,0,0,0,0,0,3.43,fr,0
90,13,2,0.083,1,0,0,0,0,1,4.22,fr,0
159,22,4,0.416,5,1,1,4,1,0,5.17,fr,1
141,26,1,0.203,0,0,0,0,0,0,4.18,fr,0
5,11,0,0.087,2,0,0,0,0,0,3.28,en,0
68,14,2,0.066,1,0,0,0,0,0,4.83,fr,0
180,31,2,0.592,0,1,2,6,1,1,4.33,fr,1
54,24,1,0.046,0,0,0,1,0,0,4.65,en,0
182,20,3,0.374,3,2,0,2,1,1,4.25,fr,1
127,34,7,0.35,3,0,2,2,0,0,5.32,en,1
90,1,1,0.145,0,0,0,0,0,0,4.17,en,0
168,22,5,0.471,2,3,2,1,0,1,4.13,fr,1
145,20,8,0.423,1,0,2,3,1,1,6.99,fr,1
75,19,1,0.035,2,0,0,0,0,0,4.5,en,0
114,14,0,0.076,0,0,0,0,1,0,4.69,en,0
138,38,3,0.32,5,0,1,1,0,0,6.11,en,1
83,1,2,0.097,1,0,0,0,0,0,4.08,en,0
138,44,4,0.264,1,1,2,4,0,0,3.82,fr,1
78,13,1,0.058,0,0,0,1,0,0,5.36,en,0
185,18,5,0.543,3,1,2,2,1,0,4.59,en,1
173,23,1,0.073,0,0,1,0,0,0,4.56,fr,0
138,8,2,0.104,1,0,0,0,0,0,4.65,en,0
107,12,0,0.055,0,0,0,0,0,0,5.13,fr,0
58,23,2,0.136,0,0,0,0,1,0,4.14,fr,0
109,26,0,0.055,0,0,0,0,0,0,5.34,en,0
65,20,0,0.042,2,0,0,0,0,0,3.06,fr,0
130,34,0,0.068,1,0,0,1,0,0,4.64,en,0
94,19,9,0.483,4,2,3,5,0,1,4.25,fr,1
152,20,4,0.432,2,2,4,1,0,0,4.45,fr,1
112,18,3,0.371,4,1,3,2,1,0,7.04,fr,1
157,11,1,0.057,0,0,0,0,0,0,5.1,en,0
78,22,4,0.388,7,1,1,4,1,0,6.2,en,1
118,15,2,0.024,1,0,0,0,0,0,5.34,fr,0
17,24,1,0.061,0,0,0,0,1,0,5.24,fr,0
101,14,1,0.007,0,0,0,1,0,0,3.94,en,0
203,19,12,0.263,2,0,0,3,0,1,5.05,en,1
17,19,3,0.184,0,0,0,0,0,0,4.58,fr,0
40,29,0,0.025,0,0,0,0,0,1,5.52,en,0
104,17,1,0.075,0,1,0,0,0,0,4.96,fr,0
79,2,0,0.092,0,0,0,0,0,0,4.51,en,0
124,1,2,0.088,0,1,0,0,0,0,4.57,fr,0
153,24,9,0.149,3,1,0,2,1,1,4.42,en,1
86,18,0,0.131,0,0,0,0,0,0,4.83,fr,0
85,16,1,0.005,1,0,0,0,0,0,4.92,en,0
79,12,0,0.104,0,0,0,0,0,0,3.39,en,0
97,22,2,0.058,0,0,0,0,0,0,4.81,fr,0
89,20,2,0.031,0,0,0,0,0,0,3.25,fr,0
5,12,2,0.045,1,0,0,0,0,0,5.2,fr,0
118,22,3,0.074,0,0,0,0,0,0,4.58,en,0
134,30,9,0.455,0,3,4,2,0,0,6.26,fr,1
184,15,1,0.11,0,0,0,0,0,0,4.55,fr,0
100,28,9,0.543,2,3,3,0,1,1,4.63,en,1
78,22,8,0.334,2,2,0,2,1,1,4.6,en,1
31,14,1,0.111,0,0,0,0,1,0,6.14,fr,0
148,19,1,0.053,0,0,0,0,0,0,3.8,fr,0
198,27,8,0.289,2,3,1,4,1,1,6.66,fr,1
5,15,1,0.061,0,0,0,0,0,1,4.61,en,0
93,12,2,0.334,0,0,1,0,1,0,3.37,fr,0
71,33,9,0.41,4,2,3,4,1,0,6.21,fr,1
96,24,6,0.56,4,0,3,4,1,1,3.01,en,1
251,28,9,0.322,3,0,4,5,1,0,5.36,en,1
127,9,9,0.414,2,3,5,1,1,1,6.08,fr,1
56,30,0,0.03,1,0,0,0,0,0,5.45,fr,0
36,18,2,0.041,0,0,0,0,0,0,2.68,fr,0
173,17,0,0.024,3,0,0,1,0,0,5.06,fr,0
94,9,1,0.041,0,0,1,0,0,0,4.15,en,0
5,15,2,0.119,0,0,0,0,0,0,6.16,fr,0
216,6,10,0.374,2,1,2,3,0,0,6.58,fr,1
130,16,1,0.328,0,0,0,0,1,0,3.73,fr,0
164,15,0,0.162,0,0,0,0,1,0,4.88,fr,0
17,13,1,0.584,0,0,0,0,1,0,4.34,fr,0
113,16,3,0.091,0,0,0,0,0,0,4.86,fr,0
100,14,0,0.122,1,0,0,0,0,0,4.56,en,0
5,9,0,0.055,0,0,0,0,0,0,5.39,en,0
158,26,12,0.344,3,1,2,2,1,0,6.12,fr,1
117,29,7,0.367,5,2,3,2,1,1,5.88,fr,1
188,23,0,0.309,0,0,1,0,1,0,4.7,fr,0
45,15,6,0.739,4,0,5,3,1,1,5.78,en,1
128,28,1,0.374,3,2,2,2,1,0,5.47,fr,1
149,27,1,0.243,0,0,0,1,0,0,5.15,en,0
78,15,3,0.034,0,0,0,0,0,0,3.2,fr,0
88,2,2,0.022,1,0,0,0,0,0,5.27,en,0
135,27,0,0.031,3,0,0,1,0,0,3.79,fr,0
47,26,2,0.12,1,0,0,0,0,0,4.33,en,0
95,20,1,0.089,1,0,0,0,0,0,3.92,fr,0
164,22,2,0.112,0,0,0,0,0,0,5.04,fr,0
127,17,3,0.194,1,0,0,0,0,0,4.83,en,0
82,21,1,0.029,0,0,0,1,0,0,5.7,fr,0
97,8,4,0.418,6,0,1,3,1,0,5.16,en,1
35,19,2,0.286,1,0,0,0,1,0,4.86,en,0
109,14,0,0.076,1,0,0,0,0,0,4.5,en,0
109,1,0,0.077,1,0,0,0,0,1,4.4,en,0
62,17,1,0.095,0,0,0,0,0,0,6.03,fr,0
129,9,1,0.203,1,0,0,0,0,0,4.71,fr,0
125,17,4,0.02,1,0,0,0,1,0,4.44,fr,0
81,25,1,0.08,0,0,0,1,0,0,6.44,fr,0
78,17,4,0.153,1,0,0,0,0,0,4.48,fr,0
121,18,0,0.055,1,0,1,0,1,0,4.51,fr,0
72,5,2,0.106,1,0,0,0,1,0,2.71,en,0
145,22,7,0.478,3,1,2,2,0,1,4.03,fr,1
175,26,6,0.54,4,2,5,2,1,1,6.21,fr,1
122,25,13,0.575,3,2,5,2,0,1,6.69,fr,1
74,5,2,0.011,0,0,0,1,0,0,3.64,fr,0
106,23,0,0.14,0,0,0,0,0,1,5.17,fr,0
203,22,0,0.1,0,0,0,0,0,0,4.73,en,0
121,27,3,0.102,2,0,0,0,0,0,4.82,fr,0
124,28,0,0.051,1,0,0,0,0,0,3.7,fr,0
188,8,1,0.262,2,4,3,5,0,0,4.91,fr,1
159,18,4,0.571,2,2,3,0,0,1,4.29,fr,1
91,40,13,0.231,1,0,1,3,1,1,4.99,en,1
69,4,1,0.135,0,0,0,0,0,1,5.42,fr,0
29,17,2,0.108,0,1,0,0,0,0,3.86,en,0
203,18,9,0.764,2,1,1,3,1,0,5.68,fr,1
189,19,6,0.674,1,3,3,4,1,0,4.91,fr,1
64,2,1,0.268,0,0,0,0,0,0,5.28,fr,0
69,18,13,0.639,2,2,0,2,1,0,6.0,fr,1
205,27,5,0.401,2,3,2,1,1,1,7.55,fr,1
128,11,1,0.034,0,0,0,0,0,0,5.4,fr,0
122,17,0,0.052,0,0,0,0,0,0,4.9,en,0
179,31,4,0.545,3,0,2,1,1,1,6.21,fr,1
78,20,0,0.084,1,0,0,0,0,0,5.47,fr,0
119,25,0,0.097,0,0,0,0,0,0,5.14,en,0
144,23,8,0.117,1,3,3,2,1,0,5.59,en,1
61,9,1,0.042,1,0,0,0,1,0,4.49,en,0
122,14,1,0.171,0,0,0,0,0,0,3.91,fr,0
123,43,2,0.548,2,2,2,4,1,0,4.03,en,1
74,25,0,0.037,0,0,1,0,0,1,3.83,fr,0
42,15,1,0.116,0,0,0,0,0,0,3.41,en,0
122,15,3,0.157,1,0,0,1,0,1,4.38,fr,0
178,22,6,0.417,5,3,2,3,1,0,4.6,en,1
53,20,3,0.248,0,0,0,0,0,0,4.96,en,0
165,31,6,0.538,1,0,3,3,1,1,6.47,fr,1
133,11,0,0.082,0,0,0,1,0,0,5.02,fr,0
74,18,2,0.042,0,0,0,0,0,0,4.56,fr,0
104,18,0,0.067,0,1,0,0,0,0,3.92,fr,0
83,6,0,0.194,2,0,1,0,0,0,4.59,fr,0
117,29,0,0.09,0,0,0,0,1,0,5.15,fr,0
124,13,2,0.238,3,0,0,0,0,0,4.23,en,0
138,7,2,0.096,0,0,0,0,0,0,4.21,en,0
180,9,7,0.339,2,2,7,0,1,0,4.23,en,1
80,13,0,0.028,1,0,0,0,0,0,4.18,en,0
150,16,0,0.113,2,0,0,0,0,0,4.04,en,0
24,14,2,0.069,1,0,0,0,0,0,3.8,en,0
63,20,1,0.225,0,0,0,0,0,0,5.71,en,0
85,39,7,0.224,2,2,0,6,1,0,5.89,en,1
191,33,6,0.478,4,0,2,2,1,1,5.44,fr,1
117,9,0,0.085,1,0,0,0,0,0,3.62,fr,0
49,18,2,0.115,1,0,0,0,0,0,4.51,en,0
5,21,1,0.003,1,0,0,1,0,0,4.51,en,0
96,12,3,0.116,0,0,0,0,0,0,2.44,fr,0
127,7,3,0.449,3,3,1,3,0,1,3.99,en,1
83,9,8,0.456,3,1,2,4,0,1,4.77,en,1
162,12,0,0.054,1,1,0,0,0,0,4.85,en,0
55,16,2,0.117,0,0,1,0,1,0,4.89,fr,0
136,20,3,0.046,0,0,0,0,0,0,4.46,en,0
114,26,0,0.075,0,0,0,0,1,0,4.21,fr,0
144,33,1,0.446,0,0,0,0,0,0,4.55,fr,0
136,23,9,0.301,1,1,1,5,1,0,6.25,en,1
140,38,1,0.049,1,0,0,0,0,0,4.34,en,0
234,24,6,0.436,1,2,3,1,1,1,6.28,fr,1
43,17,0,0.044,0,0,0,0,1,0,4.09,fr,0
16,30,0,0.052,0,0,0,0,0,0,4.62,fr,0
102,20,4,0.266,2,1,2,1,1,0,4.38,fr,1
68,10,1,0.132,0,0,0,0,0,0,4.96,en,0
72,13,1,0.157,2,0,0,0,0,1,5.16,en,0
82,40,8,0.253,5,4,5,0,1,1,3.42,en,1
121,19,1,0.147,0,0,0,0,0,0,5.11,en,0
85,32,1,0.185,2,1,0,1,0,0,6.2,en,0
87,1,1,0.109,1,0,0,0,0,0,3.97,en,0
96,20,3,0.085,1,0,1,0,0,0,4.61,fr,0
194,14,10,0.42,4,4,2,3,1,1,5.76,en,1
