text_length,word_count,avg_word_length,max_token_length,uppercase_ratio,digit_ratio,punct_ratio,line_count,non_ascii_ratio,zero_width_count,url_count,trigger_keyword_count,role_keyword_count,delimiter_marker_count,has_base64_blob,label,family_l2,technique_l3,target_delta,objective,domain,multi_turn,obfuscation,language,carrier,template_group,source
117,18,5.5,11,0.1071,0.0769,0.0427,3,0.0,0,0,0,0,0,0,benign,,,,,generic,0,none,fr,support_ticket,syn_benign,synthetic
214,31,5.806,12,0.0402,0.0,0.028,10,0.0,0,0,0,0,0,0,benign,,,,,generic,0,none,pt,email,syn_benign,synthetic
208,38,4.395,11,0.0577,0.0192,0.0337,10,0.0,0,0,1,0,0,0,benign,,,,,generic,0,none,en,email,syn_benign,synthetic
106,19,4.579,9,0.0506,0.0377,0.0377,3,0.0,0,0,1,0,0,0,benign,,,,,generic,0,none,en,rag_chunk,syn_benign,synthetic
193,28,5.893,10,0.0581,0.0155,0.0363,5,0.0,0,0,0,0,0,0,benign,,,,,generic,0,none,en,web_page,syn_benign,synthetic
226,41,4.463,11,0.0727,0.0354,0.0442,8,0.0,0,0,0,0,0,0,benign,,,,,generic,0,none,en,pdf_text,syn_benign,synthetic
139,18,6.722,14,0.0741,0.0576,0.036,3,0.0,0,0,0,0,0,0,benign,,,,,generic,0,none,en,rag_chunk,syn_benign,synthetic
163,28,4.821,12,0.125,0.0245,0.0184,3,0.0,0,0,0,2,0,0,benign,,,,,generic,0,none,en,email,syn_benign,synthetic
146,27,4.444,11,0.0686,0.0411,0.0822,4,0.0,0,0,0,0,0,0,benign,,,,,generic,0,none,en,code_comment,syn_benign,synthetic
144,19,6.0,12,0.0366,0.0069,0.2153,7,0.0,0,0,0,0,0,0,benign,,,,,generic,0,none,en,tool_output,syn_benign,synthetic
186,29,5.414,10,0.0612,0.0161,0.0376,5,0.0,0,0,0,0,1,0,benign,,,,,generic,0,none,en,web_page,syn_benign,synthetic
87,14,5.214,10,0.0423,0.0,0.023,3,0.0,0,0,1,0,0,0,benign,,,,,generic,0,none,en,web_page,syn_benign,synthetic
96,17,4.647,10,0.039,0.0,0.0208,3,0.0,0,0,1,0,0,0,benign,,,,,generic,0,none,en,web_page,syn_benign,synthetic
171,29,4.897,12,0.1212,0.0351,0.0234,3,0.0,0,0,0,2,0,0,benign,,,,,generic,0,none,en,product_review,syn_benign,synthetic
124,21,4.905,12,0.0303,0.0161,0.0161,3,0.0,0,0,4,0,0,0,benign,,,,,generic,0,none,en,web_page,syn_benign,synthetic
128,17,6.529,13,0.0543,0.0938,0.0469,3,0.0,0,0,2,0,0,0,benign,,,,,generic,0,none,en,support_ticket,syn_benign,synthetic
183,28,5.536,10,0.0621,0.0164,0.0383,5,0.0,0,0,0,0,0,0,benign,,,,,generic,0,none,en,web_page,syn_benign,synthetic
96,17,4.647,10,0.04,0.0,0.0417,3,0.0,0,0,0,0,0,0,benign,,,,,generic,0,none,fr,web_page,syn_benign,synthetic
249,34,6.324,14,0.0299,0.0241,0.0321,3,0.0,0,0,0,0,0,0,benign,,,,,generic,0,none,fr,rag_chunk,syn_benign,synthetic
156,24,5.5,18,0.0259,0.0577,0.0385,3,0.0,0,0,0,2,0,0,benign,,,,,generic,0,none,en,support_ticket,syn_benign,synthetic
133,18,6.389,13,0.0303,0.0677,0.0451,3,0.0,0,0,3,0,0,0,benign,,,,,generic,0,none,en,support_ticket,syn_benign,synthetic
174,26,5.615,14,0.0368,0.0115,0.046,7,0.0,0,0,0,0,0,0,benign,,,,,generic,0,none,en,email,syn_benign,synthetic
86,13,5.615,10,0.0615,0.0465,0.0465,3,0.0,0,0,1,0,0,0,benign,,,,,generic,0,none,en,rag_chunk,syn_benign,synthetic
99,13,6.615,13,0.0357,0.0,0.0202,3,0.0,0,0,2,3,0,0,benign,,,,,generic,0,none,en,document,syn_benign,synthetic
167,22,6.545,22,0.08,0.0479,0.0659,8,0.0,0,0,1,0,0,0,benign,,,,,generic,0,none,en,calendar_invite,syn_benign,synthetic
174,27,5.444,10,0.0152,0.0,0.0862,6,0.0,0,0,0,0,0,0,benign,,,,,generic,0,none,en,chat_log,syn_benign,synthetic
244,41,4.878,13,0.0363,0.0,0.0287,10,0.0,0,0,0,0,0,0,benign,,,,,generic,0,none,fr,email,syn_benign,synthetic
104,15,5.933,11,0.0244,0.0192,0.0481,3,0.0,0,0,0,1,0,0,benign,,,,,generic,0,none,en,product_review,syn_benign,synthetic
175,30,4.833,13,0.0233,0.0629,0.0229,3,0.0,0,0,1,1,0,0,benign,,,,,generic,0,none,en,support_ticket,syn_benign,synthetic
157,19,7.316,35,0.0263,0.0,0.1592,6,0.0,0,0,0,0,0,0,benign,,,,,generic,0,none,en,html_metadata,syn_benign,synthetic
94,16,4.875,10,0.0274,0.0213,0.0319,3,0.0,0,0,0,0,0,0,benign,,,,,generic,0,none,fr,product_review,syn_benign,synthetic
171,23,6.391,22,0.0806,0.0643,0.0702,8,0.0,0,0,0,0,0,0,benign,,,,,generic,0,none,en,calendar_invite,syn_benign,synthetic
246,37,5.595,11,0.0725,0.0285,0.0285,7,0.0,0,0,1,0,0,0,benign,,,,,generic,0,none,en,document,syn_benign,synthetic
183,31,4.903,12,0.1079,0.0328,0.0383,3,0.0,0,0,0,3,0,0,benign,,,,,generic,0,none,fr,product_review,syn_benign,synthetic
185,30,5.167,12,0.1027,0.0216,0.027,3,0.0,0,0,0,3,0,0,benign,,,,,generic,0,none,fr,document,syn_benign,synthetic
105,19,4.526,9,0.0235,0.0,0.0095,3,0.0,0,0,1,0,0,0,benign,,,,,generic,0,none,en,document,syn_benign,synthetic
163,24,5.792,14,0.025,0.0552,0.0552,3,0.0,0,0,4,0,0,0,benign,,,,,generic,0,none,fr,support_ticket,syn_benign,synthetic
105,18,4.833,13,0.0361,0.0,0.0381,3,0.0,0,0,2,0,0,0,benign,,,,,generic,0,none,fr,web_page,syn_benign,synthetic
184,30,5.133,12,0.0272,0.0109,0.0272,3,0.0,0,0,0,0,0,0,benign,,,,,generic,0,none,en,product_review,syn_benign,synthetic
156,30,4.233,11,0.0571,0.0577,0.0833,4,0.0,0,0,0,0,0,0,benign,,,,,generic,0,none,en,code_comment,syn_benign,synthetic
100,18,4.556,9,0.0556,0.04,0.06,3,0.0,0,0,0,0,0,0,benign,,,,,generic,0,none,en,rag_chunk,syn_benign,synthetic
91,17,4.353,10,0.0299,0.022,0.0549,3,0.0,0,0,0,0,0,0,benign,,,,,generic,0,none,fr,product_review,syn_benign,synthetic
201,34,4.853,11,0.0667,0.0249,0.0498,7,0.0,0,0,0,0,0,0,benign,,,,,generic,0,none,en,document,syn_benign,synthetic
288,46,5.217,14,0.0393,0.0139,0.0243,7,0.0,0,0,0,0,0,0,benign,,,,,generic,0,none,fr,document,syn_benign,synthetic
114,18,5.333,9,0.0213,0.0,0.0175,3,0.0,0,0,0,0,0,0,benign,,,,,generic,0,none,en,email,syn_benign,synthetic
101,13,6.846,13,0.0349,0.0,0.0297,2,0.0,0,0,2,3,0,0,benign,,,,,generic,0,none,en,chat_log,syn_benign,synthetic
241,35,5.829,13,0.0621,0.0581,0.0498,7,0.0,0,0,0,0,0,0,benign,,,,,generic,0,none,en,support_ticket,syn_benign,synthetic
102,17,5.0,13,0.038,0.0196,0.0392,3,0.0,0,0,2,0,0,0,benign,,,,,generic,0,none,en,web_page,syn_benign,synthetic
186,25,6.36,14,0.0338,0.0108,0.0484,7,0.0,0,0,0,0,0,0,benign,,,,,generic,0,none,fr,email,syn_benign,synthetic
175,28,5.25,12,0.0208,0.0,0.0171,3,0.0,0,0,4,0,0,0,benign,,,,,generic,0,none,en,web_page,syn_benign,synthetic
98,16,5.125,9,0.025,0.0,0.0204,3,0.0,0,0,1,0,0,0,benign,,,,,generic,0,none,fr,document,syn_benign,synthetic
262,44,4.955,12,0.0238,0.0,0.0305,3,0.0,0,0,0,0,0,0,benign,,,,,generic,0,none,en,web_page,syn_benign,synthetic
203,30,5.767,12,0.019,0.0443,0.0246,3,0.0,0,0,4,1,0,0,benign,,,,,generic,0,none,pt,support_ticket,syn_benign,synthetic
138,23,5.0,12,0.0182,0.0,0.0362,3,0.0,0,0,1,2,0,0,benign,,,,,generic,0,none,en,email,syn_benign,synthetic
92,15,5.133,11,0.0405,0.0,0.0326,3,0.0,0,0,0,1,0,0,benign,,,,,generic,0,none,en,web_page,syn_benign,synthetic
125,18,5.944,12,0.0291,0.0,0.032,3,0.0,0,0,3,0,0,0,benign,,,,,generic,0,none,en,web_page,syn_benign,synthetic
196,29,5.759,12,0.0387,0.0306,0.0306,3,0.0,0,0,0,0,0,0,benign,,,,,generic,0,none,en,rag_chunk,syn_benign,synthetic
128,18,6.111,16,0.0194,0.0156,0.0391,3,0.0,0,0,2,4,0,0,benign,,,,,generic,0,none,fr,product_review,syn_benign,synthetic
185,29,5.379,10,0.0338,0.0108,0.0324,3,0.0,0,0,0,0,1,0,benign,,,,,generic,0,none,en,product_review,syn_benign,synthetic
125,18,5.944,12,0.0291,0.0,0.032,3,0.0,0,0,3,0,0,0,benign,,,,,generic,0,none,en,web_page,syn_benign,synthetic
200,29,5.828,14,0.0316,0.01,0.045,7,0.0,0,0,0,0,0,0,benign,,,,,generic,0,none,fr,email,syn_benign,synthetic
86,14,5.143,9,0.029,0.0,0.0349,3,0.0,0,0,0,0,0,0,benign,,,,,generic,0,none,en,email,syn_benign,synthetic
179,22,6.909,18,0.025,0.0223,0.1564,5,0.0,0,0,0,0,0,0,benign,,,,,generic,0,none,en,html_metadata,syn_benign,synthetic
231,38,5.026,13,0.0552,0.0606,0.0563,7,0.0,0,0,0,0,0,0,benign,,,,,generic,0,none,fr,support_ticket,syn_benign,synthetic
227,37,5.081,13,0.0566,0.0617,0.0617,7,0.0,0,0,0,0,0,0,benign,,,,,generic,0,none,fr,support_ticket,syn_benign,synthetic
302,50,5.0,14,0.0375,0.0132,0.0199,7,0.0,0,0,0,0,0,0,benign,,,,,generic,0,none,fr,document,syn_benign,synthetic
152,23,5.609,11,0.0238,0.0,0.0197,3,0.0,0,0,0,1,0,0,benign,,,,,generic,0,none,en,web_page,syn_benign,synthetic
185,29,5.31,12,0.0699,0.0108,0.0486,7,0.0,0,0,0,0,0,0,benign,,,,,generic,0,none,en,document,syn_benign,synthetic
95,13,6.385,12,0.0256,0.0,0.0526,2,0.0,0,0,1,0,0,0,benign,,,,,generic,0,none,en,chat_log,syn_benign,synthetic
132,16,7.312,21,0.01,0.0,0.1212,4,0.0,0,0,0,0,0,0,benign,,,,,generic,0,none,en,tool_output,syn_benign,synthetic
173,22,6.636,18,0.0261,0.0231,0.1561,5,0.0,0,0,0,0,0,0,benign,,,,,generic,0,none,en,html_metadata,syn_benign,synthetic
93,16,4.812,8,0.0267,0.0,0.0215,3,0.0,0,0,0,0,0,0,benign,,,,,generic,0,none,fr,document,syn_benign,synthetic
94,15,5.267,9,0.0263,0.0,0.0319,3,0.0,0,0,1,0,0,0,benign,,,,,generic,0,none,fr,email,syn_benign,synthetic
177,29,5.103,13,0.0382,0.0508,0.0395,3,0.0,0,0,3,1,0,0,benign,,,,,generic,0,none,en,support_ticket,syn_benign,synthetic
98,14,6.071,14,0.0247,0.0,0.0408,2,0.0,0,0,0,3,0,0,benign,,,,,generic,0,none,en,chat_log,syn_benign,synthetic
296,46,5.391,16,0.0383,0.0135,0.0304,7,0.0,0,0,0,0,0,0,benign,,,,,generic,0,none,fr,document,syn_benign,synthetic
93,18,4.167,10,0.0548,0.0,0.0215,3,0.0,0,0,2,0,0,0,benign,,,,,generic,0,none,en,email,syn_benign,synthetic
224,39,4.692,11,0.071,0.0223,0.0402,8,0.0,0,0,0,0,0,0,benign,,,,,generic,0,none,en,pdf_text,syn_benign,synthetic
183,25,5.88,19,0.0153,0.0,0.082,4,0.0,0,0,3,0,1,0,benign,,,,,generic,0,none,en,code_comment,syn_benign,synthetic
113,16,6.062,12,0.0215,0.0,0.0354,3,0.0,0,0,3,0,0,0,benign,,,,,generic,0,none,en,email,syn_benign,synthetic
192,28,5.857,10,0.0321,0.0104,0.0312,3,0.0,0,0,0,0,0,0,benign,,,,,generic,0,none,en,product_review,syn_benign,synthetic
151,18,7.389,16,0.0857,0.0464,0.1391,4,0.0,0,0,0,0,0,0,benign,,,,,generic,0,none,en,api_response,syn_benign,synthetic
148,24,5.167,12,0.0167,0.0,0.027,3,0.0,0,0,1,2,0,0,benign,,,,,generic,0,none,en,document,syn_benign,synthetic
110,20,4.5,10,0.0233,0.0,0.0364,3,0.0,0,0,0,1,0,0,benign,,,,,generic,0,none,pt,email,syn_benign,synthetic
197,30,5.567,12,0.0123,0.0,0.0254,3,0.0,0,0,6,1,0,0,benign,,,,,generic,0,none,fr,email,syn_benign,synthetic
112,15,6.467,22,0.0538,0.0,0.0357,5,0.0,0,0,0,0,0,0,benign,,,,,generic,0,none,en,email,syn_benign,synthetic
120,19,5.316,13,0.0345,0.075,0.0333,3,0.0,0,0,1,0,0,0,benign,,,,,generic,0,none,en,support_ticket,syn_benign,synthetic
245,33,6.424,14,0.0305,0.0245,0.0367,3,0.0,0,0,0,0,0,0,benign,,,,,generic,0,none,fr,rag_chunk,syn_benign,synthetic
171,28,5.107,10,0.0155,0.0,0.0819,6,0.0,0,0,0,0,1,0,benign,,,,,generic,0,none,en,chat_log,syn_benign,synthetic
110,16,5.875,13,0.0375,0.0818,0.0364,3,0.0,0,0,1,0,0,0,benign,,,,,generic,0,none,en,support_ticket,syn_benign,synthetic
125,16,6.812,13,0.0426,0.072,0.04,3,0.0,0,0,2,3,0,0,benign,,,,,generic,0,none,en,support_ticket,syn_benign,synthetic
266,47,4.66,12,0.0236,0.0,0.0263,3,0.0,0,0,0,0,0,0,benign,,,,,generic,0,none,en,web_page,syn_benign,synthetic
131,22,4.955,13,0.0316,0.0687,0.0305,3,0.0,0,0,1,0,0,0,benign,,,,,generic,0,none,en,support_ticket,syn_benign,synthetic
96,14,5.857,14,0.0253,0.0,0.0312,3,0.0,0,0,0,3,0,0,benign,,,,,generic,0,none,en,document,syn_benign,synthetic
254,41,5.146,14,0.0492,0.0551,0.0512,7,0.0,0,0,0,0,0,0,benign,,,,,generic,0,none,fr,support_ticket,syn_benign,synthetic
169,25,5.68,14,0.0379,0.0118,0.0473,7,0.0,0,0,0,0,0,0,benign,,,,,generic,0,none,en,email,syn_benign,synthetic
221,33,5.606,13,0.0393,0.0,0.0317,10,0.0,0,0,0,0,0,0,benign,,,,,generic,0,none,pt,email,syn_benign,synthetic
176,29,5.069,13,0.0292,0.0114,0.0455,3,0.0,0,0,0,0,0,0,benign,,,,,generic,0,none,fr,product_review,syn_benign,synthetic
149,26,4.731,11,0.0348,0.0134,0.0403,3,0.0,0,0,3,1,0,0,benign,,,,,generic,0,none,en,product_review,syn_benign,synthetic
224,42,4.286,11,0.0723,0.0223,0.0402,8,0.0,0,0,0,0,0,0,benign,,,,,generic,0,none,en,pdf_text,syn_benign,synthetic
176,24,6.25,14,0.0365,0.0114,0.0625,7,0.0,0,0,0,0,0,0,benign,,,,,generic,0,none,fr,email,syn_benign,synthetic
216,33,5.455,12,0.0405,0.0,0.0324,10,0.0,0,0,0,0,0,0,benign,,,,,generic,0,none,pt,email,syn_benign,synthetic
182,29,5.276,13,0.0278,0.011,0.0385,3,0.0,0,0,0,0,0,0,benign,,,,,generic,0,none,fr,product_review,syn_benign,synthetic
98,16,5.125,9,0.038,0.0,0.0306,3,0.0,0,0,0,0,0,0,benign,,,,,generic,0,none,en,web_page,syn_benign,synthetic
108,15,6.2,12,0.0482,0.037,0.0556,3,0.0,0,0,3,0,0,0,benign,,,,,generic,0,none,en,rag_chunk,syn_benign,synthetic
278,37,6.514,16,0.0217,0.0,0.0396,3,0.0,0,0,0,0,0,0,benign,,,,,generic,0,none,fr,web_page,syn_benign,synthetic
82,13,5.308,9,0.0312,0.0244,0.0366,3,0.0,0,0,1,0,0,0,benign,,,,,generic,0,none,en,product_review,syn_benign,synthetic
106,15,6.067,12,0.0345,0.0,0.0377,3,0.0,0,0,0,0,0,0,benign,,,,,generic,0,none,fr,web_page,syn_benign,synthetic
136,20,5.8,14,0.0182,0.0,0.0441,3,0.0,0,0,4,0,0,0,benign,,,,,generic,0,none,fr,document,syn_benign,synthetic
150,25,5.0,12,0.025,0.0,0.0333,3,0.0,0,0,1,2,0,0,benign,,,,,generic,0,none,en,web_page,syn_benign,synthetic
133,23,4.783,11,0.0189,0.0,0.0301,3,0.0,0,0,0,1,0,0,benign,,,,,generic,0,none,fr,document,syn_benign,synthetic
105,19,4.579,10,0.0471,0.0,0.019,2,0.0,0,0,2,0,0,0,benign,,,,,generic,0,none,en,chat_log,syn_benign,synthetic
75,12,5.25,10,0.0328,0.0,0.0267,3,0.0,0,0,1,0,0,0,benign,,,,,generic,0,none,en,email,syn_benign,synthetic
93,14,5.643,13,0.026,0.0,0.0215,3,0.0,0,0,0,0,0,0,benign,,,,,generic,0,none,pt,document,syn_benign,synthetic
153,26,4.923,11,0.0325,0.0,0.0327,2,0.0,0,0,3,1,0,0,benign,,,,,generic,0,none,en,chat_log,syn_benign,synthetic
155,18,7.556,22,0.0855,0.0516,0.071,8,0.0,0,0,0,0,0,0,benign,,,,,generic,0,none,en,calendar_invite,syn_benign,synthetic
284,45,5.267,14,0.0398,0.0141,0.0246,7,0.0,0,0,0,0,0,0,benign,,,,,generic,0,none,fr,document,syn_benign,synthetic
84,13,5.462,9,0.0286,0.0,0.0119,3,0.0,0,0,1,0,0,0,benign,,,,,generic,0,none,en,document,syn_benign,synthetic
191,31,5.097,11,0.0748,0.0105,0.0471,7,0.0,0,0,0,0,0,0,benign,,,,,generic,0,none,en,document,syn_benign,synthetic
204,32,5.375,12,0.018,0.0,0.0245,3,0.0,0,0,6,1,0,0,benign,,,,,generic,0,none,fr,web_page,syn_benign,synthetic
96,15,5.4,9,0.0253,0.0,0.0208,3,0.0,0,0,0,0,0,0,benign,,,,,generic,0,none,en,document,syn_benign,synthetic
162,22,6.318,22,0.0833,0.0494,0.0679,8,0.0,0,0,0,0,1,0,benign,,,,,generic,0,none,en,calendar_invite,syn_benign,synthetic
184,28,5.571,12,0.0196,0.0,0.0163,3,0.0,0,0,6,1,0,0,benign,,,,,generic,0,none,en,web_page,syn_benign,synthetic
102,14,6.286,12,0.0488,0.0294,0.0294,3,0.0,0,0,2,0,0,0,benign,,,,,generic,0,none,en,document,syn_benign,synthetic
155,19,7.211,35,0.0268,0.0,0.1613,6,0.0,0,0,0,0,0,0,benign,,,,,generic,0,none,en,html_metadata,syn_benign,synthetic
102,16,5.375,10,0.0723,0.0,0.0294,3,0.0,0,0,1,0,0,0,benign,,,,,generic,0,none,en,web_page,syn_benign,synthetic
139,26,4.346,9,0.0183,0.0144,0.0144,3,0.0,0,0,1,1,0,0,benign,,,,,generic,0,none,en,email,syn_benign,synthetic
228,33,5.848,12,0.0539,0.0614,0.0482,7,0.0,0,0,0,0,0,0,benign,,,,,generic,0,none,pt,support_ticket,syn_benign,synthetic
93,14,5.714,10,0.0256,0.0,0.0215,2,0.0,0,0,0,0,0,0,benign,,,,,generic,0,none,en,chat_log,syn_benign,synthetic
94,13,6.231,12,0.0571,0.0426,0.0745,3,0.0,0,0,1,0,0,0,benign,,,,,generic,0,none,en,rag_chunk,syn_benign,synthetic
183,22,7.091,18,0.024,0.0219,0.1475,5,0.0,0,0,0,0,0,0,benign,,,,,generic,0,none,en,html_metadata,syn_benign,synthetic
165,23,6.087,14,0.0385,0.0121,0.0485,7,0.0,0,0,0,0,0,0,benign,,,,,generic,0,none,en,email,syn_benign,synthetic
88,15,4.867,11,0.0615,0.0455,0.0455,3,0.0,0,0,0,0,0,0,benign,,,,,generic,0,none,en,rag_chunk,syn_benign,synthetic
89,16,4.562,7,0.1268,0.0,0.0225,3,0.0,0,0,0,0,0,0,benign,,,,,generic,0,none,en,web_page,syn_benign,synthetic
258,36,6.167,14,0.0287,0.0233,0.0271,3,0.0,0,0,0,0,0,0,benign,,,,,generic,0,none,fr,rag_chunk,syn_benign,synthetic
189,27,5.926,14,0.0336,0.0106,0.0476,7,0.0,0,0,0,0,0,0,benign,,,,,generic,0,none,fr,email,syn_benign,synthetic
154,18,7.611,35,0.0357,0.0,0.1623,6,0.0,0,0,0,0,0,0,benign,,,,,generic,0,none,en,html_metadata,syn_benign,synthetic
105,13,7.077,16,0.0465,0.0095,0.0381,4,0.0,0,0,0,0,0,0,benign,,,,,generic,0,none,en,support_ticket,syn_benign,synthetic
124,21,4.905,12,0.02,0.0,0.0242,3,0.0,0,0,4,0,0,0,benign,,,,,generic,0,none,en,email,syn_benign,synthetic
225,35,5.343,12,0.0387,0.0,0.0267,10,0.0,0,0,0,0,0,0,benign,,,,,generic,0,none,pt,email,syn_benign,synthetic
148,20,6.4,16,0.09,0.0473,0.1419,4,0.0,0,0,1,0,0,0,benign,,,,,generic,0,none,en,api_response,syn_benign,synthetic
130,21,5.19,18,0.0189,0.0,0.0231,3,0.0,0,0,0,2,0,0,benign,,,,,generic,0,none,en,document,syn_benign,synthetic
113,17,5.647,16,0.0333,0.0088,0.0354,4,0.0,0,0,0,0,0,0,benign,,,,,generic,0,none,en,support_ticket,syn_benign,synthetic
232,32,6.188,13,0.0643,0.0603,0.0517,7,0.0,0,0,0,0,0,0,benign,,,,,generic,0,none,en,support_ticket,syn_benign,synthetic
98,15,5.533,14,0.038,0.0,0.0408,3,0.0,0,0,0,3,0,0,benign,,,,,generic,0,none,en,web_page,syn_benign,synthetic
163,28,4.821,12,0.0709,0.0061,0.0429,3,0.0,0,0,0,0,0,0,benign,,,,,generic,0,none,en,web_page,syn_benign,synthetic
104,15,5.933,12,0.061,0.0288,0.0385,3,0.0,0,0,2,0,0,0,benign,,,,,generic,0,none,en,web_page,syn_benign,synthetic
97,17,4.706,11,0.0513,0.0,0.0206,3,0.0,0,0,1,0,0,0,benign,,,,,generic,0,none,pt,email,syn_benign,synthetic
245,42,4.786,13,0.0517,0.0571,0.049,7,0.0,0,0,0,0,0,0,benign,,,,,generic,0,none,fr,support_ticket,syn_benign,synthetic
102,16,5.375,10,0.0723,0.0,0.0294,3,0.0,0,0,1,0,0,0,benign,,,,,generic,0,none,en,web_page,syn_benign,synthetic
146,19,6.684,16,0.0918,0.0479,0.1507,4,0.0,0,0,0,0,0,0,benign,,,,,generic,0,none,en,api_response,syn_benign,synthetic
183,27,5.778,12,0.0142,0.0,0.082,6,0.0,0,0,0,0,0,0,benign,,,,,generic,0,none,en,chat_log,syn_benign,synthetic
95,15,5.333,10,0.0385,0.0,0.0211,3,0.0,0,0,0,0,0,0,benign,,,,,generic,0,none,en,web_page,syn_benign,synthetic
206,30,5.867,12,0.0366,0.0291,0.0291,3,0.0,0,0,0,0,0,0,benign,,,,,generic,0,none,en,rag_chunk,syn_benign,synthetic
93,16,4.812,9,0.058,0.043,0.043,3,0.0,0,0,0,0,0,0,benign,,,,,generic,0,none,en,rag_chunk,syn_benign,synthetic
113,18,5.278,13,0.037,0.0796,0.0354,3,0.0,0,0,0,0,0,0,benign,,,,,generic,0,none,en,support_ticket,syn_benign,synthetic
178,31,4.742,8,0.0286,0.0112,0.0281,3,0.0,0,0,0,0,0,0,benign,,,,,generic,0,none,en,product_review,syn_benign,synthetic
206,36,4.639,10,0.0563,0.0049,0.0291,10,0.0,0,0,1,0,0,0,benign,,,,,generic,0,none,en,email,syn_benign,synthetic
152,19,7.053,35,0.0275,0.0,0.1645,6,0.0,0,0,0,0,0,0,benign,,,,,generic,0,none,en,html_metadata,syn_benign,synthetic
240,40,4.95,13,0.0526,0.0583,0.05,7,0.0,0,0,0,0,0,0,benign,,,,,generic,0,none,fr,support_ticket,syn_benign,synthetic
102,17,5.0,13,0.038,0.0196,0.0392,3,0.0,0,0,2,0,0,0,benign,,,,,generic,0,none,en,web_page,syn_benign,synthetic
105,16,5.562,13,0.0357,0.0,0.0476,3,0.0,0,0,1,0,0,0,benign,,,,,generic,0,none,en,web_page,syn_benign,synthetic
184,29,5.345,16,0.028,0.0109,0.0543,3,0.0,0,0,0,0,0,0,benign,,,,,generic,0,none,fr,product_review,syn_benign,synthetic
311,49,5.306,14,0.0361,0.0129,0.0225,7,0.0,0,0,0,0,0,0,benign,,,,,generic,0,none,fr,document,syn_benign,synthetic
106,17,5.294,10,0.0227,0.0,0.0189,2,0.0,0,0,1,0,0,0,benign,,,,,generic,0,none,en,chat_log,syn_benign,synthetic
