asset_id,asset_type,segment,business_criticality,data_sensitivity,internet_exposed,privileged_access,cvss_score,epss_score,known_exploited,kev_ransomware,kev_age_days,kev_overdue,patch_age_days,open_ports,failed_logins_7d,external_alerts_30d,edr_coverage,risk_score,risk_label
A00111,workstation,server_lan,medium,public,0,0,6.4,0.76,0,0,0,0,28,2,6,1,full,6.4,low
A00112,server,user_lan,low,internal,1,1,9.3,0.779,0,0,0,0,11,11,27,3,full,61.7,high
A00113,workstation,cloud,medium,restricted,1,0,7.8,0.351,0,0,0,0,484,10,17,6,full,69.1,high
A00114,database,ot,high,restricted,1,0,7.0,0.383,0,0,0,0,17,11,27,7,none,100.0,critical
A00115,server,dmz,low,public,1,1,7.2,0.473,0,0,0,0,478,11,23,1,full,51.9,high
A00116,cloud_vm,ot,medium,internal,1,1,5.1,0.28,0,0,0,0,682,10,23,2,full,69.6,high
A00117,cloud_vm,user_lan,critical,public,1,1,9.6,0.281,0,0,0,0,42,9,25,5,full,52.3,high
A00118,web_app,cloud,medium,restricted,1,0,3.6,0.224,0,0,0,0,478,5,18,2,partial,69.5,high
A00119,workstation,dmz,medium,internal,1,0,6.0,0.387,0,0,0,0,228,7,10,3,partial,56.1,high
A00120,web_app,user_lan,medium,internal,1,1,9.0,0.45,1,0,82,1,512,7,18,4,partial,80.8,critical
A00121,web_app,user_lan,low,internal,0,1,8.7,0.367,1,0,205,1,90,13,6,6,none,82.0,critical
A00122,web_app,server_lan,low,confidential,1,0,4.0,0.17,0,0,0,0,670,4,18,2,full,46.8,medium
A00123,server,user_lan,low,public,0,0,5.7,0.54,0,0,0,0,31,6,9,3,full,6.9,low
A00124,workstation,user_lan,low,confidential,0,0,7.7,0.409,0,0,0,0,53,3,12,1,full,38.0,medium
A00125,server,user_lan,low,internal,0,0,6.6,0.463,0,0,0,0,347,7,5,2,full,21.2,low
A00126,database,dmz,medium,confidential,0,1,4.1,0.448,0,0,0,0,391,2,4,3,full,34.0,medium
A00127,workstation,user_lan,low,restricted,1,1,4.8,0.194,0,0,0,0,39,5,17,2,full,38.6,medium
A00128,server,server_lan,critical,public,1,0,5.0,0.512,0,0,0,0,54,7,22,3,partial,46.2,medium
A00129,server,ot,low,public,1,0,3.6,0.48,0,0,0,0,351,9,21,3,none,49.8,medium
A00130,web_app,ot,medium,internal,1,0,4.0,0.353,0,0,0,0,21,9,19,1,partial,29.3,medium
A00131,server,server_lan,high,confidential,1,1,5.6,0.402,0,0,0,0,1,11,23,3,full,73.4,critical
A00132,firewall,server_lan,low,public,0,0,3.6,0.118,0,0,0,0,19,9,1,0,partial,2.1,low
A00133,web_app,server_lan,medium,confidential,0,1,6.4,0.459,0,0,0,0,202,5,7,1,none,50.5,medium
A00134,workstation,user_lan,high,internal,1,0,5.9,0.183,0,0,0,0,37,6,23,2,full,28.5,medium
A00135,web_app,cloud,medium,confidential,0,0,6.9,0.321,0,0,0,0,59,2,8,2,partial,24.2,medium
A00136,server,user_lan,low,confidential,1,0,7.1,0.217,1,0,182,0,0,8,31,12,full,44.5,medium
A00137,firewall,dmz,high,public,1,0,4.1,0.137,0,0,0,0,679,5,15,6,full,42.6,medium
A00138,database,dmz,high,internal,1,0,7.3,0.132,0,0,0,0,27,8,23,1,full,42.2,medium
A00139,cloud_vm,server_lan,medium,confidential,0,0,7.7,0.316,1,0,699,1,675,2,12,2,full,51.2,medium
A00140,server,cloud,low,internal,1,0,7.2,0.351,0,0,0,0,5,4,24,2,full,31.2,medium
A00141,database,user_lan,low,confidential,1,1,7.8,0.414,1,1,249,1,544,8,17,5,partial,100.0,critical
A00142,database,user_lan,high,restricted,1,1,7.3,0.343,0,0,0,0,429,4,17,1,full,55.0,high
A00143,firewall,server_lan,medium,public,0,0,7.3,0.384,0,0,0,0,290,5,6,1,none,26.5,medium
A00144,database,ot,low,internal,0,0,7.2,0.252,0,0,0,0,6,3,6,0,none,22.9,low
A00145,database,server_lan,medium,internal,1,0,9.4,0.648,0,0,0,0,704,7,24,4,partial,71.9,high
A00146,workstation,cloud,critical,public,0,0,4.7,0.191,0,0,0,0,22,6,7,1,full,16.6,low
A00147,workstation,cloud,low,restricted,1,1,6.6,0.311,0,0,0,0,654,11,15,4,full,66.7,high
A00148,database,user_lan,low,restricted,1,1,5.6,0.478,1,0,467,1,50,10,29,9,full,77.1,critical
A00149,workstation,cloud,medium,internal,1,0,4.0,0.137,0,0,0,0,31,3,21,8,full,22.2,low
A00150,server,server_lan,high,restricted,0,1,5.7,0.484,0,0,0,0,290,12,8,0,partial,40.7,medium
A00151,cloud_vm,user_lan,medium,public,0,1,6.6,0.242,0,0,0,0,458,3,8,3,full,48.7,medium
A00152,cloud_vm,dmz,critical,restricted,1,1,6.5,0.564,0,0,0,0,141,9,23,5,full,99.0,critical
A00153,server,user_lan,low,confidential,0,0,5.3,0.616,1,0,377,1,184,5,9,4,full,44.7,medium
A00154,database,server_lan,medium,public,0,1,9.0,0.22,0,0,0,0,47,7,8,1,full,31.1,medium
A00155,server,dmz,medium,confidential,1,0,6.8,0.248,0,0,0,0,551,11,24,2,full,60.5,high
A00156,web_app,dmz,medium,confidential,1,1,6.0,0.132,0,0,0,0,355,11,21,6,full,77.6,critical
A00157,workstation,server_lan,medium,internal,1,1,4.4,0.457,0,0,0,0,59,8,22,2,partial,49.9,medium
A00158,web_app,user_lan,high,internal,0,1,6.3,0.234,0,0,0,0,33,8,7,1,full,27.7,medium
A00159,web_app,user_lan,medium,confidential,1,1,3.5,0.047,0,0,0,0,20,6,27,3,full,55.5,high
A00160,cloud_vm,server_lan,high,public,0,0,3.1,0.289,0,0,0,0,102,2,14,0,full,19.1,low
A00161,server,ot,low,public,1,0,9.0,0.368,1,0,218,1,343,12,26,4,partial,76.9,critical
A00162,cloud_vm,ot,medium,internal,1,0,7.2,0.2,0,0,0,0,5,13,15,6,none,66.7,high
A00163,server,dmz,medium,confidential,1,0,6.1,0.374,1,0,261,1,56,11,21,3,partial,89.5,critical
A00164,server,server_lan,medium,internal,0,1,5.7,0.335,0,0,0,0,58,2,2,1,full,14.6,low
A00165,database,user_lan,low,internal,1,0,2.7,0.173,0,0,0,0,1,12,16,7,none,59.9,high
A00166,workstation,cloud,critical,public,0,0,6.3,0.548,0,0,0,0,615,2,5,0,partial,54.4,high
A00167,cloud_vm,server_lan,critical,public,1,0,4.0,0.415,0,0,0,0,49,8,16,5,full,52.2,high
A00168,cloud_vm,cloud,high,confidential,1,0,7.9,0.792,0,0,0,0,0,10,16,3,full,61.3,high
A00169,workstation,dmz,critical,public,1,0,6.7,0.301,1,1,534,1,22,12,18,12,full,72.6,critical
A00170,firewall,server_lan,low,confidential,1,1,6.1,0.206,0,0,0,0,27,8,17,7,none,82.0,critical
A00171,workstation,user_lan,medium,internal,0,1,5.4,0.33,0,0,0,0,81,2,5,1,partial,15.9,low
A00172,database,user_lan,medium,confidential,0,1,8.9,0.228,0,0,0,0,5,5,8,2,full,20.1,low
A00173,workstation,cloud,critical,internal,0,0,6.7,0.289,0,0,0,0,40,2,9,2,full,24.9,medium
A00174,firewall,dmz,low,restricted,1,0,4.7,0.341,0,0,0,0,51,5,20,1,full,37.7,medium
A00175,server,server_lan,low,public,1,1,6.2,0.326,0,0,0,0,55,12,19,2,partial,46.8,medium
A00176,server,dmz,high,restricted,0,0,4.9,0.28,0,0,0,0,9,8,7,1,partial,41.8,medium
A00177,workstation,server_lan,low,internal,0,0,4.3,0.079,0,0,0,0,196,1,10,1,full,5.8,low
A00178,firewall,dmz,high,public,1,1,8.0,0.576,1,0,185,1,33,14,23,3,none,100.0,critical
A00179,cloud_vm,user_lan,low,confidential,1,1,6.3,0.288,0,0,0,0,192,10,16,2,full,56.9,high
A00180,cloud_vm,user_lan,high,internal,0,0,6.9,0.251,0,0,0,0,341,3,7,0,partial,41.7,medium
A00181,cloud_vm,user_lan,high,internal,1,0,3.3,0.318,0,0,0,0,2,12,25,6,partial,58.1,high
A00182,cloud_vm,server_lan,medium,confidential,0,1,2.8,0.223,0,0,0,0,10,8,6,0,full,26.1,medium
A00183,database,dmz,low,confidential,0,1,4.3,0.201,0,0,0,0,35,7,6,0,none,21.9,low
A00184,workstation,user_lan,low,confidential,0,0,7.0,0.283,0,0,0,0,364,5,7,0,full,20.3,low
A00185,cloud_vm,dmz,low,restricted,1,0,8.8,0.338,0,0,0,0,40,9,26,3,full,53.7,high
A00186,web_app,cloud,low,internal,0,0,6.8,0.318,0,0,0,0,45,7,6,2,none,15.6,low
A00187,workstation,dmz,medium,public,1,1,5.4,0.472,0,0,0,0,29,6,22,8,partial,64.6,high
A00188,server,user_lan,medium,confidential,1,0,7.0,0.651,0,0,0,0,249,8,24,3,full,54.2,high
A00189,cloud_vm,cloud,low,internal,1,0,3.7,0.303,0,0,0,0,294,6,18,4,partial,52.0,high
A00190,workstation,user_lan,low,public,0,1,8.6,0.387,1,0,35,0,18,7,7,0,full,24.1,medium
A00191,firewall,user_lan,critical,public,1,1,8.1,0.246,0,0,0,0,27,10,23,6,full,64.4,high
A00192,workstation,user_lan,low,internal,0,1,5.9,0.402,0,0,0,0,26,3,8,0,full,5.5,low
A00193,server,dmz,medium,internal,1,1,5.9,0.395,0,0,0,0,31,5,27,6,full,71.3,high
A00194,cloud_vm,user_lan,medium,internal,0,0,4.1,0.249,0,0,0,0,375,3,5,0,partial,42.6,medium
A00195,server,cloud,low,confidential,1,0,3.9,0.469,0,0,0,0,434,9,21,3,full,49.3,medium
A00196,server,ot,critical,confidential,0,0,7.0,0.453,0,0,0,0,726,6,10,1,full,44.0,medium
A00197,web_app,user_lan,low,restricted,1,1,8.2,0.276,0,0,0,0,390,6,28,5,full,71.3,high
A00198,cloud_vm,server_lan,high,public,1,0,6.6,0.146,0,0,0,0,52,7,18,4,full,29.5,medium
A00199,server,cloud,medium,public,1,1,7.9,0.276,0,0,0,0,95,5,25,3,full,42.3,medium
A00200,workstation,user_lan,high,confidential,0,1,3.2,0.316,1,1,48,1,221,5,8,3,full,59.2,high
A00201,cloud_vm,server_lan,high,public,1,1,6.6,0.163,0,0,0,0,199,7,21,2,partial,70.1,high
A00202,firewall,server_lan,high,internal,1,0,7.1,0.232,0,0,0,0,565,8,24,2,full,53.6,high
A00203,database,server_lan,medium,confidential,0,0,6.9,0.477,0,0,0,0,225,7,14,1,full,34.5,medium
A00204,server,user_lan,medium,confidential,0,0,5.6,0.357,0,0,0,0,56,2,7,0,full,11.4,low
A00205,server,server_lan,high,public,0,0,8.3,0.25,0,0,0,0,658,2,11,2,full,33.1,medium
A00206,server,dmz,medium,confidential,1,1,5.5,0.281,0,0,0,0,18,4,21,3,partial,61.3,high
A00207,server,dmz,medium,confidential,0,1,6.3,0.349,0,0,0,0,488,7,4,2,partial,51.5,high
A00208,web_app,ot,low,restricted,1,0,7.5,0.414,0,0,0,0,26,8,13,3,none,93.3,critical
A00209,server,dmz,low,internal,1,0,6.8,0.093,0,0,0,0,503,11,18,1,full,47.5,medium
A00210,database,dmz,medium,confidential,1,1,2.5,0.148,0,0,0,0,305,9,28,8,none,95.6,critical
A00211,web_app,user_lan,low,confidential,0,1,7.4,0.353,0,0,0,0,39,4,12,1,full,31.5,medium
A00212,web_app,server_lan,medium,internal,0,0,8.6,0.27,0,0,0,0,663,4,7,2,full,15.3,low
A00213,server,ot,low,confidential,1,1,5.3,0.147,0,0,0,0,170,2,24,9,partial,54.3,high
A00214,cloud_vm,ot,medium,confidential,0,1,5.0,0.332,0,0,0,0,4,3,10,1,partial,24.8,medium
A00215,web_app,server_lan,high,internal,0,1,7.8,0.212,0,0,0,0,47,5,5,0,full,45.1,medium
A00216,web_app,user_lan,medium,internal,1,1,3.9,0.185,0,0,0,0,13,5,29,3,full,40.8,medium
A00217,server,server_lan,high,internal,0,0,6.1,0.096,0,0,0,0,44,1,4,0,full,15.3,low
A00218,server,dmz,low,confidential,1,0,3.7,0.193,0,0,0,0,212,14,20,1,full,40.8,medium
A00219,firewall,server_lan,low,public,0,1,7.1,0.53,0,0,0,0,68,4,11,0,full,28.7,medium
A00220,workstation,dmz,high,internal,0,1,8.4,0.344,0,0,0,0,24,6,3,1,full,31.2,medium
A00221,workstation,dmz,high,public,1,0,5.7,0.271,0,0,0,0,42,8,25,2,partial,44.3,medium
A00222,database,user_lan,high,confidential,0,1,7.1,0.832,0,0,0,0,53,3,12,3,partial,60.1,high
A00223,web_app,dmz,high,confidential,1,1,7.2,0.309,0,0,0,0,565,14,29,4,partial,88.8,critical
A00224,firewall,dmz,high,internal,0,1,4.9,0.368,0,0,0,0,722,6,7,2,partial,50.1,medium
A00225,workstation,user_lan,high,internal,0,0,8.2,0.297,0,0,0,0,364,3,4,2,full,27.6,medium
A00226,firewall,user_lan,high,internal,0,0,5.2,0.264,0,0,0,0,366,4,8,2,none,44.2,medium
A00227,server,dmz,high,internal,1,1,6.8,0.553,0,0,0,0,29,11,14,3,full,67.1,high
A00228,database,dmz,low,confidential,1,0,6.8,0.197,0,0,0,0,4,8,24,1,full,24.7,medium
A00229,web_app,server_lan,low,public,1,0,6.9,0.234,0,0,0,0,216,9,21,3,full,25.5,medium
A00230,server,server_lan,medium,confidential,1,1,6.8,0.409,0,0,0,0,48,9,17,1,full,45.2,medium
A00231,server,cloud,medium,confidential,1,0,7.8,0.458,0,0,0,0,537,7,22,2,full,63.2,high
A00232,workstation,ot,high,restricted,0,0,4.3,0.277,0,0,0,0,32,1,14,0,partial,34.4,medium
A00233,firewall,server_lan,medium,internal,0,0,7.1,0.362,0,0,0,0,57,5,13,0,partial,23.9,medium
A00234,web_app,server_lan,low,internal,0,0,5.2,0.658,0,0,0,0,39,2,13,0,full,0.0,low
A00235,firewall,user_lan,high,public,1,1,7.1,0.314,0,0,0,0,284,7,24,4,full,65.6,high
A00236,cloud_vm,user_lan,low,restricted,0,0,7.0,0.208,0,0,0,0,22,6,9,1,full,29.4,medium
A00237,database,server_lan,high,confidential,1,0,7.5,0.176,0,0,0,0,45,13,20,0,full,58.0,high
A00238,cloud_vm,dmz,low,confidential,0,1,6.0,0.387,0,0,0,0,11,2,6,3,full,37.7,medium
A00239,server,user_lan,medium,confidential,0,0,7.6,0.228,0,0,0,0,44,7,13,1,partial,20.1,low
A00240,server,user_lan,medium,internal,0,0,7.7,0.331,0,0,0,0,7,2,6,0,full,9.6,low
A00241,cloud_vm,dmz,low,confidential,1,0,5.9,0.16,0,0,0,0,48,11,24,5,full,65.8,high
A00242,cloud_vm,server_lan,low,confidential,1,0,8.6,0.348,0,0,0,0,554,9,12,4,full,44.8,medium
A00243,server,server_lan,low,public,1,1,6.5,0.196,0,0,0,0,2,11,12,4,full,42.8,medium
A00244,database,server_lan,medium,restricted,0,1,6.7,0.576,1,0,225,1,261,7,8,8,partial,66.7,high
A00245,web_app,user_lan,medium,restricted,0,1,6.9,0.423,0,0,0,0,194,2,8,2,partial,39.1,medium
A00246,cloud_vm,user_lan,high,restricted,1,0,2.5,0.334,0,0,0,0,18,8,23,2,full,35.3,medium
A00247,web_app,user_lan,low,confidential,1,0,6.4,0.213,0,0,0,0,466,11,19,4,full,40.0,medium
A00248,workstation,server_lan,medium,internal,0,0,4.0,0.441,0,0,0,0,630,7,8,0,full,23.2,low
A00249,workstation,dmz,low,confidential,1,1,7.0,0.205,0,0,0,0,20,6,26,6,full,63.9,high
A00250,workstation,cloud,critical,public,1,0,6.9,0.41,0,0,0,0,43,10,20,0,full,57.0,high
