text_length,word_count,avg_word_length,max_token_length,uppercase_ratio,digit_ratio,punct_ratio,line_count,non_ascii_ratio,zero_width_count,url_count,trigger_keyword_count,role_keyword_count,delimiter_marker_count,has_base64_blob,carrier,language,technique
292,36,7.111,43,0.0482,0.024,0.0719,3,0.0,0,0,0,5,0,0,rag_chunk,en,role_hijack
276,43,5.372,13,0.0693,0.0507,0.0507,7,0.0,0,0,0,5,0,0,support_ticket,fr,role_hijack
348,56,5.179,14,0.0325,0.0115,0.0259,7,0.0805,0,0,0,2,0,0,document,fr,system_prompt_leak
225,35,5.429,14,0.0966,0.0178,0.0444,3,0.0,0,0,1,2,0,0,product_review,en,fake_authority
241,39,5.179,20,0.0108,0.0,0.0664,6,0.0,0,0,0,0,0,0,chat_log,en,data_exfiltration
314,45,5.978,16,0.0843,0.0064,0.0573,3,0.0,0,0,1,1,0,0,web_page,pt,fake_authority
269,48,4.542,20,0.051,0.197,0.0297,10,0.0,0,0,1,0,0,0,email,en,data_exfiltration
266,38,6.0,12,0.0676,0.0,0.0226,3,0.0,0,0,4,0,0,0,web_page,pt,instruction_override
332,48,5.875,39,0.0541,0.0422,0.1355,7,0.0602,20,1,0,0,0,0,support_ticket,fr,data_exfiltration
193,24,7.083,35,0.1241,0.0,0.171,6,0.0,0,0,0,0,1,0,html_metadata,en,instruction_override
240,35,5.8,14,0.0265,0.0083,0.05,7,0.0,0,0,2,2,0,0,email,fr,system_prompt_leak
194,31,5.258,16,0.0909,0.0464,0.1134,4,0.0,0,0,0,0,1,0,api_response,en,data_exfiltration
232,33,6.0,22,0.0565,0.0345,0.056,8,0.0905,0,0,0,0,0,0,calendar_invite,en,data_exfiltration
239,43,4.512,11,0.067,0.0209,0.0418,8,0.0,0,0,0,0,0,0,pdf_text,en,data_exfiltration
214,31,5.548,16,0.0217,0.0047,0.1542,7,0.0,0,0,0,0,0,0,tool_output,en,conditional_trigger
296,50,4.88,10,0.1481,0.0068,0.0878,8,0.0,0,0,1,0,5,0,document,en,delimiter_injection
276,42,5.5,32,0.0463,0.0,0.0543,10,0.0,0,1,0,0,0,0,email,pt,data_exfiltration
223,37,4.946,28,0.0946,0.13,0.0269,10,0.0,0,0,1,0,0,1,email,en,tool_abuse
164,20,7.2,26,0.032,0.0488,0.061,3,0.0,0,0,1,0,0,0,rag_chunk,en,fake_authority
199,25,7.0,35,0.0268,0.0,0.1307,6,0.0,0,0,0,0,0,0,html_metadata,en,refusal_suppression
163,18,8.056,26,0.123,0.0613,0.0736,3,0.0,0,0,2,2,0,0,rag_chunk,en,fake_authority
288,41,5.976,24,0.0606,0.0139,0.0347,7,0.0,0,1,1,0,0,0,document,en,tool_abuse
273,43,5.302,43,0.08,0.0183,0.0842,8,0.0,0,1,0,0,0,0,pdf_text,en,output_manipulation
311,39,6.974,39,0.0245,0.0193,0.0675,3,0.0,0,1,0,0,0,0,rag_chunk,fr,output_manipulation
284,41,5.878,13,0.0843,0.2077,0.0528,7,0.0,0,0,0,0,0,0,support_ticket,en,fake_authority
342,46,6.435,13,0.0246,0.0,0.0322,3,0.0936,0,0,0,0,0,0,web_page,fr,conditional_trigger
241,36,5.639,14,0.1056,0.195,0.0581,7,0.0,0,0,0,0,0,0,document,en,fake_authority
288,42,5.857,12,0.0377,0.0,0.0243,3,0.0,0,0,4,0,0,0,web_page,pt,instruction_override
173,31,4.613,12,0.12,0.0347,0.0694,4,0.0,0,0,5,0,0,0,code_comment,en,instruction_override
185,22,7.455,21,0.0098,0.227,0.1027,4,0.0,0,0,0,0,0,0,tool_output,en,fake_authority
203,25,7.16,35,0.0261,0.0,0.1281,6,0.0,0,0,0,5,0,0,html_metadata,en,role_hijack
312,42,6.429,43,0.0359,0.0,0.0609,3,0.0,0,1,0,0,0,0,web_page,pt,output_manipulation
203,32,5.375,43,0.0714,0.0296,0.1281,4,0.0,0,1,0,0,0,0,code_comment,en,output_manipulation
199,29,5.862,16,0.0786,0.0352,0.1156,4,0.0,0,0,0,0,0,0,api_response,en,misinformation_seed
159,22,6.273,21,0.0083,0.0,0.1069,4,0.0,0,0,0,0,0,0,tool_output,en,misinformation_seed
228,34,5.706,11,0.0707,0.0132,0.0307,5,0.0,0,0,1,4,0,0,web_page,en,role_hijack
205,32,5.438,37,0.042,0.0293,0.122,4,0.0,0,1,0,0,0,0,code_comment,en,output_manipulation
247,35,6.057,16,0.1282,0.0202,0.0486,5,0.0,0,0,1,1,0,0,web_page,en,fake_authority
439,33,12.303,204,0.2782,0.0752,0.0228,3,0.0,0,0,1,0,0,1,rag_chunk,fr,staged_multistep
248,38,5.526,13,0.0292,0.254,0.0403,3,0.0,0,0,0,0,0,0,product_review,fr,conditional_trigger
215,30,6.133,22,0.0675,0.0372,0.0605,8,0.1628,0,0,0,0,0,0,calendar_invite,en,refusal_suppression
270,46,4.826,13,0.0583,0.0185,0.0407,8,0.0,0,0,1,0,0,0,pdf_text,en,staged_multistep
245,34,5.882,32,0.0286,0.0,0.098,4,0.0,0,1,3,0,0,0,code_comment,en,data_exfiltration
218,31,6.032,13,0.0508,0.0138,0.0321,5,0.0,0,0,1,0,0,0,web_page,en,instruction_override
366,53,5.906,19,0.0548,0.0109,0.0464,3,0.0,0,0,0,0,0,0,web_page,fr,staged_multistep
244,37,5.595,43,0.0428,0.0082,0.0738,3,0.0,0,1,0,0,0,0,product_review,en,output_manipulation
372,61,5.066,14,0.0373,0.0108,0.0269,7,0.0,0,0,0,0,0,0,document,fr,misinformation_seed
325,46,6.065,13,0.0187,0.0,0.0338,3,0.0,0,0,1,0,0,0,web_page,fr,system_prompt_leak
311,51,5.098,13,0.1984,0.0,0.0418,6,0.0,0,0,0,2,2,0,web_page,en,delimiter_injection
238,34,6.0,13,0.0469,0.0126,0.0378,5,0.0,0,0,2,1,0,0,web_page,en,system_prompt_leak
207,30,5.933,29,0.0455,0.029,0.1932,4,0.1208,25,0,0,0,0,0,code_comment,en,conditional_trigger
254,32,6.938,45,0.0115,0.0,0.189,6,0.0787,20,0,0,0,0,0,chat_log,en,output_manipulation
292,44,5.568,19,0.0796,0.0137,0.0514,10,0.0,0,0,0,0,0,0,email,pt,staged_multistep
227,34,5.529,18,0.027,0.2159,0.1233,5,0.0,0,0,0,0,0,0,html_metadata,en,data_exfiltration
202,34,4.618,10,0.0492,0.0149,0.1584,7,0.0,0,0,0,0,1,0,tool_output,en,data_exfiltration
246,33,6.121,19,0.0109,0.0,0.0691,4,0.0,0,0,3,0,0,0,code_comment,en,conditional_trigger
319,41,6.78,36,0.0233,0.0188,0.0439,3,0.0721,0,0,0,0,0,0,rag_chunk,fr,conditional_trigger
193,26,6.462,35,0.0286,0.0,0.1451,6,0.0,0,0,0,0,0,0,html_metadata,en,tool_abuse
330,51,5.431,13,0.0457,0.0424,0.1303,7,0.0818,27,0,0,0,0,0,support_ticket,fr,refusal_suppression
213,34,5.265,17,0.0473,0.0094,0.0376,3,0.0,0,0,0,0,0,0,product_review,fr,output_manipulation
340,55,5.145,14,0.0332,0.0118,0.0235,7,0.0,0,0,0,0,0,0,document,fr,tool_abuse
315,53,4.943,12,0.0245,0.1524,0.0317,3,0.0,0,0,0,0,0,0,web_page,en,system_prompt_leak
191,29,5.207,13,0.0339,0.0052,0.1675,7,0.0,0,0,0,1,0,0,tool_output,en,instruction_override
217,32,5.438,19,0.0127,0.0,0.0691,4,0.0,0,0,3,0,0,0,code_comment,en,output_manipulation
270,45,4.956,13,0.0519,0.2037,0.0481,7,0.0,0,0,0,0,0,0,support_ticket,fr,misinformation_seed
246,44,4.545,11,0.0645,0.0203,0.0366,8,0.0,0,0,0,0,0,0,pdf_text,en,tool_abuse
197,21,8.333,36,0.0694,0.0406,0.1168,8,0.1117,0,0,0,0,0,0,calendar_invite,en,output_manipulation
248,42,4.857,10,0.0628,0.0081,0.0444,7,0.0,0,0,0,0,0,0,document,en,misinformation_seed
194,27,6.185,32,0.035,0.0412,0.0773,3,0.0,0,1,1,0,0,0,rag_chunk,en,data_exfiltration
311,46,5.717,16,0.0602,0.0129,0.0322,7,0.0,0,0,1,0,0,0,document,en,refusal_suppression
225,35,5.429,11,0.0276,0.0089,0.0311,3,0.0,0,0,0,0,0,0,product_review,en,misinformation_seed
242,32,6.562,43,0.0759,0.1818,0.0868,5,0.0,0,0,0,0,0,0,web_page,en,output_manipulation
200,35,4.743,13,0.0411,0.03,0.07,4,0.0,0,0,1,0,0,0,code_comment,en,staged_multistep
242,32,6.406,18,0.2981,0.0165,0.1653,8,0.0,0,0,0,2,0,0,html_metadata,en,delimiter_injection
167,19,7.842,21,0.0076,0.0,0.1018,4,0.0,0,0,0,0,0,0,tool_output,en,conditional_trigger
167,20,7.35,30,0.1538,0.2096,0.1257,4,0.0,0,0,0,0,0,1,api_response,en,tool_abuse
251,34,6.382,43,0.0699,0.012,0.1116,5,0.0,0,1,0,0,0,0,web_page,en,output_manipulation
326,45,6.244,14,0.1873,0.0,0.0429,6,0.0,0,0,0,2,0,0,web_page,fr,delimiter_injection
247,38,5.5,32,0.0417,0.0081,0.0607,3,0.0,0,1,0,0,0,0,product_review,en,data_exfiltration
252,44,4.682,12,0.1135,0.0198,0.0635,8,0.0,0,0,5,0,0,0,pdf_text,en,instruction_override
233,35,5.657,14,0.0357,0.2189,0.03,3,0.0,0,0,0,0,0,0,product_review,en,system_prompt_leak
280,45,5.178,13,0.049,0.05,0.05,7,0.0,0,0,3,0,0,0,support_ticket,fr,instruction_override
344,54,5.333,14,0.1985,0.0116,0.0349,10,0.0,0,0,0,2,0,0,document,fr,delimiter_injection
257,38,5.684,12,0.0337,0.0,0.0311,10,0.0,0,0,1,1,0,0,email,pt,system_prompt_leak
196,27,6.259,16,0.0786,0.0357,0.1122,4,0.0,0,0,0,0,0,0,api_response,en,conditional_trigger
259,39,5.564,12,0.0574,0.0,0.0309,10,0.0734,0,0,0,2,0,0,email,pt,role_hijack
233,44,4.227,10,0.0634,0.1631,0.0258,10,0.0,0,0,1,0,0,0,email,en,output_manipulation
281,41,5.805,12,0.0793,0.0142,0.0249,7,0.0,0,0,5,0,0,0,document,en,instruction_override
297,50,4.94,12,0.0209,0.0,0.0269,3,0.0,0,0,0,0,0,0,web_page,en,misinformation_seed
232,41,4.659,10,0.033,0.0086,0.0302,3,0.0,0,0,0,0,0,0,product_review,en,misinformation_seed
171,23,6.435,16,0.029,0.0058,0.0468,4,0.0,0,0,0,2,0,0,support_ticket,en,instruction_override
263,37,6.054,16,0.1773,0.0076,0.0722,8,0.0,0,0,1,2,2,0,email,fr,delimiter_injection
192,24,7.042,21,0.3151,0.0,0.1146,7,0.0,0,0,0,2,0,0,tool_output,en,delimiter_injection
254,37,5.811,12,0.0899,0.0551,0.0433,7,0.0,0,0,3,0,0,0,support_ticket,pt,instruction_override
306,19,15.053,148,0.3473,0.1111,0.0425,8,0.0,0,0,1,0,0,1,calendar_invite,en,output_manipulation
200,37,4.405,8,0.0246,0.175,0.03,3,0.0,0,0,0,0,0,0,product_review,en,misinformation_seed
195,29,5.724,11,0.02,0.0,0.0821,6,0.0,0,0,0,0,0,0,chat_log,en,refusal_suppression
210,29,6.241,36,0.025,0.0095,0.0905,3,0.0,0,1,0,0,0,0,product_review,fr,output_manipulation
309,44,6.023,14,0.0241,0.0194,0.0324,3,0.0,0,0,2,2,0,0,rag_chunk,fr,system_prompt_leak
282,48,4.833,11,0.0619,0.0177,0.0603,10,0.0,0,0,1,0,0,0,pdf_text,en,delimiter_injection
236,36,5.556,13,0.0529,0.0127,0.0339,5,0.0,0,0,0,4,0,0,web_page,en,role_hijack
223,30,6.4,22,0.189,0.0359,0.0897,9,0.0,0,0,1,1,2,0,calendar_invite,en,delimiter_injection
297,54,4.463,11,0.0642,0.0168,0.0606,8,0.0,0,0,0,0,0,0,pdf_text,en,misinformation_seed
196,21,8.381,35,0.0221,0.0,0.1888,8,0.0,0,0,3,1,6,0,html_metadata,en,delimiter_injection
300,40,6.5,13,0.0516,0.0,0.0267,3,0.0667,0,0,0,0,0,0,web_page,fr,instruction_override
377,48,6.854,39,0.0164,0.0027,0.0637,3,0.0,0,0,2,2,0,0,web_page,fr,system_prompt_leak
240,42,4.667,11,0.1154,0.0208,0.0375,8,0.0,0,0,3,0,0,0,pdf_text,en,instruction_override
183,18,9.167,41,0.0236,0.0055,0.1967,4,0.1038,19,0,0,0,0,0,support_ticket,en,output_manipulation
203,30,5.767,11,0.0127,0.0,0.0739,6,0.0,0,0,0,0,0,0,chat_log,en,conditional_trigger
314,46,5.826,14,0.0238,0.0191,0.0318,3,0.0,0,0,1,1,0,0,rag_chunk,fr,fake_authority
214,36,4.944,17,0.0471,0.0093,0.028,3,0.0,0,0,0,0,0,0,product_review,en,output_manipulation
186,22,7.5,24,0.0069,0.0,0.1075,4,0.0,0,1,0,0,0,0,tool_output,en,tool_abuse
249,42,4.881,12,0.1152,0.0201,0.0361,8,0.0,0,0,4,0,0,0,pdf_text,en,instruction_override
355,52,5.788,43,0.0468,0.0113,0.0535,7,0.0,0,1,0,0,0,0,document,fr,output_manipulation
314,50,5.24,16,0.1778,0.0446,0.0701,8,0.0,0,0,1,2,2,0,support_ticket,fr,delimiter_injection
237,39,5.077,32,0.0389,0.0084,0.0675,3,0.0,0,1,0,0,0,0,product_review,fr,data_exfiltration
229,33,5.879,14,0.033,0.0087,0.0437,7,0.0,0,0,0,4,0,0,email,fr,role_hijack
309,47,5.574,13,0.0276,0.0,0.0259,3,0.0,0,0,0,0,0,0,web_page,pt,misinformation_seed
265,42,5.31,13,0.0288,0.0226,0.034,3,0.0,0,0,1,1,0,0,rag_chunk,en,fake_authority
223,35,5.371,10,0.0115,0.0,0.0628,6,0.0,0,0,2,0,0,0,chat_log,en,role_hijack
324,29,10.172,152,0.2584,0.0648,0.0216,3,0.0,0,0,1,0,0,1,product_review,en,system_prompt_leak
303,51,4.902,13,0.0457,0.0462,0.0528,7,0.0891,0,0,0,0,0,0,support_ticket,fr,refusal_suppression
342,53,5.415,14,0.0522,0.0117,0.0439,7,0.0,0,0,0,5,0,0,document,fr,role_hijack
229,33,5.939,13,0.0447,0.0262,0.048,3,0.0,0,0,0,0,0,0,rag_chunk,en,tool_abuse
294,24,11.167,128,0.2958,0.0544,0.0408,7,0.0,0,0,1,0,0,1,email,fr,misinformation_seed
225,31,6.258,27,0.0345,0.0,0.0889,6,0.0,0,1,1,0,0,0,chat_log,en,data_exfiltration
285,41,5.902,14,0.0649,0.014,0.0246,7,0.0,0,0,1,5,0,0,document,en,role_hijack
302,46,5.522,43,0.0578,0.0199,0.0762,8,0.0,0,0,1,1,0,0,pdf_text,en,instruction_override
232,37,5.27,14,0.2722,0.0086,0.056,6,0.0,0,0,0,2,0,0,product_review,fr,delimiter_injection
336,48,6.0,40,0.0338,0.003,0.0625,3,0.0,0,0,1,3,0,0,web_page,en,role_hijack
223,34,5.559,12,0.0333,0.009,0.0314,3,0.0,0,0,1,1,0,0,product_review,en,instruction_override
288,41,6.024,14,0.0258,0.0208,0.0278,3,0.0,0,0,0,0,0,0,rag_chunk,fr,misinformation_seed
229,39,4.821,12,0.0568,0.0087,0.0437,7,0.0,0,0,0,0,0,0,document,en,tool_abuse
341,50,5.78,27,0.0476,0.0117,0.0352,7,0.0,0,1,1,0,0,0,document,fr,data_exfiltration
210,28,6.464,22,0.0621,0.0381,0.0571,8,0.0,0,0,0,0,0,0,calendar_invite,en,system_prompt_leak
293,27,9.889,156,0.3853,0.0751,0.0478,4,0.0,0,0,1,0,0,1,code_comment,en,delimiter_injection
195,23,7.478,19,0.0217,0.0051,0.1641,4,0.1333,26,0,0,0,0,0,support_ticket,en,conditional_trigger
265,45,4.844,11,0.0542,0.0075,0.0491,7,0.0,0,0,0,0,0,0,document,en,refusal_suppression
211,28,6.571,35,0.0192,0.0,0.1327,6,0.0,0,0,1,0,0,0,html_metadata,en,system_prompt_leak
179,21,7.524,16,0.0238,0.0056,0.1676,4,0.1397,25,0,0,0,0,0,support_ticket,en,system_prompt_leak
255,38,5.711,37,0.0518,0.0078,0.0863,3,0.0,0,0,3,0,0,0,web_page,en,instruction_override
156,21,6.429,22,0.0462,0.0,0.0321,5,0.0,0,0,0,0,0,0,email,en,refusal_suppression
207,24,7.583,22,0.1379,0.0386,0.1401,8,0.087,18,0,1,0,0,0,calendar_invite,en,instruction_override
213,28,6.643,21,0.0769,0.0188,0.1174,4,0.0,0,0,0,0,0,0,tool_output,en,staged_multistep
302,50,5.04,12,0.0206,0.0,0.0298,3,0.0,0,0,1,1,0,0,web_page,en,system_prompt_leak
318,41,6.756,14,0.0687,0.0063,0.0409,3,0.0,0,0,1,2,0,0,web_page,fr,fake_authority
171,29,4.931,28,0.1134,0.1988,0.0702,4,0.0,0,0,0,0,0,1,code_comment,en,tool_abuse
244,40,5.1,19,0.0734,0.0164,0.0943,6,0.0,0,0,0,0,0,0,chat_log,en,staged_multistep
249,30,7.267,22,0.0794,0.3173,0.0522,8,0.0,0,0,0,0,0,0,calendar_invite,en,conditional_trigger
343,48,6.146,16,0.0212,0.0,0.035,3,0.0,0,0,0,0,0,0,web_page,fr,refusal_suppression
341,53,5.396,10,0.139,0.0117,0.0674,8,0.0,0,0,2,0,5,0,document,en,delimiter_injection
297,37,7.027,15,0.0611,0.0202,0.0842,3,0.0606,18,0,0,0,0,0,rag_chunk,fr,instruction_override
312,48,5.458,19,0.0991,0.0577,0.0673,7,0.0,0,0,0,0,0,0,support_ticket,en,staged_multistep
228,36,5.333,13,0.0221,0.0088,0.0395,3,0.0,0,0,1,0,0,0,product_review,fr,staged_multistep
337,37,8.054,124,0.2804,0.0475,0.0326,8,0.0,0,0,1,0,0,1,pdf_text,en,misinformation_seed
141,18,6.833,22,0.161,0.0,0.0355,5,0.0,0,0,0,0,1,0,email,en,instruction_override
236,39,5.051,13,0.0216,0.0085,0.0424,3,0.0,0,0,2,2,0,0,product_review,fr,system_prompt_leak
248,38,5.526,13,0.0303,0.0081,0.0403,3,0.0,0,0,0,0,0,0,product_review,fr,conditional_trigger
254,39,5.436,12,0.039,0.0,0.0276,10,0.0,0,0,0,1,0,0,email,pt,instruction_override
140,17,7.235,26,0.1028,0.0571,0.05,3,0.0,0,0,6,0,0,0,rag_chunk,en,instruction_override
255,45,4.622,11,0.0677,0.0196,0.0431,8,0.0,0,0,3,0,0,0,pdf_text,en,instruction_override
285,46,5.13,13,0.031,0.0,0.0351,10,0.0,0,0,1,0,0,0,email,fr,system_prompt_leak
396,37,9.649,176,0.301,0.0884,0.0303,7,0.0,0,0,1,0,0,1,support_ticket,fr,staged_multistep
284,41,5.878,27,0.0619,0.0493,0.0563,7,0.0,0,1,1,0,0,0,support_ticket,pt,data_exfiltration
199,34,4.853,14,0.0573,0.005,0.0352,3,0.0,0,0,0,1,0,0,web_page,en,system_prompt_leak
204,35,4.857,12,0.2252,0.0294,0.0637,4,0.0,0,0,2,1,0,0,code_comment,en,fake_authority
286,45,5.289,14,0.2311,0.0,0.0455,13,0.0699,0,0,0,0,0,0,email,fr,delimiter_injection
209,32,5.469,14,0.0373,0.0096,0.0574,7,0.0,0,0,0,0,0,0,email,en,tool_abuse
266,40,5.6,10,0.0654,0.015,0.0226,7,0.0,0,0,1,0,0,0,document,en,tool_abuse
178,21,7.476,16,0.0238,0.0056,0.1629,4,0.1348,24,0,0,0,0,0,support_ticket,en,system_prompt_leak
205,27,6.407,18,0.0211,0.0195,0.1317,5,0.0,0,0,0,0,0,0,html_metadata,en,tool_abuse
231,28,7.214,22,0.0617,0.0346,0.1385,8,0.0866,20,0,0,0,0,0,calendar_invite,en,staged_multistep
278,29,8.586,112,0.2455,0.0576,0.0324,3,0.0,0,0,1,0,0,1,web_page,en,misinformation_seed
238,34,6.0,39,0.0221,0.0084,0.0882,3,0.0,0,1,0,0,0,0,product_review,fr,output_manipulation
235,35,5.657,16,0.0269,0.0085,0.0426,7,0.0,0,0,0,0,0,0,email,en,conditional_trigger
228,41,4.488,9,0.0508,0.0044,0.0263,10,0.0789,0,0,1,0,0,0,email,en,tool_abuse
283,45,5.244,13,0.0516,0.2332,0.0495,7,0.0,0,0,0,0,0,0,support_ticket,fr,staged_multistep
229,39,4.872,10,0.033,0.0087,0.0262,3,0.1004,0,0,0,0,0,0,product_review,en,conditional_trigger
152,20,6.6,26,0.0174,0.0526,0.0526,3,0.0,0,0,1,0,0,0,rag_chunk,en,misinformation_seed
324,51,5.314,14,0.0709,0.0123,0.0401,7,0.0,0,0,4,0,0,0,document,fr,instruction_override
231,34,5.471,19,0.0118,0.0,0.0649,4,0.0,0,0,3,0,0,0,code_comment,en,tool_abuse
184,26,6.077,26,0.0143,0.0435,0.0489,3,0.0,0,0,1,0,0,0,rag_chunk,en,data_exfiltration
262,46,4.652,11,0.0859,0.0191,0.042,8,0.0,0,0,1,4,0,0,pdf_text,en,role_hijack
192,29,5.241,13,0.025,0.0052,0.1615,7,0.0,0,0,0,0,0,0,tool_output,en,staged_multistep
244,40,5.05,10,0.0524,0.0082,0.0369,7,0.0,0,0,2,0,0,0,document,en,role_hijack
207,33,5.273,12,0.0368,0.0097,0.0435,3,0.0,0,0,0,0,0,0,product_review,en,tool_abuse
366,28,12.071,204,0.3311,0.0792,0.0273,3,0.0,0,0,1,0,0,1,product_review,fr,staged_multistep
255,45,4.622,12,0.0649,0.0196,0.0706,8,0.0,0,0,0,0,0,0,pdf_text,en,misinformation_seed
169,21,7.048,22,0.1387,0.0118,0.0533,5,0.0,0,0,1,3,0,0,email,en,fake_authority
188,26,6.231,16,0.1061,0.0372,0.1223,4,0.0,0,0,1,4,0,0,api_response,en,role_hijack
327,54,5.019,19,0.0866,0.055,0.0642,7,0.0,0,0,0,0,0,0,support_ticket,fr,staged_multistep
206,27,6.63,36,0.0131,0.0,0.1262,6,0.0,0,1,0,0,0,0,chat_log,en,output_manipulation
205,32,5.406,13,0.0377,0.0098,0.0585,3,0.0,0,0,0,0,0,0,product_review,fr,tool_abuse
220,35,5.286,18,0.0581,0.0045,0.1182,5,0.0,0,0,3,1,6,0,web_page,en,delimiter_injection
177,31,4.742,13,0.0645,0.0339,0.096,4,0.0,0,0,0,0,0,0,code_comment,en,tool_abuse
191,25,6.64,16,0.0667,0.0366,0.1257,4,0.0,0,0,1,1,0,0,api_response,en,fake_authority
221,29,6.586,22,0.0588,0.0362,0.0588,8,0.0,0,0,1,0,0,0,calendar_invite,en,system_prompt_leak
175,22,6.955,16,0.0726,0.04,0.1257,4,0.0,0,0,0,0,0,0,api_response,en,conditional_trigger
235,34,5.882,22,0.125,0.0511,0.0851,8,0.0,0,0,0,0,0,0,calendar_invite,en,staged_multistep
175,22,7.0,35,0.0236,0.0,0.1543,6,0.0,0,0,0,0,0,0,html_metadata,en,system_prompt_leak
247,35,6.057,14,0.0994,0.0162,0.1093,3,0.0607,15,0,0,3,0,0,product_review,fr,fake_authority
307,41,6.439,43,0.067,0.0456,0.0814,7,0.0,0,1,0,0,0,0,support_ticket,en,output_manipulation
228,28,6.964,18,0.0185,0.0175,0.1272,5,0.0,0,0,2,1,0,0,html_metadata,en,system_prompt_leak
218,26,6.962,25,0.0161,0.1743,0.0826,4,0.0,0,0,3,0,0,0,code_comment,en,conditional_trigger
304,44,5.864,13,0.0538,0.0461,0.0658,9,0.0,0,0,1,0,0,0,support_ticket,en,delimiter_injection
265,43,5.093,17,0.0521,0.0038,0.0264,10,0.0,0,0,1,0,0,0,email,en,conditional_trigger
