text_length,word_count,avg_word_length,max_token_length,uppercase_ratio,digit_ratio,punct_ratio,line_count,non_ascii_ratio,zero_width_count,url_count,trigger_keyword_count,role_keyword_count,delimiter_marker_count,has_base64_blob,carrier,language,label
319,38,7.395,31,0.0408,0.0188,0.094,3,0.0533,17,1,0,0,0,0,rag_chunk,fr,injection
280,38,6.289,17,0.039,0.0,0.0286,10,0.0,0,0,0,0,0,0,email,pt,injection
332,42,6.905,39,0.0187,0.0,0.0663,3,0.0,0,1,0,0,0,0,web_page,fr,injection
208,38,4.395,11,0.0577,0.0192,0.0337,10,0.0,0,0,1,0,0,0,email,en,benign
247,42,4.833,13,0.0761,0.0202,0.0567,8,0.0,0,0,0,0,0,0,pdf_text,en,injection
234,36,5.5,16,0.011,0.0,0.0684,6,0.0,0,0,0,0,0,0,chat_log,en,injection
106,19,4.579,9,0.0506,0.0377,0.0377,3,0.0,0,0,1,0,0,0,rag_chunk,en,benign
154,20,6.7,16,0.024,0.0065,0.0455,4,0.0,0,0,1,1,0,0,support_ticket,en,injection
276,40,5.825,32,0.0457,0.0,0.0507,10,0.0,0,1,0,0,0,0,email,pt,injection
193,28,5.893,10,0.0581,0.0155,0.0363,5,0.0,0,0,0,0,0,0,web_page,en,benign
323,41,6.878,27,0.0336,0.0,0.0433,3,0.0,0,1,1,0,0,0,web_page,fr,injection
208,28,6.429,16,0.0978,0.2837,0.1394,6,0.0,0,0,0,0,0,0,api_response,en,injection
192,29,5.552,14,0.0336,0.0104,0.0521,7,0.0,0,0,0,0,0,0,email,en,injection
226,41,4.463,11,0.0727,0.0354,0.0442,8,0.0,0,0,0,0,0,0,pdf_text,en,benign
139,18,6.722,14,0.0741,0.0576,0.036,3,0.0,0,0,0,0,0,0,rag_chunk,en,benign
163,28,4.821,12,0.125,0.0245,0.0184,3,0.0,0,0,0,2,0,0,email,en,benign
204,24,7.542,36,0.0201,0.0,0.1569,6,0.0,0,1,0,0,0,0,html_metadata,en,injection
245,31,6.839,17,0.0352,0.0082,0.0449,7,0.0,0,0,0,0,0,0,email,fr,injection
146,27,4.444,11,0.0686,0.0411,0.0822,4,0.0,0,0,0,0,0,0,code_comment,en,benign
246,43,4.721,20,0.0206,0.0081,0.0285,3,0.0,0,0,0,0,0,0,product_review,en,injection
162,18,8.0,43,0.0565,0.0062,0.1111,4,0.0,0,1,0,0,0,0,support_ticket,en,injection
144,19,6.0,12,0.0366,0.0069,0.2153,7,0.0,0,0,0,0,0,0,tool_output,en,benign
165,26,5.346,26,0.0417,0.0606,0.0485,3,0.0,0,0,1,0,1,0,rag_chunk,en,injection
292,36,7.111,43,0.0482,0.024,0.0719,3,0.0,0,0,0,5,0,0,rag_chunk,en,injection
276,43,5.372,13,0.0693,0.0507,0.0507,7,0.0,0,0,0,5,0,0,support_ticket,fr,injection
348,56,5.179,14,0.0325,0.0115,0.0259,7,0.0805,0,0,0,2,0,0,document,fr,injection
186,29,5.414,10,0.0612,0.0161,0.0376,5,0.0,0,0,0,0,1,0,web_page,en,benign
87,14,5.214,10,0.0423,0.0,0.023,3,0.0,0,0,1,0,0,0,web_page,en,benign
96,17,4.647,10,0.039,0.0,0.0208,3,0.0,0,0,1,0,0,0,web_page,en,benign
225,35,5.429,14,0.0966,0.0178,0.0444,3,0.0,0,0,1,2,0,0,product_review,en,injection
171,29,4.897,12,0.1212,0.0351,0.0234,3,0.0,0,0,0,2,0,0,product_review,en,benign
124,21,4.905,12,0.0303,0.0161,0.0161,3,0.0,0,0,4,0,0,0,web_page,en,benign
241,39,5.179,20,0.0108,0.0,0.0664,6,0.0,0,0,0,0,0,0,chat_log,en,injection
314,45,5.978,16,0.0843,0.0064,0.0573,3,0.0,0,0,1,1,0,0,web_page,pt,injection
128,17,6.529,13,0.0543,0.0938,0.0469,3,0.0,0,0,2,0,0,0,support_ticket,en,benign
269,48,4.542,20,0.051,0.197,0.0297,10,0.0,0,0,1,0,0,0,email,en,injection
266,38,6.0,12,0.0676,0.0,0.0226,3,0.0,0,0,4,0,0,0,web_page,pt,injection
183,28,5.536,10,0.0621,0.0164,0.0383,5,0.0,0,0,0,0,0,0,web_page,en,benign
96,17,4.647,10,0.04,0.0,0.0417,3,0.0,0,0,0,0,0,0,web_page,fr,benign
332,48,5.875,39,0.0541,0.0422,0.1355,7,0.0602,20,1,0,0,0,0,support_ticket,fr,injection
193,24,7.083,35,0.1241,0.0,0.171,6,0.0,0,0,0,0,1,0,html_metadata,en,injection
249,34,6.324,14,0.0299,0.0241,0.0321,3,0.0,0,0,0,0,0,0,rag_chunk,fr,benign
156,24,5.5,18,0.0259,0.0577,0.0385,3,0.0,0,0,0,2,0,0,support_ticket,en,benign
133,18,6.389,13,0.0303,0.0677,0.0451,3,0.0,0,0,3,0,0,0,support_ticket,en,benign
174,26,5.615,14,0.0368,0.0115,0.046,7,0.0,0,0,0,0,0,0,email,en,benign
240,35,5.8,14,0.0265,0.0083,0.05,7,0.0,0,0,2,2,0,0,email,fr,injection
194,31,5.258,16,0.0909,0.0464,0.1134,4,0.0,0,0,0,0,1,0,api_response,en,injection
86,13,5.615,10,0.0615,0.0465,0.0465,3,0.0,0,0,1,0,0,0,rag_chunk,en,benign
99,13,6.615,13,0.0357,0.0,0.0202,3,0.0,0,0,2,3,0,0,document,en,benign
167,22,6.545,22,0.08,0.0479,0.0659,8,0.0,0,0,1,0,0,0,calendar_invite,en,benign
232,33,6.0,22,0.0565,0.0345,0.056,8,0.0905,0,0,0,0,0,0,calendar_invite,en,injection
239,43,4.512,11,0.067,0.0209,0.0418,8,0.0,0,0,0,0,0,0,pdf_text,en,injection
214,31,5.548,16,0.0217,0.0047,0.1542,7,0.0,0,0,0,0,0,0,tool_output,en,injection
296,50,4.88,10,0.1481,0.0068,0.0878,8,0.0,0,0,1,0,5,0,document,en,injection
174,27,5.444,10,0.0152,0.0,0.0862,6,0.0,0,0,0,0,0,0,chat_log,en,benign
244,41,4.878,13,0.0363,0.0,0.0287,10,0.0,0,0,0,0,0,0,email,fr,benign
276,42,5.5,32,0.0463,0.0,0.0543,10,0.0,0,1,0,0,0,0,email,pt,injection
223,37,4.946,28,0.0946,0.13,0.0269,10,0.0,0,0,1,0,0,1,email,en,injection
104,15,5.933,11,0.0244,0.0192,0.0481,3,0.0,0,0,0,1,0,0,product_review,en,benign
175,30,4.833,13,0.0233,0.0629,0.0229,3,0.0,0,0,1,1,0,0,support_ticket,en,benign
164,20,7.2,26,0.032,0.0488,0.061,3,0.0,0,0,1,0,0,0,rag_chunk,en,injection
199,25,7.0,35,0.0268,0.0,0.1307,6,0.0,0,0,0,0,0,0,html_metadata,en,injection
157,19,7.316,35,0.0263,0.0,0.1592,6,0.0,0,0,0,0,0,0,html_metadata,en,benign
94,16,4.875,10,0.0274,0.0213,0.0319,3,0.0,0,0,0,0,0,0,product_review,fr,benign
163,18,8.056,26,0.123,0.0613,0.0736,3,0.0,0,0,2,2,0,0,rag_chunk,en,injection
288,41,5.976,24,0.0606,0.0139,0.0347,7,0.0,0,1,1,0,0,0,document,en,injection
171,23,6.391,22,0.0806,0.0643,0.0702,8,0.0,0,0,0,0,0,0,calendar_invite,en,benign
273,43,5.302,43,0.08,0.0183,0.0842,8,0.0,0,1,0,0,0,0,pdf_text,en,injection
311,39,6.974,39,0.0245,0.0193,0.0675,3,0.0,0,1,0,0,0,0,rag_chunk,fr,injection
284,41,5.878,13,0.0843,0.2077,0.0528,7,0.0,0,0,0,0,0,0,support_ticket,en,injection
246,37,5.595,11,0.0725,0.0285,0.0285,7,0.0,0,0,1,0,0,0,document,en,benign
342,46,6.435,13,0.0246,0.0,0.0322,3,0.0936,0,0,0,0,0,0,web_page,fr,injection
183,31,4.903,12,0.1079,0.0328,0.0383,3,0.0,0,0,0,3,0,0,product_review,fr,benign
241,36,5.639,14,0.1056,0.195,0.0581,7,0.0,0,0,0,0,0,0,document,en,injection
288,42,5.857,12,0.0377,0.0,0.0243,3,0.0,0,0,4,0,0,0,web_page,pt,injection
173,31,4.613,12,0.12,0.0347,0.0694,4,0.0,0,0,5,0,0,0,code_comment,en,injection
185,22,7.455,21,0.0098,0.227,0.1027,4,0.0,0,0,0,0,0,0,tool_output,en,injection
185,30,5.167,12,0.1027,0.0216,0.027,3,0.0,0,0,0,3,0,0,document,fr,benign
105,19,4.526,9,0.0235,0.0,0.0095,3,0.0,0,0,1,0,0,0,document,en,benign
163,24,5.792,14,0.025,0.0552,0.0552,3,0.0,0,0,4,0,0,0,support_ticket,fr,benign
203,25,7.16,35,0.0261,0.0,0.1281,6,0.0,0,0,0,5,0,0,html_metadata,en,injection
312,42,6.429,43,0.0359,0.0,0.0609,3,0.0,0,1,0,0,0,0,web_page,pt,injection
105,18,4.833,13,0.0361,0.0,0.0381,3,0.0,0,0,2,0,0,0,web_page,fr,benign
203,32,5.375,43,0.0714,0.0296,0.1281,4,0.0,0,1,0,0,0,0,code_comment,en,injection
199,29,5.862,16,0.0786,0.0352,0.1156,4,0.0,0,0,0,0,0,0,api_response,en,injection
159,22,6.273,21,0.0083,0.0,0.1069,4,0.0,0,0,0,0,0,0,tool_output,en,injection
184,30,5.133,12,0.0272,0.0109,0.0272,3,0.0,0,0,0,0,0,0,product_review,en,benign
156,30,4.233,11,0.0571,0.0577,0.0833,4,0.0,0,0,0,0,0,0,code_comment,en,benign
100,18,4.556,9,0.0556,0.04,0.06,3,0.0,0,0,0,0,0,0,rag_chunk,en,benign
228,34,5.706,11,0.0707,0.0132,0.0307,5,0.0,0,0,1,4,0,0,web_page,en,injection
205,32,5.438,37,0.042,0.0293,0.122,4,0.0,0,1,0,0,0,0,code_comment,en,injection
91,17,4.353,10,0.0299,0.022,0.0549,3,0.0,0,0,0,0,0,0,product_review,fr,benign
247,35,6.057,16,0.1282,0.0202,0.0486,5,0.0,0,0,1,1,0,0,web_page,en,injection
201,34,4.853,11,0.0667,0.0249,0.0498,7,0.0,0,0,0,0,0,0,document,en,benign
288,46,5.217,14,0.0393,0.0139,0.0243,7,0.0,0,0,0,0,0,0,document,fr,benign
439,33,12.303,204,0.2782,0.0752,0.0228,3,0.0,0,0,1,0,0,1,rag_chunk,fr,injection
248,38,5.526,13,0.0292,0.254,0.0403,3,0.0,0,0,0,0,0,0,product_review,fr,injection
215,30,6.133,22,0.0675,0.0372,0.0605,8,0.1628,0,0,0,0,0,0,calendar_invite,en,injection
114,18,5.333,9,0.0213,0.0,0.0175,3,0.0,0,0,0,0,0,0,email,en,benign
101,13,6.846,13,0.0349,0.0,0.0297,2,0.0,0,0,2,3,0,0,chat_log,en,benign
270,46,4.826,13,0.0583,0.0185,0.0407,8,0.0,0,0,1,0,0,0,pdf_text,en,injection
245,34,5.882,32,0.0286,0.0,0.098,4,0.0,0,1,3,0,0,0,code_comment,en,injection
241,35,5.829,13,0.0621,0.0581,0.0498,7,0.0,0,0,0,0,0,0,support_ticket,en,benign
218,31,6.032,13,0.0508,0.0138,0.0321,5,0.0,0,0,1,0,0,0,web_page,en,injection
366,53,5.906,19,0.0548,0.0109,0.0464,3,0.0,0,0,0,0,0,0,web_page,fr,injection
102,17,5.0,13,0.038,0.0196,0.0392,3,0.0,0,0,2,0,0,0,web_page,en,benign
244,37,5.595,43,0.0428,0.0082,0.0738,3,0.0,0,1,0,0,0,0,product_review,en,injection
186,25,6.36,14,0.0338,0.0108,0.0484,7,0.0,0,0,0,0,0,0,email,fr,benign
175,28,5.25,12,0.0208,0.0,0.0171,3,0.0,0,0,4,0,0,0,web_page,en,benign
372,61,5.066,14,0.0373,0.0108,0.0269,7,0.0,0,0,0,0,0,0,document,fr,injection
325,46,6.065,13,0.0187,0.0,0.0338,3,0.0,0,0,1,0,0,0,web_page,fr,injection
98,16,5.125,9,0.025,0.0,0.0204,3,0.0,0,0,1,0,0,0,document,fr,benign
311,51,5.098,13,0.1984,0.0,0.0418,6,0.0,0,0,0,2,2,0,web_page,en,injection
238,34,6.0,13,0.0469,0.0126,0.0378,5,0.0,0,0,2,1,0,0,web_page,en,injection
262,44,4.955,12,0.0238,0.0,0.0305,3,0.0,0,0,0,0,0,0,web_page,en,benign
207,30,5.933,29,0.0455,0.029,0.1932,4,0.1208,25,0,0,0,0,0,code_comment,en,injection
203,30,5.767,12,0.019,0.0443,0.0246,3,0.0,0,0,4,1,0,0,support_ticket,pt,benign
138,23,5.0,12,0.0182,0.0,0.0362,3,0.0,0,0,1,2,0,0,email,en,benign
92,15,5.133,11,0.0405,0.0,0.0326,3,0.0,0,0,0,1,0,0,web_page,en,benign
254,32,6.938,45,0.0115,0.0,0.189,6,0.0787,20,0,0,0,0,0,chat_log,en,injection
125,18,5.944,12,0.0291,0.0,0.032,3,0.0,0,0,3,0,0,0,web_page,en,benign
292,44,5.568,19,0.0796,0.0137,0.0514,10,0.0,0,0,0,0,0,0,email,pt,injection
227,34,5.529,18,0.027,0.2159,0.1233,5,0.0,0,0,0,0,0,0,html_metadata,en,injection
202,34,4.618,10,0.0492,0.0149,0.1584,7,0.0,0,0,0,0,1,0,tool_output,en,injection
196,29,5.759,12,0.0387,0.0306,0.0306,3,0.0,0,0,0,0,0,0,rag_chunk,en,benign
246,33,6.121,19,0.0109,0.0,0.0691,4,0.0,0,0,3,0,0,0,code_comment,en,injection
128,18,6.111,16,0.0194,0.0156,0.0391,3,0.0,0,0,2,4,0,0,product_review,fr,benign
319,41,6.78,36,0.0233,0.0188,0.0439,3,0.0721,0,0,0,0,0,0,rag_chunk,fr,injection
185,29,5.379,10,0.0338,0.0108,0.0324,3,0.0,0,0,0,0,1,0,product_review,en,benign
193,26,6.462,35,0.0286,0.0,0.1451,6,0.0,0,0,0,0,0,0,html_metadata,en,injection
330,51,5.431,13,0.0457,0.0424,0.1303,7,0.0818,27,0,0,0,0,0,support_ticket,fr,injection
125,18,5.944,12,0.0291,0.0,0.032,3,0.0,0,0,3,0,0,0,web_page,en,benign
200,29,5.828,14,0.0316,0.01,0.045,7,0.0,0,0,0,0,0,0,email,fr,benign
213,34,5.265,17,0.0473,0.0094,0.0376,3,0.0,0,0,0,0,0,0,product_review,fr,injection
340,55,5.145,14,0.0332,0.0118,0.0235,7,0.0,0,0,0,0,0,0,document,fr,injection
315,53,4.943,12,0.0245,0.1524,0.0317,3,0.0,0,0,0,0,0,0,web_page,en,injection
191,29,5.207,13,0.0339,0.0052,0.1675,7,0.0,0,0,0,1,0,0,tool_output,en,injection
86,14,5.143,9,0.029,0.0,0.0349,3,0.0,0,0,0,0,0,0,email,en,benign
217,32,5.438,19,0.0127,0.0,0.0691,4,0.0,0,0,3,0,0,0,code_comment,en,injection
179,22,6.909,18,0.025,0.0223,0.1564,5,0.0,0,0,0,0,0,0,html_metadata,en,benign
270,45,4.956,13,0.0519,0.2037,0.0481,7,0.0,0,0,0,0,0,0,support_ticket,fr,injection
231,38,5.026,13,0.0552,0.0606,0.0563,7,0.0,0,0,0,0,0,0,support_ticket,fr,benign
227,37,5.081,13,0.0566,0.0617,0.0617,7,0.0,0,0,0,0,0,0,support_ticket,fr,benign
302,50,5.0,14,0.0375,0.0132,0.0199,7,0.0,0,0,0,0,0,0,document,fr,benign
246,44,4.545,11,0.0645,0.0203,0.0366,8,0.0,0,0,0,0,0,0,pdf_text,en,injection
152,23,5.609,11,0.0238,0.0,0.0197,3,0.0,0,0,0,1,0,0,web_page,en,benign
185,29,5.31,12,0.0699,0.0108,0.0486,7,0.0,0,0,0,0,0,0,document,en,benign
95,13,6.385,12,0.0256,0.0,0.0526,2,0.0,0,0,1,0,0,0,chat_log,en,benign
197,21,8.333,36,0.0694,0.0406,0.1168,8,0.1117,0,0,0,0,0,0,calendar_invite,en,injection
132,16,7.312,21,0.01,0.0,0.1212,4,0.0,0,0,0,0,0,0,tool_output,en,benign
248,42,4.857,10,0.0628,0.0081,0.0444,7,0.0,0,0,0,0,0,0,document,en,injection
173,22,6.636,18,0.0261,0.0231,0.1561,5,0.0,0,0,0,0,0,0,html_metadata,en,benign
194,27,6.185,32,0.035,0.0412,0.0773,3,0.0,0,1,1,0,0,0,rag_chunk,en,injection
93,16,4.812,8,0.0267,0.0,0.0215,3,0.0,0,0,0,0,0,0,document,fr,benign
311,46,5.717,16,0.0602,0.0129,0.0322,7,0.0,0,0,1,0,0,0,document,en,injection
225,35,5.429,11,0.0276,0.0089,0.0311,3,0.0,0,0,0,0,0,0,product_review,en,injection
242,32,6.562,43,0.0759,0.1818,0.0868,5,0.0,0,0,0,0,0,0,web_page,en,injection
200,35,4.743,13,0.0411,0.03,0.07,4,0.0,0,0,1,0,0,0,code_comment,en,injection
242,32,6.406,18,0.2981,0.0165,0.1653,8,0.0,0,0,0,2,0,0,html_metadata,en,injection
94,15,5.267,9,0.0263,0.0,0.0319,3,0.0,0,0,1,0,0,0,email,fr,benign
167,19,7.842,21,0.0076,0.0,0.1018,4,0.0,0,0,0,0,0,0,tool_output,en,injection
177,29,5.103,13,0.0382,0.0508,0.0395,3,0.0,0,0,3,1,0,0,support_ticket,en,benign
98,14,6.071,14,0.0247,0.0,0.0408,2,0.0,0,0,0,3,0,0,chat_log,en,benign
296,46,5.391,16,0.0383,0.0135,0.0304,7,0.0,0,0,0,0,0,0,document,fr,benign
93,18,4.167,10,0.0548,0.0,0.0215,3,0.0,0,0,2,0,0,0,email,en,benign
224,39,4.692,11,0.071,0.0223,0.0402,8,0.0,0,0,0,0,0,0,pdf_text,en,benign
183,25,5.88,19,0.0153,0.0,0.082,4,0.0,0,0,3,0,1,0,code_comment,en,benign
113,16,6.062,12,0.0215,0.0,0.0354,3,0.0,0,0,3,0,0,0,email,en,benign
167,20,7.35,30,0.1538,0.2096,0.1257,4,0.0,0,0,0,0,0,1,api_response,en,injection
192,28,5.857,10,0.0321,0.0104,0.0312,3,0.0,0,0,0,0,0,0,product_review,en,benign
251,34,6.382,43,0.0699,0.012,0.1116,5,0.0,0,1,0,0,0,0,web_page,en,injection
151,18,7.389,16,0.0857,0.0464,0.1391,4,0.0,0,0,0,0,0,0,api_response,en,benign
326,45,6.244,14,0.1873,0.0,0.0429,6,0.0,0,0,0,2,0,0,web_page,fr,injection
247,38,5.5,32,0.0417,0.0081,0.0607,3,0.0,0,1,0,0,0,0,product_review,en,injection
148,24,5.167,12,0.0167,0.0,0.027,3,0.0,0,0,1,2,0,0,document,en,benign
252,44,4.682,12,0.1135,0.0198,0.0635,8,0.0,0,0,5,0,0,0,pdf_text,en,injection
110,20,4.5,10,0.0233,0.0,0.0364,3,0.0,0,0,0,1,0,0,email,pt,benign
197,30,5.567,12,0.0123,0.0,0.0254,3,0.0,0,0,6,1,0,0,email,fr,benign
112,15,6.467,22,0.0538,0.0,0.0357,5,0.0,0,0,0,0,0,0,email,en,benign
233,35,5.657,14,0.0357,0.2189,0.03,3,0.0,0,0,0,0,0,0,product_review,en,injection
120,19,5.316,13,0.0345,0.075,0.0333,3,0.0,0,0,1,0,0,0,support_ticket,en,benign
280,45,5.178,13,0.049,0.05,0.05,7,0.0,0,0,3,0,0,0,support_ticket,fr,injection
245,33,6.424,14,0.0305,0.0245,0.0367,3,0.0,0,0,0,0,0,0,rag_chunk,fr,benign
344,54,5.333,14,0.1985,0.0116,0.0349,10,0.0,0,0,0,2,0,0,document,fr,injection
257,38,5.684,12,0.0337,0.0,0.0311,10,0.0,0,0,1,1,0,0,email,pt,injection
196,27,6.259,16,0.0786,0.0357,0.1122,4,0.0,0,0,0,0,0,0,api_response,en,injection
259,39,5.564,12,0.0574,0.0,0.0309,10,0.0734,0,0,0,2,0,0,email,pt,injection
171,28,5.107,10,0.0155,0.0,0.0819,6,0.0,0,0,0,0,1,0,chat_log,en,benign
110,16,5.875,13,0.0375,0.0818,0.0364,3,0.0,0,0,1,0,0,0,support_ticket,en,benign
125,16,6.812,13,0.0426,0.072,0.04,3,0.0,0,0,2,3,0,0,support_ticket,en,benign
266,47,4.66,12,0.0236,0.0,0.0263,3,0.0,0,0,0,0,0,0,web_page,en,benign
131,22,4.955,13,0.0316,0.0687,0.0305,3,0.0,0,0,1,0,0,0,support_ticket,en,benign
96,14,5.857,14,0.0253,0.0,0.0312,3,0.0,0,0,0,3,0,0,document,en,benign
254,41,5.146,14,0.0492,0.0551,0.0512,7,0.0,0,0,0,0,0,0,support_ticket,fr,benign
169,25,5.68,14,0.0379,0.0118,0.0473,7,0.0,0,0,0,0,0,0,email,en,benign
233,44,4.227,10,0.0634,0.1631,0.0258,10,0.0,0,0,1,0,0,0,email,en,injection
281,41,5.805,12,0.0793,0.0142,0.0249,7,0.0,0,0,5,0,0,0,document,en,injection
221,33,5.606,13,0.0393,0.0,0.0317,10,0.0,0,0,0,0,0,0,email,pt,benign
176,29,5.069,13,0.0292,0.0114,0.0455,3,0.0,0,0,0,0,0,0,product_review,fr,benign
149,26,4.731,11,0.0348,0.0134,0.0403,3,0.0,0,0,3,1,0,0,product_review,en,benign
297,50,4.94,12,0.0209,0.0,0.0269,3,0.0,0,0,0,0,0,0,web_page,en,injection
232,41,4.659,10,0.033,0.0086,0.0302,3,0.0,0,0,0,0,0,0,product_review,en,injection
224,42,4.286,11,0.0723,0.0223,0.0402,8,0.0,0,0,0,0,0,0,pdf_text,en,benign
171,23,6.435,16,0.029,0.0058,0.0468,4,0.0,0,0,0,2,0,0,support_ticket,en,injection
263,37,6.054,16,0.1773,0.0076,0.0722,8,0.0,0,0,1,2,2,0,email,fr,injection
176,24,6.25,14,0.0365,0.0114,0.0625,7,0.0,0,0,0,0,0,0,email,fr,benign
216,33,5.455,12,0.0405,0.0,0.0324,10,0.0,0,0,0,0,0,0,email,pt,benign
182,29,5.276,13,0.0278,0.011,0.0385,3,0.0,0,0,0,0,0,0,product_review,fr,benign
98,16,5.125,9,0.038,0.0,0.0306,3,0.0,0,0,0,0,0,0,web_page,en,benign
192,24,7.042,21,0.3151,0.0,0.1146,7,0.0,0,0,0,2,0,0,tool_output,en,injection
108,15,6.2,12,0.0482,0.037,0.0556,3,0.0,0,0,3,0,0,0,rag_chunk,en,benign
278,37,6.514,16,0.0217,0.0,0.0396,3,0.0,0,0,0,0,0,0,web_page,fr,benign
82,13,5.308,9,0.0312,0.0244,0.0366,3,0.0,0,0,1,0,0,0,product_review,en,benign
254,37,5.811,12,0.0899,0.0551,0.0433,7,0.0,0,0,3,0,0,0,support_ticket,pt,injection
106,15,6.067,12,0.0345,0.0,0.0377,3,0.0,0,0,0,0,0,0,web_page,fr,benign
306,19,15.053,148,0.3473,0.1111,0.0425,8,0.0,0,0,1,0,0,1,calendar_invite,en,injection
136,20,5.8,14,0.0182,0.0,0.0441,3,0.0,0,0,4,0,0,0,document,fr,benign
150,25,5.0,12,0.025,0.0,0.0333,3,0.0,0,0,1,2,0,0,web_page,en,benign
133,23,4.783,11,0.0189,0.0,0.0301,3,0.0,0,0,0,1,0,0,document,fr,benign
200,37,4.405,8,0.0246,0.175,0.03,3,0.0,0,0,0,0,0,0,product_review,en,injection
195,29,5.724,11,0.02,0.0,0.0821,6,0.0,0,0,0,0,0,0,chat_log,en,injection
